,school,type,address,city,county,zip,nurse,enrolled,dtap,polio,mmr,hepb,var,exempt_dtap,exempt_polio,exempt_mmr,exempt_hepb,exempt_var,year
4315,DESERT MIRAGE ELEMENTARY SCHOOL,PUBLIC,8605 W MARYLAND AVE,GLENDALE,MARICOPA,85305.0,NO,82,96%,98%,99%,99%,100%,1%,1%,1%,1%,0%,2018
4316,DESERT MOUNTAIN ELEMENTARY,PUBLIC,22301 S HAWES RD,QUEEN CREEK,MARICOPA,85242.0,YES,95,87%,89%,87%,93%,91%,11%,9%,11%,7%,9%,2018
4317,DESERT MOUNTAIN SCHOOL,PUBLIC,35959 NORTH 7TH AVENUE,PHOENIX,MARICOPA,85086.0,YES,62,94%,92%,90%,95%,95%,6%,8%,10%,5%,5%,2018
4318,DESERT OASIS ELEMENTARY SCHOOL-85037,PUBLIC,8802 W MCDOWELL RD,PHOENIX,MARICOPA,85037.0,YES,63,100%,100%,100%,100%,100%,0%,0%,0%,0%,0%,2018
4319,DESERT OASIS ELEMENTARY SCHOOL-85387,PUBLIC,17161 W BAJADA RD,SURPRISE,MARICOPA,85387.0,NO,47,94%,94%,94%,94%,94%,6%,6%,6%,6%,6%,2018
4320,DESERT PALMS ELEMENTARY SCHOOL,PUBLIC,11441 N 55TH AVE,GLENDALE,MARICOPA,85304.0,YES,50,84%,84%,84%,90%,90%,10%,10%,10%,10%,10%,2018
4321,DESERT SAGE ELEMENTARY SCHOOL,PUBLIC,4035 W ALAMEDA,GLENDALE,MARICOPA,85310.0,YES,99,95%,97%,95%,94%,97%,5%,3%,5%,5%,3%,2018
4322,DESERT SHADOWS ELEMENTARY SCHOOL,PUBLIC,5902 E SWEETWATER AVE,SCOTTSDALE,MARICOPA,85254.0,YES,63,95%,97%,92%,97%,97%,0%,2%,3%,3%,3%,2018
4323,DESERT SHADOWS MONTESSORI,PRIVATE,6709 E UNIVERSITY DR,MESA,MARICOPA,85205.0,NO,< 20,,,,,,,,,,,2018
4324,DESERT SKY COMMUNITY SCHOOL,CHARTER,1350 S ARCADIA AVE,TUCSON,PIMA,85712.0,NO,< 20,,,,,,,,,,,2018
4325,DESERT SONORA ELEMENTARY SCHOOL,PUBLIC,301 N CARLISLE AVE,SOMERTON,YUMA,85350.0,YES,54,98%,100%,94%,100%,100%,0%,0%,2%,0%,0%,2018
4326,DESERT SPIRIT,PUBLIC,7355 W ORANGEWOOD AVE,GLENDALE,MARICOPA,85303.0,YES,69,93%,94%,96%,96%,91%,0%,0%,0%,0%,0%,2018
4327,DESERT SPRINGS ACADEMY,CHARTER,10129 E SPEEDWAY BLVD,TUCSON,PIMA,85748.0,NO,< 20,,,,,,,,,,,2018
4328,DESERT SPRINGS PREPARATORY ELEMENTARY SCHOOL,PUBLIC,6010 E ACOMA DR,SCOTTSDALE,MARICOPA,85254.0,YES,42,88%,86%,86%,83%,86%,12%,14%,14%,17%,14%,2018
4329,DESERT STAR SCHOOL,PUBLIC,2131 S 157TH AVE,GOODYEAR,MARICOPA,85338.0,YES,61,93%,93%,92%,92%,95%,5%,5%,7%,7%,5%,2018
4330,DESERT SUN CHILD DEVELOPMENT - KINDERGARTEN,PRIVATE,1512 W ELLIOT RD,CHANDLER,MARICOPA,85224.0,NO,21,86%,76%,81%,76%,76%,14%,19%,14%,24%,24%,2018
4331,DESERT SUN ELEMENTARY SCHOOL,PUBLIC,27880 N 64TH ST,SCOTTSDALE,MARICOPA,85266.0,NO,43,86%,86%,86%,81%,91%,14%,14%,14%,16%,9%,2018
4332,DESERT THUNDER SCHOOL,PUBLIC,16750 W GARFIELD ST,GOODYEAR,MARICOPA,85338.0,YES,99,92%,92%,91%,93%,98%,6%,6%,6%,6%,1%,2018
4333,DESERT TRAILS ELEMENTARY SCHOOL,PUBLIC,4315 E CASHMAN DR,PHOENIX,MARICOPA,85050.0,YES,100,90%,90%,90%,90%,90%,10%,10%,10%,10%,10%,2018
4334,DESERT VALLEY ELEMENTARY,PUBLIC,1066 MARINA BLVD,BULLHEAD CITY,MOHAVE,86442.0,NO,115,92%,91%,94%,94%,94%,6%,6%,6%,6%,6%,2018
4335,DESERT VALLEY ELEMENTARY SCHOOL,PUBLIC,12901 N 63RD AVE,GLENDALE,MARICOPA,85304.0,YES,54,91%,96%,93%,96%,98%,4%,2%,4%,2%,2%,2018
4336,DESERT VIEW ACADEMY,CHARTER,2363 S KENNEDY LN,YUMA,YUMA,85366.0,NO,168,98%,98%,98%,99%,98%,2%,2%,2%,1%,2%,2018
4337,DESERT VIEW ELEMENTARY,PUBLIC,1508 N 10TH AVE,SAN LUIS,YUMA,85349.0,NO,92,100%,100%,100%,100%,100%,0%,0%,0%,0%,0%,2018
4338,DESERT VIEW ELEMENTARY SCHOOL,PUBLIC,8621 N 3RD ST,PHOENIX,MARICOPA,85020.0,YES,48,96%,96%,94%,96%,96%,4%,4%,4%,4%,4%,2018
4339,DESERT VIEW LEARNING CENTER,PRIVATE,4027 E LINCOLN DR,PARADISE VALLEY,MARICOPA,,NO,22,77%,77%,68%,77%,82%,14%,14%,14%,14%,14%,2018
4340,DESERT WILLOW ELEMENTARY SCHOOL,PUBLIC,9400 E ESMOND LOOP,TUCSON,PIMA,85747.0,NO,100,97%,97%,97%,97%,100%,2%,2%,2%,2%,0%,2018
4341,DESERT WILLOW ELEMENTARY SCHOOL,PUBLIC,2172N ARIZOLA RD,CASA GRANDE,PINAL,85122.0,YES,63,92%,92%,92%,92%,94%,5%,5%,5%,5%,5%,2018
4342,DESERT WILLOW ELEMENTARY SCHOOL,PUBLIC,4322 E DESERT WILLOW PKWY,CAVE CREEK,MARICOPA,85331.0,NO,80,96%,93%,96%,90%,95%,4%,8%,4%,10%,5%,2018
4343,DESERT WILLOW ELEMENTARY SCHOOL,PUBLIC,3700 PROSPECTOR ST,KINGMAN,MOHAVE,86401.0,NO,101,87%,87%,87%,92%,86%,13%,13%,13%,7%,14%,2018
4344,DESTINY SCHOOL,CHARTER,22 PRICKLY PEAR DR,GLOBE,GILA,85501.0,NO,43,93%,93%,93%,93%,93%,7%,7%,7%,7%,7%,2018
4345,DIAMOND CANYON ELEMENTARY,PUBLIC,40004 NORTH LIBERTY BELL WAY,PHOENIX,MARICOPA,85086.0,YES,83,90%,89%,87%,89%,92%,8%,11%,13%,10%,8%,2018
4346,DIAMONDBACK ELEMENTARY SCHOOL,PUBLIC,2550 TESOTA WAY,BULLHEAD CITY,MOHAVE,86442.0,YES,109,94%,96%,96%,96%,99%,2%,2%,2%,2%,1%,2018
4347,DIETZ K-8 SCHOOL,PUBLIC,7575 E PALMA ST,TUCSON,PIMA,85710.0,YES,33,88%,91%,94%,94%,94%,6%,9%,6%,6%,6%,2018
4348,DILCON COMMUNITY SCHOOL,PRIVATE,AZ-87,WINSLOW,NAVAJO,86047.0,NO,< 20,,,,,,,,,,,2018
4349,DILWORTH BRINTON ELEMENTARY,PUBLIC,11455 E SUNLAND AVE,MESA,MARICOPA,85208.0,YES,74,93%,93%,93%,95%,93%,7%,7%,7%,5%,7%,2018
4350,DISCOVERY PLUS ACADEMY,CHARTER,852 W 250 N,PIMA,GRAHAM,85543.0,NO,< 20,,,,,,,,,,,2018
4351,DISCOVERY SCHOOL,PUBLIC,7910 W MARYLAND AVE,GLENDALE,MARICOPA,85303.0,YES,60,98%,98%,98%,98%,98%,2%,2%,2%,2%,2%,2018
4352,DISHCHII'BIKOH COMMUNITY SCHOOL,PRIVATE,PO BOX 80068,CIBECUE,NAVAJO,85911.0,YES,41,100%,100%,100%,100%,100%,0%,0%,0%,0%,0%,2018
4353,DOBSON ACADEMY A-BALL CHARTER SCHOOL,CHARTER,2207 N DOBSON RD,CHANDLER,MARICOPA,85224.0,NO,48,96%,94%,94%,94%,94%,4%,4%,4%,4%,6%,2018
4354,DOROTHY STINSON SCHOOL,PUBLIC,2013 S 8TH AVE,SAFFORD,GRAHAM,85546.0,YES,91,98%,98%,98%,100%,100%,0%,0%,0%,0%,0%,2018
4355,DOS RIOS ELEMENTARY,PUBLIC,2150 S 87TH AVE,TOLLESON,MARICOPA,85353.0,NO,77,95%,97%,96%,97%,100%,3%,3%,3%,3%,0%,2018
4356,DOUBLE ADOBE ELEMENTARY SCHOOL,PUBLIC,7081 N CENTRAL HWY,MCNEAL,COCHISE,85617.0,NO,< 20,,,,,,,,,,,2018
4357,DR DANIEL BRIGHT ELEMENTARY SCHOOL,PUBLIC,1500 S MONTE TESORO DR,COTTONWOOD,YAVAPAI,86326.0,NO,60,93%,87%,87%,90%,93%,7%,13%,13%,10%,7%,2018
4358,DR HOWARD K CONLEY ELEMENTARY SCHOOL,PUBLIC,500 S ARROWHEAD DR,CHANDLER,MARICOPA,85224.0,NO,100,91%,95%,96%,96%,98%,7%,5%,4%,2%,2%,2018
4359,DR. CHARLES A. BEJARANO ELEMENTARY SCHOOL,PUBLIC,4635 E RAGUS RD B,MIAMI,GILA,85539.0,NO,70,94%,86%,70%,87%,97%,3%,3%,3%,3%,3%,2018
4360,DR. GARY AND ANNETTE AUXIER ELEMENTARY SCHOOL,PUBLIC,22700 S POWER RD,QUEEN CREEK,MARICOPA,85142.0,NO,141,92%,93%,87%,91%,94%,8%,7%,13%,9%,6%,2018
4361,DRACHMAN PRIMARY MAGNET SCHOOL,PUBLIC,1085 S 10TH AVE,TUCSON,PIMA,85701.0,YES,59,100%,100%,100%,100%,100%,0%,0%,0%,0%,0%,2018
4362,DREAMING SUMMIT ELEMENTARY,PUBLIC,13335 W MISSOURI AVE,LITCHFIELD PARK,MARICOPA,85340.0,YES,92,84%,87%,86%,89%,93%,2%,2%,2%,2%,2%,2018
4363,DREXEL ELEMENTARY SCHOOL,PUBLIC,801 E DREXEL RD,TUCSON,PIMA,85706.0,YES,77,95%,97%,99%,99%,99%,1%,1%,1%,1%,1%,2018
4364,DUNCAN ELEMENTARY SCHOOL,PUBLIC,MCGRATH AVE,DUNCAN,GREENLEE,85534.0,NO,22,86%,86%,86%,91%,91%,9%,9%,9%,9%,9%,2018
4365,DUNHAM ELEMENTARY SCHOOL,PUBLIC,9850 E 29TH ST,TUCSON,PIMA,85748.0,YES,50,98%,100%,100%,100%,100%,0%,0%,0%,0%,0%,2018
4366,DWIGHT PATTERSON ELEMENTARY,PUBLIC,615 S CHESHIRE,MESA,MARICOPA,85208.0,YES,88,94%,94%,94%,95%,95%,6%,6%,6%,5%,5%,2018
4367,DYSART ELEMENTARY SCHOOL,PUBLIC,12950 W VARNEY RD,EL MIRAGE,MARICOPA,85335.0,YES,80,91%,93%,91%,93%,95%,8%,8%,9%,5%,5%,2018
4368,DZIL LIBEI ELEMENTARY SCHOOL,PUBLIC,PO BOX 67,TUBA CITY,COCONINO,86045.0,NO,< 20,,,,,,,,,,,2018
4369,E C NASH SCHOOL,PUBLIC,515 W KELSO ST,TUCSON,PIMA,,NO,48,100%,100%,100%,98%,100%,0%,0%,0%,2%,0%,2018
4370,EAGLE COLLEGE PREP,CHARTER,2450 W SOUTH MOUNTAIN AVE,PHOENIX,MARICOPA,85041.0,NO,54,85%,87%,85%,89%,91%,6%,6%,6%,7%,6%,2018
4371,EAGLE COLLEGE PREP - MARYVALE,CHARTER,3950 N 53RD AVE,PHOENIX,MARICOPA,85031.0,NO,49,100%,100%,100%,100%,100%,0%,0%,0%,0%,0%,2018
4372,EAGLE COLLEGE PREP - MESA,CHARTER,1619 E MAIN ST,MESA,MARICOPA,85203.0,NO,30,97%,100%,100%,100%,97%,3%,0%,0%,0%,3%,2018
4373,EAGLE COLLEGE PREP HARMONY,CHARTER,2435 E PECAN RD,PHOENIX,MARICOPA,85040.0,NO,27,70%,70%,70%,70%,70%,0%,0%,0%,0%,0%,2018
4374,EAGLE RIDGE ELEMENTARY SCHOOL,PUBLIC,19801 N 13TH ST,PHOENIX,MARICOPA,85024.0,YES,64,80%,88%,80%,89%,94%,2%,2%,2%,2%,2%,2018
4375,EAGLERIDGE ENRICHMENT PROGRAM,PUBLIC,1313 W MEDINA AVE,MESA,MARICOPA,85202.0,YES,77,52%,51%,48%,53%,100%,48%,49%,52%,47%,0%,2018
4376,EAST FORK LUTHERAN GRADE SCHOOL,PRIVATE,4325 FORT APACHE RD,WHITERIVER,NAVAJO,85941.0,NO,< 20,,,,,,,,,,,2018
4377,EAST VALLEY ACADEMY-85203,CHARTER,1858 E BROWN RD,MESA,MARICOPA,85203.0,NO,< 20,,,,,,,,,,,2018
4378,ECHO MOUNTAIN PRIMARY SCHOOL,PRIVATE,1750 E GROVERS AVE,PHOENIX,MARICOPA,85022.0,YES,136,93%,96%,93%,95%,96%,5%,4%,5%,5%,4%,2018
4379,ED & VERMA PASTOR ELEMENTARY SCHOOL,PUBLIC,2101 W ALTA VISTA RD,PHOENIX,MARICOPA,85041.0,YES,38,92%,92%,92%,92%,95%,5%,5%,5%,5%,5%,2018
4380,ED PASTOR ELEMENTARY 4,PUBLIC,985 N 6TH AVE,SAN LUIS,YUMA,85349.0,YES,75,99%,99%,100%,100%,100%,0%,0%,0%,0%,0%,2018
4381,EDISON ELEMENTARY SCHOOL,PUBLIC,545 N HORNE,MESA,MARICOPA,85203.0,YES,99,90%,92%,91%,92%,100%,10%,8%,9%,8%,0%,2018
4382,EDISON SCHOOL OF INNOVATION,CHARTER,8340 W NORTHERN AVE,GLENDALE,MARICOPA,85305.0,NO,25,68%,72%,84%,84%,84%,12%,20%,16%,16%,16%,2018
4383,EDUPRENEURSHIP STUDENT CENTER (ESC) PHOENIX,CHARTER,7801 N 27TH AVE,PHOENIX,MARICOPA,85051.0,NO,< 20,,,,,,,,,,,2018
4384,EDUPRIZE SCHOOL,CHARTER,4567 W ROBERTS RD,QUEEN CREEK,PINAL,85142.0,YES,216,85%,87%,86%,87%,88%,14%,13%,14%,13%,11%,2018
4385,EDUPRIZE SCHOOL - GILBERT,CHARTER,580 W MELODY DR,GILBERT,MARICOPA,85233.0,YES,176,84%,86%,85%,88%,88%,15%,14%,15%,11%,12%,2018
4386,EISENHOWER ELEMENTARY SCHOOL,PUBLIC,848 N MESA DR,MESA,MARICOPA,85201.0,YES,76,93%,95%,95%,95%,99%,4%,4%,4%,4%,1%,2018
4387,EL DORADO PRIVATE SCHOOL,PRIVATE,20624 N 76TH ST,SCOTTSDALE,MARICOPA,85255.0,NO,< 20,,,,,,,,,,,2018
4388,EL MIRAGE ELEMENTARY SCHOOL,PUBLIC,12308 W THUNDERBIRD RD,EL MIRAGE,MARICOPA,85335.0,NO,73,99%,100%,100%,99%,100%,0%,0%,0%,0%,0%,2018
4389,ELFRIDA ELEMENTARY SCHOOL,PUBLIC,4070 W JEFFERSON RD,ELFRIDA,COCHISE,85610.0,NO,< 20,,,,,,,,,,,2018
4390,ELGIN ELEMENTARY SCHOOL,PUBLIC,293 UPPER ELGIN RD,ELGIN,SANTA CRUZ,85611.0,YES,< 20,,,,,,,,,,,2018
4391,ELLSWORTH ELEMENTARY,PUBLIC,38454 N CAROLINA AVE,QUEEN CREEK,PINAL,85140.0,NO,105,90%,93%,92%,95%,96%,7%,7%,7%,4%,4%,2018
4392,ELVIRA ELEMENTARY SCHOOL,PUBLIC,250 W ELVIRA RD,TUCSON,PIMA,85756.0,YES,88,97%,97%,97%,98%,98%,2%,2%,2%,1%,2%,2018
4393,EMERSON ELEMENTARY SCHOOL,PUBLIC,415 N WESTWOOD RD,MESA,MARICOPA,85201.0,YES,105,98%,96%,97%,97%,98%,2%,2%,2%,2%,2%,2018
4394,EMMANUEL CHRISTIAN ACADEMY,PRIVATE,3120 HUALAPAI MOUNTAIN RD,KINGMAN,MOHAVE,86401.0,NO,< 20,,,,,,,,,,,2018
4395,EMMANUEL LUTHERAN SCHOOL,PRIVATE,715 W SOUTHERN AVE,TEMPE,MARICOPA,85282.0,NO,< 20,,,,,,,,,,,2018
4396,EMMAUS LUTHERAN SCHOOL,PRIVATE,3841 W SWEETWATER AVE,PHOENIX,MARICOPA,85029.0,NO,< 20,,,,,,,,,,,2018
4397,ENCANTO SCHOOL,CHARTER,1426 W OSBORN RD,PHOENIX,MARICOPA,,NO,179,82%,80%,84%,88%,91%,2%,2%,2%,2%,2%,2018
4398,ENTZ ELEMENTARY SCHOOL,PUBLIC,4132 E ADOBE ST,MESA,MARICOPA,85205.0,YES,108,94%,93%,93%,93%,95%,5%,6%,5%,6%,5%,2018
4399,ESMOND STATION SCHOOL,PUBLIC,9400 S ATTERBURY WASH WAY,TUCSON,PIMA,85747.0,NO,69,96%,96%,93%,96%,96%,4%,4%,7%,4%,4%,2018
4400,ESPERANZA ELEMENTARY SCHOOL,PUBLIC,2353 E BANTAM,TUCSON,PIMA,85706.0,YES,84,100%,100%,99%,99%,100%,0%,0%,1%,1%,0%,2018
4401,ESPERANZA ELEMENTARY SCHOOL-85009,PUBLIC,3025 W MCDOWELL RD,PHOENIX,MARICOPA,85009.0,NO,83,98%,99%,99%,99%,99%,1%,1%,1%,1%,1%,2018
4402,ESPERANZA ELEMENTARY SCHOOL-85027,PUBLIC,251 W MOHAWK LN,PHOENIX,MARICOPA,85027.0,YES,88,95%,97%,97%,97%,97%,3%,3%,3%,3%,3%,2018
4403,ESTRELLA MOUNTAIN ELEMENTARY SCHOOL,PUBLIC,10301 S SAN MIGUEL,GOODYEAR,MARICOPA,85338.0,NO,47,91%,91%,91%,91%,91%,9%,9%,9%,9%,9%,2018
4404,ESTRELLA VISTA ELEMENTARY,PUBLIC,11905 W COCOPAH CIR,AVONDALE,MARICOPA,85323.0,NO,97,100%,100%,100%,99%,100%,0%,0%,0%,1%,0%,2018
4405,ETHOS ACADEMY,CHARTER,8840 N. 43RD AVE,GLENDALE,MARICOPA,85302.0,NO,48,90%,92%,75%,88%,88%,2%,2%,2%,4%,4%,2018
4406,EVA MARSHALL ELEMENTARY SCHOOL,PUBLIC,850 N BONITO ST,FLAGSTAFF,COCONINO,86001.0,YES,68,99%,97%,97%,96%,97%,1%,3%,3%,4%,3%,2018
4407,EVERGREEN ELEMENTARY SCHOOL,PUBLIC,1000 N AMARILLO ST,CASA GRANDE,PINAL,85222.0,YES,46,93%,93%,96%,98%,98%,2%,2%,2%,2%,2%,2018
4408,EXCELENCIA SCHOOL,PUBLIC,2181 E MCDOWELL RD,PHOENIX,MARICOPA,85006.0,YES,80,98%,99%,99%,100%,100%,1%,1%,1%,0%,0%,2018
4409,FAITH CHRISTIAN SCHOOL,PRIVATE,7464 E MAIN ST,MESA,MARICOPA,85205.0,NO,< 20,,,,,,,,,,,2018
4410,FAITH COMMUNITY ACADEMY,PRIVATE,2551 W ORANGE GROVE,TUCSON,PIMA,,NO,< 20,,,,,,,,,,,2018
4411,FALCON HILL ELEMENTARY SCHOOL,PUBLIC,1645 N STERLING ST,MESA,MARICOPA,85207.0,YES,94,89%,94%,91%,95%,96%,11%,6%,9%,5%,4%,2018
4412,FAMILY LIFE ACADEMY,PRIVATE,530 S PANTANO RD,TUCSON,PIMA,85710.0,NO,< 20,,,,,,,,,,,2018
4413,FARAS ELEMENTARY SCHOOL,PUBLIC,410 W FIR AVE,PIRTLEVILLE,COCHISE,85607.0,YES,32,100%,100%,97%,100%,100%,0%,0%,0%,0%,0%,2018
4414,FESTIVAL FOOTHILLS ELEMENTARY SCHOOL,PUBLIC,26252 W DESERT VISTA BLVD,BUCKEYE,MARICOPA,85396.0,NO,< 20,,,,,,,,,,,2018
4415,FIELD ELEMENTARY SCHOOL,PUBLIC,2325 E ADOBE ST,MESA,MARICOPA,85213.0,YES,90,90%,89%,90%,92%,92%,9%,10%,9%,8%,8%,2018
4416,FINE ARTS ACADEMY,PUBLIC,1700 S. 103RD AVE,TOLLESON,MARICOPA,85353.0,YES,75,89%,89%,89%,89%,89%,9%,9%,9%,9%,9%,2018
4417,FINLEY FARMS ELEMENTARY,PUBLIC,375 S COLUMBUS DR,GILBERT,MARICOPA,85296.0,YES,96,86%,89%,89%,91%,95%,10%,10%,10%,8%,5%,2018
4418,FIRESIDE ELEMENTARY SCHOOL,PUBLIC,3725 E LONE CACTUS DR,PHOENIX,MARICOPA,85050.0,YES,121,95%,93%,88%,93%,93%,5%,5%,5%,7%,7%,2018
4419,FIRST AVENUE ELEMENTARY SCHOOL,PUBLIC,914 N FIRST AVE,SAN MANUEL,PINAL,85631.0,NO,35,94%,94%,97%,100%,97%,3%,3%,3%,0%,3%,2018
4420,FIRST BAPTIST CHRISTIAN ACADEMY,PRIVATE,1447 S 7TH ST,SIERRA VISTA,COCHISE,85635.0,NO,30,97%,97%,97%,100%,100%,3%,3%,3%,0%,0%,2018
4421,FIRST MESA ELEMENTARY SCHOOL,PRIVATE,390 WI-100,POLACCA,NAVAJO,86042.0,YES,< 20,,,,,,,,,,,2018
4422,FIRST SOUTHERN CHRISTIAN SCHOOL,PRIVATE,445 E SPEEDWAY BLVD,TUCSON,PIMA,85705.0,NO,< 20,,,,,,,,,,,2018
4423,FLAGSTAFF JUNIOR ACADEMY ELEMENTARY CAMPUS,PUBLIC,306 W CEDAR AVE,FLAGSTAFF,COCONINO,86001.0,NO,22,82%,82%,82%,82%,82%,18%,18%,18%,18%,18%,2018
4424,FLORA THEW ELEMENTARY SCHOOL,PUBLIC,2130 E HOWE AVE,TEMPE,MARICOPA,85281.0,YES,96,95%,98%,98%,98%,99%,2%,2%,1%,1%,1%,2018
4425,FLORENCE K-8,PUBLIC,460 S PARK ST,FLORENCE,PINAL,85232.0,YES,74,91%,92%,93%,93%,95%,5%,5%,5%,5%,5%,2018
4426,FOOTHILLS ACADEMY COLLEGE PREPARATORY,CHARTER,7191 E ASHLER HILLS DR,SCOTTSDALE,MARICOPA,85266.0,NO,< 20,,,,,,,,,,,2018
4427,FOOTHILLS ELEMENTARY SCHOOL-85306,PUBLIC,15808 N 63RD AVE,GLENDALE,MARICOPA,85306.0,YES,63,95%,95%,95%,92%,95%,3%,3%,3%,5%,3%,2018
4428,FORD ELEMENTARY SCHOOL,PUBLIC,8001 E STELLA RD,TUCSON,PIMA,85730.0,YES,47,98%,98%,98%,96%,98%,2%,2%,2%,2%,2%,2018
4429,FORT MOHAVE ELEMENTARY SCHOOL,PUBLIC,1760 JOY LN,FORT MOHAVE,MOHAVE,86426.0,YES,110,92%,95%,89%,93%,95%,5%,4%,5%,4%,4%,2018
4430,FORT THOMAS ELEMENTARY SCHOOL,PUBLIC,15560 W ELEMENTARY RD,FORT THOMAS,GRAHAM,85536.0,YES,35,97%,97%,97%,100%,100%,0%,0%,0%,0%,0%,2018
4431,FOUNDATION FOR BLIND CHILDREN,PRIVATE,1234 E NORTHERN AVENUE,PHOENIX,MARICOPA,85020.0,YES,< 20,,,,,,,,,,,2018
4432,FOUNDATION FOR BLIND CHILDREN,PRIVATE,1234 E NORTHERN AVENUE,PHOENIX,MARICOPA,85020.0,YES,< 20,,,,,,,,,,,2018
4433,FOUNTAIN HILLS CHARTER SCHOOL - GLENBROOK,CHARTER,16751 E GLENBROOK BLVD,FOUNTAIN HILLS,MARICOPA,85268.0,NO,< 20,,,,,,,,,,,2018
4434,FOUR PEAKS ELEMENTARY SCHOOL,PUBLIC,1755 N IDAHO RD,APACHE JUNCTION,PINAL,85219.0,YES,89,89%,89%,89%,89%,89%,11%,11%,11%,11%,11%,2018
4435,FOWLER ELEMENTARY SCHOOL,PUBLIC,6707 W VAN BUREN ST,PHOENIX,MARICOPA,85043.0,NO,77,95%,95%,97%,100%,100%,1%,0%,0%,0%,0%,2018
4436,FRANCES BRANDEN-PICKETT ELEMENTARY,PUBLIC,22706 E VILLAGE LOOP,QUEEN CREEK,MARICOPA,85242.0,YES,81,96%,98%,98%,98%,99%,2%,2%,2%,2%,1%,2018
4437,FRANCES J WARREN ELEMENTARY SCHOOL,PUBLIC,3505 W MILTON RD,TUCSON,PIMA,85746.0,YES,41,95%,95%,95%,95%,98%,2%,2%,2%,0%,0%,2018
4438,FRANCES OWEN HOLAWAY ELEMENTARY SCHOOL,PUBLIC,3500 N CHERRY AVE,TUCSON,PIMA,85719.0,NO,59,98%,95%,98%,100%,100%,2%,2%,2%,0%,0%,2018
4439,FRANK BORMAN MIDDLE SCHOOL,PUBLIC,3637 N 55TH AVE,PHOENIX,MARICOPA,85031.0,NO,86,98%,98%,99%,98%,99%,1%,1%,1%,1%,1%,2018
4440,FRANK ELEMENTARY SCHOOL,PUBLIC,8409 S AVENIDA DEL YAQUI,GUADALUPE,MARICOPA,85283.0,YES,62,95%,95%,95%,98%,98%,2%,2%,2%,2%,2%,2018
4441,FRANKLIN AT ALMA ELEMENTARY,PUBLIC,1313 W MEDINA AVE,MESA,MARICOPA,85202.0,YES,57,89%,89%,88%,93%,100%,11%,11%,12%,7%,0%,2018
4442,FRANKLIN AT BRIMHALL ELEMENTARY SCHOOL,PUBLIC,4949 E SOUTHERN RD,MESA,MARICOPA,,YES,140,90%,89%,91%,91%,91%,10%,11%,9%,9%,9%,2018
4443,FRANKLIN ELEMENTARY SCHOOL,PUBLIC,1753 E 8TH AVE,MESA,MARICOPA,85204.0,YES,94,93%,94%,93%,94%,94%,6%,6%,7%,6%,6%,2018
4444,FRANKLIN PHONETIC PRIMARY SCHOOL,CHARTER,6116 E HIGHWAY 69,PRESCOTT VALLEY,YAVAPAI,86314.0,NO,56,82%,82%,73%,82%,86%,4%,4%,4%,4%,4%,2018
4445,FRANKLIN PHONETIC PRIMARY SCHOOL SUNNYSLOPE,CHARTER,9317 N 2ND ST,PHOENIX,MARICOPA,85020.0,NO,< 20,,,,,,,,,,,2018
4446,FRANKLIN WEST ELEMENTARY,PUBLIC,236 S SIRRINE,MESA,MARICOPA,85210.0,YES,87,86%,87%,87%,92%,100%,0%,0%,0%,0%,0%,2018
4447,FREEDOM ACADEMY,CHARTER,3916 E PARADISE LN,PHOENIX,MARICOPA,85032.0,NO,39,82%,77%,77%,77%,85%,18%,23%,23%,23%,15%,2018
4448,FREEDOM ELEMENTARY SCHOOL,PUBLIC,22150 W. SUNDANCE PKWY S,BUCKEYE,MARICOPA,85326.0,YES,58,98%,98%,100%,100%,100%,0%,0%,0%,0%,0%,2018
4449,FRIENDLY HOUSE ACADEMIA DEL PUEBLO ELEMENTARY SCHOOL,CHARTER,201 E DURANGO ST,PHOENIX,MARICOPA,85004.0,NO,41,98%,100%,100%,100%,100%,0%,0%,0%,0%,0%,2018
4450,FRONTIER ELEMENTARY SCHOOL,PUBLIC,21258 N 81ST AVE,PEORIA,MARICOPA,85382.0,YES,91,91%,92%,90%,95%,98%,9%,8%,10%,5%,2%,2018
4451,FRUCHTHENDLER ELEMENTARY SCHOOL,PUBLIC,7470 E CLOUD RD,TUCSON,PIMA,85750.0,YES,56,95%,95%,96%,96%,96%,4%,4%,4%,4%,4%,2018
4452,FRYE ELEMENTARY SCHOOL,PUBLIC,801 E FRYE RD,CHANDLER,MARICOPA,85225.0,NO,92,92%,96%,97%,98%,99%,7%,3%,3%,1%,1%,2018
4453,FULLER ELEMENTARY SCHOOL,PUBLIC,1975 E CORNELL DR,TEMPE,MARICOPA,85283.0,YES,108,92%,94%,94%,93%,94%,6%,6%,6%,7%,6%,2018
4454,G FRANK DAVIDSON,PUBLIC,6935 W OSBORN RD,PHOENIX,MARICOPA,85033.0,YES,97,98%,98%,98%,99%,100%,0%,0%,0%,0%,0%,2018
4455,GADSDEN ELEMENTARY SCHOOL,PUBLIC,18745 GADSDEN ST,GADSDEN,YUMA,85349.0,NO,61,98%,100%,100%,100%,100%,0%,0%,0%,0%,0%,2018
4456,GALE ELEMENTARY SCHOOL,PUBLIC,678 S GOLLOB RD,TUCSON,PIMA,85710.0,YES,74,97%,97%,97%,100%,99%,3%,3%,3%,0%,1%,2018
