SCHOOL NAME,ADDRESS,CITY,COUNTY,ZIP,SCHOOL NURSE,SCHOOL NURSE TYPE,SCHOOLTYPE,ENROLLEDCOUNT,PCT_IMMUNE_DTAP,PCT_EXEMPT_DTAP,PCT_COMPLIANCE_DTAP,PCT_IMMUNE_POLIO,PCT_EXEMPT_POLIO,PCT_COMPLIANCE_POLIO,PCT_IMMUNE_MMR,PCT_EXEMPT_MMR,PCT_COMPLIANCE_MMR,PCT_IMMUNE_HEPB,PCT_EXEMPT_HEPB,PCT_COMPLIANCE_HEPB,PCT_IMMUNE_VAR,PCT_EXEMPT_VAR,PCT_COMPLIANCE_VAR,PCT_PBE,PCT_MEDICAL_EXEMPT,PCT_PBE_EXEMPT_ALL
KNOX ELEMENTARY SCHOOL,700 W ORCHID LN,CHANDLER,MARICOPA,85225,NO,,PUBLIC,59,97%,3%,100%,97%,3%,100%,95%,5%,100%,95%,5%,100%,98%,2%,100%,8%,0%,2%
KYRENE DE LA COLINA SCHOOL,13612 S 36TH ST,PHOENIX,MARICOPA,85044,NO,,PUBLIC,74,97%,0%,100%,99%,0%,100%,97%,0%,100%,99%,0%,100%,100%,0%,100%,0%,0%,0%
KYRENE DE LA ESPERANZA SCHOOL,14841 S 41ST PL,PHOENIX,MARICOPA,85044,NO,,PUBLIC,104,92%,7%,100%,93%,6%,100%,93%,7%,100%,94%,5%,100%,97%,3%,100%,11%,0%,2%
KYRENE DE LA ESTRELLA ELEMENTARY SCHOOL,2620 E LIBERTY LN,PHOENIX,MARICOPA,85048,NO,,PUBLIC,51,88%,12%,100%,88%,12%,100%,84%,16%,100%,94%,6%,100%,84%,16%,100%,16%,0%,6%
KYRENE DE LA MARIPOSA SCHOOL,50 E KNOX RD,TEMPE,MARICOPA,85284,YES,RN,PUBLIC,80,91%,8%,99%,91%,8%,99%,90%,9%,99%,94%,6%,100%,95%,5%,100%,11%,0%,5%
KYRENE DE LA MIRADA SCHOOL,5500 W GALVESTON ST,CHANDLER,MARICOPA,85226,NO,,PUBLIC,85,96%,4%,100%,95%,5%,100%,96%,4%,100%,96%,4%,100%,98%,2%,100%,5%,1%,2%
KYRENE DE LA PALOMA SCHOOL,5000 W WHITTEN ST,CHANDLER,MARICOPA,85226,NO,,PUBLIC,80,84%,14%,98%,84%,14%,98%,84%,14%,98%,84%,14%,98%,85%,14%,99%,14%,0%,14%
KYRENE DE LA SIERRA SCHOOL,1122 E LIBERTY LN,PHOENIX,MARICOPA,85048,YES,Both,PUBLIC,71,99%,1%,100%,99%,1%,100%,99%,1%,100%,99%,1%,100%,99%,1%,100%,1%,0%,1%
KYRENE DE LAS BRISAS SCHOOL,777 N DESERT BREEZE BLVD EAST,CHANDLER,MARICOPA,85226,YES,RN,PUBLIC,83,96%,2%,99%,98%,1%,99%,96%,2%,99%,95%,1%,99%,100%,0%,100%,2%,0%,0%
KYRENE DE LAS LOMAS SCHOOL,11820 S WARNER ELLIOT LOOP,PHOENIX,MARICOPA,85044,NO,,PUBLIC,95,97%,3%,100%,97%,3%,100%,97%,3%,100%,98%,2%,100%,99%,1%,100%,2%,0%,1%
KYRENE DE LAS MANITAS SCHOOL,1201 W COURTNEY LN,TEMPE,MARICOPA,85284,YES,RN,PUBLIC,102,91%,8%,99%,94%,5%,99%,89%,10%,99%,96%,4%,100%,96%,4%,100%,12%,0%,2%
KYRENE DE LOS CERRITOS SCHOOL,14620 S DESERT FOOTHILLS PKWY,PHOENIX,MARICOPA,85048,NO,,PUBLIC,57,95%,0%,95%,96%,0%,96%,95%,0%,95%,95%,0%,95%,100%,0%,100%,0%,0%,0%
KYRENE DE LOS LAGOS SCHOOL,17001 S 34TH WAY,PHOENIX,MARICOPA,85048,NO,,PUBLIC,91,93%,7%,100%,96%,4%,100%,93%,7%,100%,96%,4%,100%,96%,4%,100%,7%,0%,1%
KYRENE DE LOS NINOS SCHOOL,1330 E DAVA DR,TEMPE,MARICOPA,85283,NO,,PUBLIC,87,92%,3%,97%,93%,3%,98%,92%,3%,95%,94%,3%,98%,94%,3%,98%,3%,0%,3%
KYRENE DEL CIELO SCHOOL,1350 N LAKESHORE DR,CHANDLER,MARICOPA,85226,YES,RN,PUBLIC,92,95%,5%,100%,96%,4%,100%,95%,5%,100%,95%,5%,100%,97%,3%,100%,7%,0%,3%
KYRENE DEL MILENIO,4630 E FRYE RD,PHOENIX,MARICOPA,85048,NO,,PUBLIC,94,99%,1%,100%,99%,1%,100%,99%,1%,100%,99%,1%,100%,99%,1%,100%,2%,0%,0%
KYRENE DEL NORTE SCHOOL,1331 E REDFIELD RD,TEMPE,MARICOPA,85283,NO,,PUBLIC,112,96%,4%,100%,96%,4%,100%,94%,6%,100%,95%,5%,100%,100%,0%,100%,6%,0%,4%
KYRENE DEL SURENO SCHOOL,3375 W GALVESTON RD,CHANDLER,MARICOPA,85226,NO,,PUBLIC,87,99%,1%,100%,99%,1%,100%,99%,1%,100%,99%,1%,100%,99%,1%,100%,1%,0%,1%
KYRENE MONTE VISTA SCHOOL,15221 S RAY RD,PHOENIX,MARICOPA,85048,YES,RN,PUBLIC,96,98%,1%,100%,98%,1%,100%,97%,2%,100%,97%,2%,99%,99%,1%,100%,2%,1%,1%
L.H.U.S.D. #1 - DEVELOPMENTAL PRESCHOOL,2395 SMOKETREE AVENUE,LAKE HAVASU CITY,MOHAVE,86403,YES,RN,PUBLIC,54,98%,2%,100%,98%,2%,100%,98%,2%,100%,98%,2%,100%,98%,2%,100%,2%,0%,2%
LA PALOMA ACADEMY - LAKESIDE,8140 E GOLF LINKS ROAD,TUCSON,PIMA,85730,NO,,CHARTER,114,96%,4%,100%,96%,4%,100%,96%,4%,100%,96%,4%,100%,96%,4%,100%,4%,0%,4%
LA PALOMA ACADEMY SOUTH,5660 S 12TH AVE,TUCSON,PIMA,85706,NO,,CHARTER,51,96%,0%,100%,98%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
LA SENITA ELEMENTARY SCHOOL,3175 GORDON DR,KINGMAN,MOHAVE,,NO,,PUBLIC,31,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,6%,6%,0%
LA TIERRA COMMUNITY SCHOOL,124 N VIRGINIA ST,PRESCOTT,YAVAPAI,86301,NO,,CHARTER,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LAFE NELSON SCHOOL,1100 10TH AVE,SAFFORD,GRAHAM,85546,YES,RN,PUBLIC,63,97%,2%,100%,97%,2%,100%,97%,2%,98%,98%,2%,100%,98%,2%,100%,2%,0%,2%
LAGUNA ELEMENTARY SCHOOL,5001 N SHANNON RD,TUCSON,PIMA,85705,NO,,PUBLIC,41,100%,0%,100%,100%,0%,100%,98%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
LAGUNA ELEMENTARY SCHOOL,10475 E LAKEVIEW DR,SCOTTSDALE,MARICOPA,85258,YES,RN,PUBLIC,57,93%,7%,100%,88%,7%,96%,89%,7%,98%,89%,7%,100%,91%,9%,100%,11%,5%,7%
LAIRD ELEMENTARY SCHOOL,1500 N SCOVEL ST,TEMPE,MARICOPA,85281,YES,RN,PUBLIC,66,92%,5%,100%,92%,5%,100%,95%,5%,100%,94%,5%,100%,95%,5%,100%,5%,0%,5%
LAKE VALLEY ELEMENTARY SCHOOL,3900 N STARLIGHT DR,PRESCOTT VALLEY,YAVAPAI,86314,YES,RN,PUBLIC,35,89%,11%,100%,89%,11%,100%,89%,11%,100%,89%,11%,100%,89%,11%,100%,11%,0%,11%
LAKEVIEW ELEMENTARY SCHOOL,3040 W YUCCA ST,PHOENIX,MARICOPA,85029,NO,,PUBLIC,76,97%,3%,100%,97%,3%,100%,97%,3%,100%,97%,3%,100%,99%,1%,100%,3%,0%,1%
LARKSPUR ELEMENTARY SCHOOL,2430 E LARKSPUR DR,PHOENIX,MARICOPA,85032,YES,RN,PUBLIC,56,95%,2%,100%,98%,0%,100%,96%,4%,100%,98%,2%,100%,100%,0%,100%,2%,0%,2%
LARRY C KENNEDY SCHOOL,2702 E OSBORN RD,PHOENIX,MARICOPA,85016,YES,RN,PUBLIC,56,96%,0%,100%,98%,0%,100%,98%,0%,100%,98%,0%,100%,100%,0%,100%,0%,0%,0%
LAS BRISAS ACADEMY,18211 W LAS BRISAS DR,GOODYEAR,MARICOPA,85338,NO,,PUBLIC,69,94%,6%,100%,94%,6%,100%,94%,6%,100%,93%,7%,100%,93%,7%,100%,9%,9%,9%
LAS BRISAS ELEMENTARY SCHOOL,5805 W ALAMEDA,GLENDALE,MARICOPA,85310,NO,,PUBLIC,113,90%,9%,100%,92%,8%,100%,90%,9%,100%,94%,6%,100%,93%,7%,100%,9%,1%,5%
LAS SENDAS ELEMENTARY SCHOOL,3120 N RED MOUNTAIN RD,MESA,MARICOPA,85207,YES,RN,PUBLIC,110,96%,4%,100%,97%,3%,100%,97%,3%,100%,96%,4%,100%,97%,3%,100%,5%,0%,2%
LATTIE COOR SCHOOL,1406 N CENTRAL AVE,AVONDALE,MARICOPA,85323,NO,,PUBLIC,139,93%,0%,93%,96%,0%,96%,94%,1%,95%,99%,0%,99%,98%,0%,98%,1%,0%,0%
LAURA N. BANKS ELEMENTARY,3200 S LEAD FLOWER AVE,TUCSON,PIMA,85735,YES,RN,PUBLIC,56,98%,2%,100%,96%,2%,98%,96%,2%,98%,98%,2%,100%,98%,2%,100%,2%,0%,0%
LAVEEN ELEMENTARY SCHOOL,4141 W MCNEIL STREET,LAVEEN,MARICOPA,85339,NO,,PUBLIC,69,91%,9%,100%,91%,9%,100%,91%,9%,100%,91%,9%,100%,93%,7%,100%,9%,0%,9%
LE PERA ELEMENTARY SCHOOL,TAHBO RD AND MOHAVE RD,PARKER,LA PAZ,85371,NO,,PUBLIC,22,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
LEADING EDGE ACADEMY - EAST MESA CAMPUS,10115 E UNIVERSITY DR,MESA,MARICOPA,,NO,,CHARTER,37,84%,11%,100%,86%,11%,100%,78%,11%,100%,84%,11%,100%,89%,11%,100%,11%,0%,11%
LEADING EDGE ACADEMY - GILBERT ELEMENTARY CAMPUS,717 W RAY RD,GILBERT,MARICOPA,85233,NO,,CHARTER,34,68%,18%,85%,74%,18%,91%,68%,18%,85%,79%,18%,97%,82%,18%,100%,18%,0%,18%
LEADING EDGE ACADEMY - MARICOPA CAMPUS,19302 N PORTER RD,MARICOPA,PINAL,85238,NO,,CHARTER,92,93%,2%,96%,93%,2%,96%,95%,2%,97%,93%,2%,96%,93%,4%,98%,2%,0%,2%
LEADING EDGE ACADEMY - MOUNTAIN VIEW CAMPUS,4815 W HUNT HWY,QUEEN CREEK,PINAL,85142,NO,,CHARTER,57,84%,11%,95%,88%,11%,98%,86%,11%,96%,89%,7%,96%,89%,9%,98%,11%,0%,7%
LEARNING FOUNDATION AND PERFORMING ARTS ALTA MESA,5761 E BROWN RD,MESA,MARICOPA,85205,NO,,CHARTER,25,88%,12%,100%,88%,12%,100%,84%,12%,96%,84%,12%,96%,88%,12%,100%,12%,0%,12%
LEARNING FOUNDATION AND PERFORMING ARTS STAPLEY,851 N STAPLEY DR,MESA,MARICOPA,85203,NO,,CHARTER,29,100%,0%,100%,100%,0%,100%,90%,10%,100%,97%,3%,100%,100%,0%,100%,10%,0%,0%
LEARNING FOUNDATION AND PERFORMING ARTS WARNER,3939 E WARNER RD,GILBERT,MARICOPA,85296,NO,,CHARTER,51,92%,8%,100%,92%,8%,100%,90%,10%,100%,94%,6%,100%,90%,10%,100%,10%,0%,6%
LEGACY TRADITIONAL CHARTER SCHOOL - GILBERT,2747 S RECKER RD,GILBERT,MARICOPA,85295,YES,LPN,CHARTER,126,85%,15%,100%,86%,14%,100%,84%,16%,100%,90%,10%,100%,91%,9%,100%,18%,0%,2%
LEGACY TRADITIONAL CHARTER SCHOOL - LAVEEN VILLAGE,7900 S 43RD AVE,LAVEEN,MARICOPA,85339,YES,LPN,CHARTER,114,71%,3%,74%,71%,2%,73%,72%,3%,75%,72%,3%,75%,75%,1%,76%,4%,0%,0%
LEGACY TRADITIONAL SCHOOL - AVONDALE,12320 W VAN BUREN ST,AVONDALE,MARICOPA,85323,NO,,CHARTER,150,95%,5%,100%,95%,5%,100%,93%,6%,99%,95%,5%,100%,95%,5%,100%,6%,0%,5%
LEGACY TRADITIONAL SCHOOL - CASA GRANDE,1274 E O'NEIL DR,CASA GRANDE,PINAL,85138,NO,,CHARTER,126,96%,4%,100%,96%,4%,100%,96%,4%,100%,96%,4%,100%,96%,4%,100%,2%,0%,4%
LEGACY TRADITIONAL SCHOOL - GLENDALE,13091 N 67TH AVE,GLENDALE,MARICOPA,85306,YES,RN,PUBLIC,145,92%,6%,99%,99%,0%,99%,94%,6%,99%,94%,6%,100%,97%,3%,100%,8%,0%,3%
LEGACY TRADITIONAL SCHOOL - MARICOPA,17760 REGENT DR,MARICOPA,PINAL,85138,NO,,CHARTER,118,97%,3%,100%,97%,3%,100%,97%,3%,100%,97%,3%,100%,97%,3%,100%,0%,0%,3%
LEGACY TRADITIONAL SCHOOL - NORTH CHANDLER,1900 N MCQUEEN RD,CHANDLER,MARICOPA,85225,NO,,CHARTER,92,89%,11%,100%,88%,12%,100%,87%,13%,100%,88%,12%,100%,89%,11%,100%,13%,13%,13%
LEGACY TRADITIONAL SCHOOL - NORTHWEST TUCSON,3500 W CORTARO FARMS RD,TUCSON,PIMA,85742,NO,,CHARTER,136,89%,10%,100%,89%,10%,100%,89%,10%,100%,99%,1%,100%,95%,5%,100%,10%,0%,10%
LEGACY TRADITIONAL SCHOOL - PEORIA,7877 W. HILLCREST BLVD,PEORIA,MARICOPA,85383,YES,LPN,CHARTER,97,90%,10%,100%,90%,10%,100%,89%,11%,100%,92%,8%,100%,92%,8%,100%,11%,0%,8%
LEGACY TRADITIONAL SCHOOL SURPRISE,14506 W SWEETWATER AVE,SURPRISE,MARICOPA,85379,NO,,CHARTER,202,89%,11%,100%,89%,11%,100%,90%,10%,100%,92%,8%,100%,92%,8%,100%,12%,0%,7%
LEGACY TRADITIONAL SCHOOL-QUEEN CREEK,41800 N. BARNES PKWY,QUEEN CREEK,PINAL,85140,NO,,CHARTER,122,90%,10%,100%,90%,10%,100%,90%,10%,100%,89%,10%,100%,93%,7%,100%,3%,0%,7%
LEGEND SPRINGS ELEMENTARY,21150 N ARROWHEAD LOOP,GLENDALE,MARICOPA,85308,NO,,PUBLIC,96,99%,1%,100%,99%,1%,100%,99%,1%,100%,99%,1%,100%,100%,0%,100%,1%,1%,0%
LEHI ELEMENTARY SCHOOL,2555 N STAPLEY DR,MESA,MARICOPA,85203,YES,RN,PUBLIC,51,98%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
LEMAN ACADEMY OF EXCELLENCE - MARANA,"7720 N SILVERBELL RD, BLDG 1 & 2",TUCSON,PIMA,85743,YES,RN,CHARTER,134,93%,7%,100%,93%,6%,100%,93%,6%,100%,96%,4%,100%,100%,0%,100%,7%,1%,2%
LEMAN ACADEMY OF EXCELLENCE - ORO VALLEY,12255 N LA CAÑADA DRIVE,ORO VALLEY,PIMA,85755,YES,LPN,CHARTER,119,92%,8%,100%,93%,7%,100%,92%,8%,100%,93%,7%,100%,96%,4%,100%,7%,1%,4%
LEMAN ACADEMY OF EXCELLENCE - SIERRA VISTA,1000 E. WILCOX DR,SIERRA VISTA,COCHISE,85635,NO,,CHARTER,77,96%,4%,100%,96%,4%,100%,96%,4%,100%,96%,4%,100%,96%,4%,100%,4%,0%,4%
LEONOR HAMBLY K-8,824 THORNE AVE,WINKLEMAN,GILA,85292,NO,,PUBLIC,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LEUPP BOARDING SCHOOL,,LEUPP,COCONINO,,NO,,PRIVATE,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LEUPP PUBLIC SCHOOL,3285 E SPARROW,LEUPP,COCONINO,86004,YES,RN,PUBLIC,34,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
LIBERTY ARTS ACADEMY,3015 S POWER RD,MESA,MARICOPA,85212,NO,,CHARTER,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LIBERTY ELEMENTARY SCHOOL,19818 W HWY 85,BUCKEYE,MARICOPA,85326,YES,LPN,PUBLIC,68,94%,3%,100%,94%,4%,99%,87%,3%,100%,94%,6%,100%,96%,4%,100%,7%,1%,1%
LIBERTY ELEMENTARY SCHOOL,5495 S LIBERTY AVE,TUCSON,PIMA,85706,YES,RN,PUBLIC,85,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
LIBERTY ELEMENTARY SCHOOL,5125 E MARILYN RD,SCOTTSDALE,MARICOPA,85254,YES,RN,PUBLIC,57,95%,2%,96%,95%,2%,96%,95%,2%,96%,96%,2%,98%,98%,2%,100%,2%,0%,2%
LIBERTY TRADITIONAL CHARTER SCHOOL,4901 W INDIAN SCHOOL RD,PHOENIX,MARICOPA,85031,NO,,CHARTER,43,93%,0%,93%,95%,0%,95%,93%,0%,93%,100%,0%,100%,98%,0%,98%,0%,0%,0%
LIBERTY TRADITIONAL SCHOOL,3300 N LAKE VALLEY RD,PRESCOTT VALLEY,YAVAPAI,86314,YES,RN,PUBLIC,93,96%,4%,100%,94%,6%,100%,92%,8%,100%,96%,4%,100%,96%,4%,100%,9%,0%,4%
LINCOLN ELEMENTARY SCHOOL,930 S SIRRINE,MESA,MARICOPA,85210,YES,RN,PUBLIC,92,98%,0%,99%,99%,0%,99%,99%,0%,99%,99%,0%,99%,100%,0%,100%,0%,0%,0%
LINCOLN ELEMENTARY SCHOOL,652 N TYLER AVE,NOGALES,SANTA CRUZ,85621,YES,RN,PUBLIC,77,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
LINCOLN ELEMENTARY SCHOOL,201 PARK AVE,PRESCOTT,YAVAPAI,86303,NO,,PUBLIC,62,84%,16%,100%,100%,0%,100%,82%,16%,98%,87%,13%,100%,90%,10%,100%,18%,2%,13%
LINDBERGH ELEMENTARY SCHOOL,930 S LAZONA DR,MESA,MARICOPA,85204,YES,RN,PUBLIC,65,94%,2%,100%,94%,2%,100%,95%,2%,100%,95%,2%,100%,98%,2%,100%,2%,0%,2%
LINEWEAVER ELEMENTARY SCHOOL,461 S BRYANT AVE,TUCSON,PIMA,85711,YES,RN,PUBLIC,68,97%,3%,100%,97%,3%,100%,97%,3%,100%,97%,3%,100%,97%,3%,100%,3%,0%,3%
LITCHFIELD ELEMENTARY SCHOOL,13825 W WIGWAM BLVD,LITCHFIELD PARK,MARICOPA,85340,YES,LPN,PUBLIC,120,97%,3%,100%,97%,3%,100%,97%,3%,100%,97%,3%,100%,97%,3%,100%,3%,0%,3%
LITTLE MINNOWS LEARNING CENTER,3348 WESTERN AVENUE,KINGMAN,MOHAVE,86409,NO,,PRIVATE,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LITTLE RED SCHOOLHOUSE,HWY 82 & DUQUESNE RD,NOGALES,SANTA CRUZ,85621,NO,,PUBLIC,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LITTLE SINGER COMMUNITY SCHOOL,PO BOX AQ,WINSLOW,NAVAJO,86047,NO,,PRIVATE,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LITTLETON ELEMENTARY SCHOOL,1252 S 115TH AVE,CASHION,MARICOPA,85323,YES,RN,PUBLIC,60,98%,2%,100%,98%,2%,100%,98%,2%,100%,98%,2%,100%,98%,2%,100%,2%,0%,2%
LOMA LINDA ELEMENTARY SCHOOL,2002 E CLARENDON AVE,PHOENIX,MARICOPA,85016,YES,Both,PUBLIC,58,98%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
LONE MOUNTAIN ELEMENTARY SCHOOL,5250 E MONTGOMERY RD,CAVE CREEK,MARICOPA,85331,NO,,PUBLIC,61,92%,7%,98%,90%,8%,98%,90%,8%,98%,90%,8%,100%,92%,8%,100%,10%,0%,7%
LONGFELLOW ELEMENTARY SCHOOL,345 S HALL ST,MESA,MARICOPA,85204,YES,RN,PUBLIC,56,96%,0%,100%,96%,0%,100%,98%,0%,100%,96%,0%,100%,100%,0%,100%,0%,0%,0%
LONGVIEW ELEMENTARY SCHOOL,1209 E INDIAN SCHOOL RD,PHOENIX,MARICOPA,85014,YES,LPN,PUBLIC,85,98%,0%,98%,96%,0%,96%,99%,0%,99%,98%,0%,98%,99%,0%,99%,0%,0%,0%
LORETTO CATHOLIC SCHOOL,1200 14TH ST,DOUGLAS,COCHISE,85607,NO,,PRIVATE,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LOS AMIGOS ELEMENTARY SCHOOL,2200 E DREXEL RD,TUCSON,PIMA,85706,YES,RN,PUBLIC,88,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
LOS NINOS ELEMENTARY SCHOOL,5445 S ALVERNON WAY,TUCSON,PIMA,85706,YES,RN,PUBLIC,53,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
LOWELL ELEMENTARY SCHOOL,920 E BROADWAY RD,MESA,MARICOPA,85204,YES,RN,PUBLIC,73,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
LOWELL SCHOOL,1121 S 3RD AVE,PHOENIX,MARICOPA,85003,YES,RN,PUBLIC,52,96%,0%,98%,96%,0%,98%,96%,0%,98%,96%,0%,98%,98%,0%,98%,0%,0%,0%
LUKE ELEMENTARY SCHOOL,7300 N DYSART RD,GLENDALE,MARICOPA,85307,YES,LPN,PUBLIC,71,90%,6%,96%,92%,4%,96%,90%,4%,94%,97%,3%,100%,96%,1%,97%,6%,0%,1%
LULU WALKER SCHOOL,1750 W ROLLER COASTER RD,TUCSON,PIMA,85704,NO,,PUBLIC,69,97%,3%,100%,96%,3%,100%,96%,3%,100%,96%,3%,100%,97%,3%,100%,3%,0%,1%
LYNN URQUIDES ELEMENTARY SCHOOL,1573 W AJO WAY,TUCSON,PIMA,85713,YES,RN,PUBLIC,82,99%,1%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,1%,0%,1%
MABEL PADGETT ELEMENTARY SCHOOL,15430 W TURNEY AVE,GOODYEAR,MARICOPA,85395,YES,RN,PUBLIC,107,94%,4%,98%,94%,4%,98%,93%,5%,98%,97%,1%,98%,97%,3%,100%,7%,7%,7%
MACARTHUR ELEMENTARY SCHOOL,1435 E MCLELLAN RD,MESA,MARICOPA,85203,YES,RN,PUBLIC,76,92%,5%,100%,93%,7%,100%,96%,4%,100%,96%,4%,100%,100%,0%,100%,7%,0%,3%
MADISON CAMELVIEW ELEMENTARY,2002 E CAMPBELL AVE,PHOENIX,MARICOPA,85016,NO,,PUBLIC,113,97%,3%,100%,96%,3%,100%,97%,3%,100%,97%,3%,100%,97%,3%,100%,3%,0%,3%
MADISON ELEMENTARY SCHOOL,849 S SUNNYVALE,MESA,MARICOPA,85206,YES,RN,PUBLIC,55,91%,7%,98%,91%,7%,98%,89%,7%,96%,93%,7%,100%,100%,0%,100%,7%,0%,7%
MADISON HEIGHTS ELEMENTARY SCHOOL,7150 N 22ND ST,PHOENIX,MARICOPA,85020,NO,,PUBLIC,75,88%,11%,100%,88%,12%,100%,88%,12%,100%,89%,9%,100%,91%,9%,100%,15%,4%,15%
MADISON RICHARD SIMIS SCHOOL,7302 N 10TH ST,PHOENIX,MARICOPA,85020,YES,RN,PUBLIC,166,92%,8%,100%,92%,8%,100%,92%,8%,100%,92%,8%,100%,92%,8%,100%,8%,0%,7%
MADISON ROSE LANE SCHOOL,1155 E ROSE LN,PHOENIX,MARICOPA,85014,YES,RN,PUBLIC,181,93%,7%,100%,93%,6%,100%,94%,6%,100%,94%,6%,100%,94%,6%,100%,7%,1%,6%
MADISON TRADITIONAL ACADEMY,5525 N 16TH ST,PHOENIX,MARICOPA,85014,NO,,PUBLIC,78,100%,0%,100%,100%,0%,100%,99%,1%,100%,97%,3%,100%,97%,3%,100%,4%,0%,0%
MAGICAL JOURNEY LEARNING CENTER,1241 EAST CHANDLER BLVD #115,PHOENIX,MARICOPA,85048,NO,,PRIVATE,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MAGMA RANCH K-8 SCHOOL,10980 E DESERT MOUNTAIN BLVD,FLORENCE,PINAL,85232,NO,,PUBLIC,56,86%,5%,91%,91%,5%,96%,82%,5%,88%,88%,5%,93%,84%,5%,89%,5%,0%,5%
MAGNET TRADITIONAL SCHOOL,2602 N 23RD AVE,PHOENIX,MARICOPA,85009,YES,RN,PUBLIC,40,98%,3%,100%,93%,3%,95%,98%,3%,100%,98%,3%,100%,98%,3%,100%,3%,0%,3%
MAIE BARTLETT HEARD SCHOOL,2301 W THOMAS RD,PHOENIX,MARICOPA,85015,YES,LPN,PUBLIC,44,98%,0%,98%,98%,0%,98%,100%,0%,100%,95%,0%,95%,100%,0%,100%,0%,0%,0%
MAINE CONSOLIDATED SCHOOL,10 SPRING VALLEY RD,PARKS,COCONINO,86018,NO,,PUBLIC,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MALDONADO AMELIA ELEMENTARY SCHOOL,3535 W MESSALA WAY,TUCSON,PIMA,85746,YES,RN,PUBLIC,36,97%,0%,97%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
MAMMOTH ELEMENTARY SCHOOL,111 W DUNGAN DR,MAMMOTH,PINAL,85618,NO,,PUBLIC,27,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
MANUEL DEMIGUEL ELEMENTARY SCHOOL,3500 S GILLENWATER DR,FLAGSTAFF,COCONINO,86005,YES,RN,PUBLIC,126,90%,10%,100%,92%,8%,100%,91%,9%,100%,93%,7%,100%,89%,11%,100%,12%,0%,6%
MANUEL PENA JR. ELEMENTARY SCHOOL,2550 N 79TH AVE,PHOENIX,MARICOPA,85035,YES,LPN,PUBLIC,117,91%,3%,100%,93%,3%,100%,95%,3%,100%,94%,3%,100%,97%,3%,100%,3%,0%,3%
"MANY FARMS COMMUNITY SCHOOL, INC",HWY 191,MANY FARMS,APACHE,86538,NO,,PUBLIC,28,93%,0%,100%,96%,0%,100%,96%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
