SCHOOL_NAME,SCHOOL_TYPE,SCHOOL_ADDRESS_ONE,CITY,COUNTY,ZIP_CODE,HAS_NURSE,NURSE_TYPE,ENROLLED,PCT_IMMUNE_DTAP,PCT_EXEMPT_DTAP,PCT_COMPLIANCE_DTAP,PCT_IMMUNE_POLIO,PCT_EXEMPT_POLIO,PCT_COMPLIANCE_POLIO,PCT_IMMUNE_MMR,PCT_EXEMPT_MMR,PCT_COMPLIANCE_MMR,PCT_IMMUNE_HEPB,PCT_EXEMPT_HEPB,PCT_COMPLIANCE_HEPB,PCT_IMMUNE_VAR,PCT_EXEMPT_VAR,PCT_COMPLIANCE_VAR,PCT_PBE,PCT_MEDICAL_EXEMPT,PCT_PBE_EXEMPT_ALL
John And Carol Carlson Elementary,Public,5400 S White Dr.,Chandler,Maricopa,85249,N,,114,89.50%,10.50%,100%,88.60%,11.40%,100%,88.60%,11.40%,100%,88.60%,11.40%,100%,91.20%,8.80%,100%,12.30%,0.00%,0.00%
John E White Elementary School,Public,2315 W Canada St.,Tucson,Pima,85746,Y,RN,88,98.90%,1.10%,100%,100%,0.00%,100%,98.90%,1.10%,100%,100%,0.00%,100%,94.30%,0.00%,100%,1.10%,0.00%,0.00%
John E Wright Elementary School,Public,4311 E Linden St. ,Tucson,Pima,85712,Y,RN,77,98.70%,0.00%,98.70%,98.70%,0.00%,98.70%,98.70%,0.00%,98.70%,97.40%,1.30%,98.70%,87.00%,1.30%,100%,0.00%,1.30%,0.00%
John F Long School,Public,4407 N 55th Ave.,Phoenix,Maricopa,85031,Y,RN,141,96.50%,0.70%,97.20%,96.50%,0.70%,97.20%,99.30%,0.70%,100%,98.60%,0.70%,99.30%,91.50%,0.70%,100%,0.70%,0.00%,0.70%
John F. Kennedy Elementary School (Phoenix),Public,6825 S. 10th St.,Phoenix,Maricopa,85042,Y,RN,107,97.20%,0.90%,98.10%,98.10%,0.90%,99.10%,99.10%,0.90%,100%,98.10%,0.90%,99.10%,96.30%,0.90%,100%,0.00%,0.90%,0.00%
John F. Kennedy School (Whiteriver),Private,P.O. Box 130,Whiteriver,Navajo,85941,N,,24,95.80%,0.00%,95.80%,91.70%,0.00%,91.70%,95.80%,0.00%,95.80%,100%,0.00%,100%,95.80%,0.00%,100%,0.00%,0.00%,0.00%
John Jacobs Elementary School,Public,14421 N 23rd Ave.,Phoenix,Maricopa,85023,N,,82,93.90%,6.10%,100%,93.90%,6.10%,100%,93.90%,6.10%,100%,93.90%,6.10%,100%,85.40%,2.40%,100%,7.30%,2.40%,7.30%
John M Andersen Elementary School,Public,1350 N Pennington St.,Chandler,Maricopa,85224,N,,85,94.10%,5.90%,100%,91.80%,5.90%,97.60%,94.10%,5.90%,100%,100%,0.00%,100%,65.90%,4.70%,100%,5.90%,0.00%,5.90%
John Q Thomas Elementary School,Public,3300 E Lockett Rd.,Flagstaff,Coconino,86004,Y,RN,79,98.70%,1.30%,100%,98.70%,1.30%,100%,98.70%,1.30%,100%,98.70%,1.30%,100%,97.50%,1.30%,100%,1.30%,0.00%,1.30%
John R Davis School,Public,6209 S 15th Ave.,Phoenix,Maricopa,85041,Y,RN,65,98.50%,1.50%,100%,98.50%,1.50%,100%,98.50%,1.50%,100%,98.50%,1.50%,100%,95.40%,1.50%,100%,1.50%,0.00%,0.00%
Johnson Elementary School,Public,3807 E Pueblo Ave.,Mesa,Maricopa,85201,Y,RN,78,91.00%,2.60%,93.60%,92.30%,2.60%,94.90%,93.60%,2.60%,96.20%,89.70%,2.60%,92.30%,76.90%,2.60%,98.70%,2.60%,0.00%,2.60%
Jordan Elementary School,Public,3320 N Carriage Ln.,Chandler,Maricopa,85224,Y,RN,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Joseph City Elementary School,Public,P.O. Box 8,Joseph City,Navajo,86032,N,,29,72.40%,27.60%,100%,72.40%,27.60%,100%,72.40%,27.60%,100%,72.40%,27.60%,100%,72.40%,27.60%,100%,27.60%,0.00%,13.80%
Joseph Zito Elementary School,Public,4525 W. Encanto Blvd.,Phoenix,Maricopa,85035,N,,150,96.70%,0.00%,96.70%,97.30%,0.00%,97.30%,99.30%,0.00%,99.30%,96.00%,0.00%,96.00%,85.30%,0.00%,100%,0.00%,0.00%,0.00%
Joy Christian School,Private,21000 N 75th Ave.,Glendale,Maricopa,85308,Y,RN,47,100%,0.00%,100%,100%,0.00%,100%,89.40%,10.60%,100%,95.70%,4.30%,100%,91.50%,4.30%,100%,10.60%,2.10%,12.80%
Justine Spitalny Elementary School,Public,3201 N 46th Dr.,Phoenix,Maricopa,85031,Y,RN,109,97.20%,1.80%,99.10%,95.40%,3.70%,99.10%,95.40%,3.70%,99.10%,96.30%,1.80%,98.20%,82.60%,1.80%,99.10%,4.60%,0.00%,0.00%
Kachina Elementary,Public,5304 W. Crocus Dr. ,Glendale,Maricopa,85306,Y,RN,48,97.90%,2.10%,100%,97.90%,2.10%,100%,97.90%,2.10%,100%,97.90%,2.10%,100%,97.90%,2.10%,100%,2.10%,0.00%,0.00%
Kathryn Sue Simonton Elementary,Public,40300 N Simonton Blvd.,Queen Creek,Pinal,85240,Y,LPN,64,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,98.40%,0.00%,100%,0.00%,0.00%,0.00%
Keeling Elementary,Public,2837 N. Los Altos Ave. ,Tucson,Pima,85705,N,,66,100%,0.00%,100%,98.50%,0.00%,98.50%,100%,0.00%,100%,100%,0.00%,100%,98.50%,0.00%,100%,0.00%,0.00%,0.00%
Keller Elementary School,Public,1445 E Hilton Ave.,Mesa,Maricopa,85204,Y,RN,66,95.50%,0.00%,95.50%,97.00%,0.00%,97.00%,97.00%,0.00%,97.00%,95.50%,0.00%,95.50%,95.50%,0.00%,100%,3.00%,0.00%,0.00%
Kenilworth School,Public,1210 North 5th Ave.,Phoenix,Maricopa,85036,Y,RN,52,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,0.00%,0.00%,0.00%
Kerr Elementary School,Public,125 E Mclellan Rd. ,Mesa,Maricopa,85201,Y,RN,82,96.30%,3.70%,100%,97.60%,2.40%,100%,97.60%,2.40%,100%,96.30%,3.70%,100%,90.20%,0.00%,100%,2.40%,0.00%,0.00%
Keystone Montessori,Private,1025 E. Liberty Ln.,Phoenix,Maricopa,85048,N,,24,83.30%,16.70%,100%,79.20%,20.80%,100%,79.20%,20.80%,100%,79.20%,20.80%,100%,79.20%,20.80%,100%,12.50%,0.00%,12.50%
Khalsa Montessori Elementary School - Pho,Charter,2536 N 3rd St.,Phoenix,Maricopa,85004,N,,25,76.00%,24.00%,100%,76.00%,24.00%,100%,76.00%,24.00%,100%,76.00%,24.00%,100%,56.00%,24.00%,100%,24.00%,0.00%,0.00%
Khalsa School Camden,Charter,3701 E River Rd.,Tucson,Pima,85718,N,,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Khalsa School River,Charter,3701 E River Rd.,Tucson,Pima,85718,N,,29,86.20%,13.80%,100%,79.30%,13.80%,93.10%,86.20%,13.80%,100%,69.00%,24.10%,93.10%,82.80%,13.80%,100%,24.10%,0.00%,13.80%
Killip Elementary,Public,2300 E 6th Ave.,Flagstaff,Coconino,86004,Y,RN,61,96.70%,1.60%,98.40%,98.40%,0.00%,98.40%,98.40%,0.00%,98.40%,100%,0.00%,100%,93.40%,0.00%,100%,1.60%,0.00%,0.00%
Kin Dah Lichi'i Olta,Private,2 Miles N Of Mp 452 On Hwy 2,Kinlichee,Apache,86505,N,,21,100%,0.00%,100%,100%,0.00%,100%,90.50%,9.50%,100%,100%,0.00%,100%,90.50%,0.00%,100%,9.50%,0.00%,0.00%
Kinderbugs Preschool Llc,Private,4365 E Pecos Rd. Ste143,Gilbert,Maricopa,85297,N,,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kindergarten At North Phoenix,Private,5757 North Central Ave.,Phoenix,Maricopa,85012,N,,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kingman Academy Of Learning - Primary,Charter,3410 N Burbank St.,Kingman,Mohave,86409,N,,96,91.70%,7.30%,99.00%,91.70%,7.30%,99.00%,89.60%,7.30%,96.90%,92.70%,6.30%,99.00%,79.20%,0.00%,100%,6.30%,4.20%,6.30%
Kingswood Elementary School,Public,15150 W Mondell Rd.,Surprise,Maricopa,85374,Y,RN,43,93.00%,2.30%,95.30%,95.30%,0.00%,95.30%,95.30%,0.00%,95.30%,100%,0.00%,100%,72.10%,0.00%,100%,2.30%,0.00%,2.30%
Kirkland Elementary School,Public,14200 West Kirkland-Hillside Rd.,Kirkland,Yavapai,86332,N,,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kiser Elementary School,Public,Interstate 8 Exit 106,Gila Bend,Maricopa,85337,N,,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Kiva Elementary School,Public,6911 E Mcdonald Dr.,Paradise Valley,Maricopa,85253,Y,RN,81,88.90%,8.60%,97.50%,92.60%,4.90%,97.50%,91.40%,8.60%,100%,95.10%,4.90%,100%,77.80%,2.50%,100%,9.90%,2.50%,2.50%
Knox Gifted Academy,Public,700 W. Orchid Ln.,Chandler,Maricopa,85225,N,,44,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,79.50%,0.00%,100%,0.00%,0.00%,0.00%
Kyrene De La Colina School,Public,13612 S 36th St.,Phoenix,Maricopa,85044,N,,70,92.90%,7.10%,100%,92.90%,7.10%,100%,91.40%,8.60%,100%,94.30%,5.70%,100%,82.90%,0.00%,100%,8.60%,0.00%,4.30%
Kyrene De La Esperanza,Public,14841 S. 41st Pl.,Phoenix,Maricopa,85044,N,,92,96.70%,3.30%,100%,96.70%,3.30%,100%,96.70%,3.30%,100%,96.70%,3.30%,100%,85.90%,0.00%,100%,4.30%,0.00%,0.00%
Kyrene De La Estrella Elementary School,Public,2620 E Liberty Ln.,Phoenix,Maricopa,85048,N,,53,92.50%,7.50%,100%,94.30%,5.70%,100%,92.50%,7.50%,100%,92.50%,7.50%,100%,79.20%,0.00%,100%,7.50%,0.00%,0.00%
Kyrene De La Mariposa,Public,50 E Knox Rd.,Tempe,Maricopa,85284,Y,RN,76,92.10%,0.00%,92.10%,96.10%,0.00%,96.10%,92.10%,0.00%,92.10%,93.40%,0.00%,93.40%,97.40%,0.00%,97.40%,0.00%,0.00%,0.00%
Kyrene De La Mirada School,Public,5500 W Galveston St.,Chandler,Maricopa,85226,N,,114,96.50%,2.60%,99.10%,97.40%,1.80%,99.10%,97.40%,2.60%,100%,96.50%,1.80%,98.20%,97.40%,2.60%,100%,2.60%,0.00%,1.80%
Kyrene De La Paloma,Public,5000 West Whitten St.,Chandler,Maricopa,85226,N,,74,87.80%,5.40%,93.20%,86.50%,5.40%,91.90%,85.10%,5.40%,90.50%,85.10%,8.10%,93.20%,90.50%,0.00%,100%,6.80%,0.00%,5.40%
Kyrene De La Sierra,Public,1162 East Liberty Ln.,Phoenix,Maricopa,85048,N,,52,96.20%,3.80%,100%,96.20%,3.80%,100%,96.20%,3.80%,100%,96.20%,3.80%,100%,90.40%,0.00%,100%,3.80%,0.00%,0.00%
Kyrene De Las Brisas School,Public,777 N Desert Breeze Blvd.,Chandler,Maricopa,85226,N,,86,89.50%,0.00%,89.50%,91.90%,0.00%,91.90%,91.90%,0.00%,91.90%,95.30%,0.00%,95.30%,81.40%,0.00%,97.70%,2.30%,0.00%,2.30%
Kyrene De Las Lomas,Public,11820 S. Warner Elliot Loop,Phoenix,Maricopa,85044,N,,117,92.30%,2.60%,94.90%,93.20%,3.40%,96.60%,93.20%,3.40%,96.60%,96.60%,2.60%,99.10%,88.90%,1.70%,100%,3.40%,0.00%,0.90%
Kyrene De Las Manitas,Public,1201 W. Courtney Ln.,Tempe,Maricopa,85284,N,,104,94.20%,5.80%,100%,96.20%,3.80%,100%,95.20%,4.80%,100%,95.20%,4.80%,100%,89.40%,0.00%,100%,6.70%,1.00%,0.00%
Kyrene De Los Cerritos School,Public,14620 S Desert Foothills Pkwy,Phoenix,Maricopa,85048,N,,62,96.80%,0.00%,96.80%,98.40%,0.00%,98.40%,98.40%,0.00%,98.40%,96.80%,0.00%,96.80%,91.90%,0.00%,100%,0.00%,0.00%,0.00%
Kyrene De Los Lagos School,Public,17001 S 34th Way,Phoenix,Maricopa,85048,N,,102,93.10%,0.00%,93.10%,93.10%,0.00%,93.10%,96.10%,0.00%,96.10%,97.10%,0.00%,97.10%,86.30%,0.00%,100%,7.80%,0.00%,0.00%
Kyrene De Los Ninos School,Public,1330 E Dava Dr.,Tempe,Maricopa,85283,N,,85,95.30%,4.70%,100%,96.50%,3.50%,100%,96.50%,3.50%,100%,96.50%,3.50%,100%,94.10%,3.50%,100%,5.90%,0.00%,3.50%
Kyrene del Cielo School,Private,1350 N. Lakeshore Dr. ,Tempe,Navajo,85226,N,,136,95.60%,4.40%,100%,94.10%,5.90%,100%,93.40%,6.60%,100%,94.10%,5.90%,100%,86.00%,4.40%,100%,5.90%,0.70%,3.70%
Kyrene Del Milenio School,Public,4630 W Frye Rd.,Phoenix,Maricopa,85044,N,,97,92.80%,3.10%,95.90%,94.80%,3.10%,97.90%,92.80%,3.10%,95.90%,95.90%,2.10%,97.90%,87.60%,2.10%,100%,3.10%,0.00%,3.10%
Kyrene Del Norte School,Public,1331 E. Redfield Rd.,Tempe,Maricopa,85283,N,,88,92.00%,8.00%,100%,92.00%,8.00%,100%,90.90%,9.10%,100%,90.90%,9.10%,100%,83.00%,0.00%,100%,11.40%,0.00%,0.00%
Kyrene Monte Vista School,Public,15221 S Ray Rd.,Phoenix,Maricopa,85048,Y,RN,89,97.80%,2.20%,100%,97.80%,2.20%,100%,97.80%,2.20%,100%,98.90%,1.10%,100%,97.80%,1.10%,100%,2.20%,1.10%,0.00%
Kyrene Traditional Academy Sureno,Public,3375 W. Galveston St.,Chandler,Maricopa,85226,N,,96,94.80%,5.20%,100%,95.80%,4.20%,100%,94.80%,5.20%,100%,94.80%,5.20%,100%,92.70%,2.10%,100%,7.30%,0.00%,0.00%
La Paloma Academy - Central Campus,Charter,2050 N. Wilmot Rd.,Tucson,Pima,85712,N,,95,97.90%,0.00%,97.90%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,91.60%,0.00%,100%,0.00%,0.00%,0.00%
La Paloma Academy - Lakeside Campus,Charter,8140 E. Golf Links Rd.,Tucson,Pima,85730,N,,108,98.10%,0.00%,98.10%,96.30%,0.00%,96.30%,95.40%,0.00%,95.40%,96.30%,0.00%,96.30%,91.70%,0.00%,100%,0.00%,0.00%,0.00%
La Paloma Academy - South Campus,Charter,5660 S 12th Av,Tucson,Pima,85706,N,,46,97.80%,2.20%,100%,97.80%,2.20%,100%,97.80%,2.20%,100%,97.80%,2.20%,100%,97.80%,2.20%,100%,2.20%,0.00%,0.00%
La Tierra Community School,Charter,124 N Virginia St.,Prescott,Yavapai,86301,N,,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Lafe Nelson School,Public,1100 S. 10th Ave.,Safford,Graham,85546,Y,RN,76,97.40%,2.60%,100%,96.10%,2.60%,98.70%,94.70%,2.60%,97.40%,97.40%,2.60%,100%,94.70%,2.60%,100%,2.60%,0.00%,0.00%
Laguna Elementary,Public,10475 E Lakeview Dr.,Scottsdale,Maricopa,85258,Y,RN,70,94.30%,4.30%,98.60%,95.70%,4.30%,100%,94.30%,2.90%,97.10%,97.10%,2.90%,100%,80.00%,2.90%,100%,2.90%,0.00%,2.90%
Laguna Elementary School,Public,5001 N Shannon Rd.,Tucson,Pima,85705,N,,62,98.40%,1.60%,100%,98.40%,1.60%,100%,98.40%,1.60%,100%,98.40%,1.60%,100%,98.40%,1.60%,100%,1.60%,0.00%,0.00%
Laird Elementary School,Public,1500 N Scovel St.,Tempe,Maricopa,85281,Y,RN,49,79.60%,4.10%,83.70%,95.90%,4.10%,100%,93.90%,4.10%,98.00%,93.90%,4.10%,98.00%,89.80%,4.10%,100%,4.10%,0.00%,4.10%
Lake Pleasant Elementary School,Public,31501 N. Westland Rd.,Peoria,Maricopa,85383,Y,RN,64,96.90%,3.10%,100%,95.30%,3.10%,98.40%,95.30%,3.10%,98.40%,96.90%,3.10%,100%,95.30%,3.10%,100%,3.10%,0.00%,3.10%
Lake Valley Elementary School,Public,3900 N Starlight Dr.,Prescott Valley,Yavapai,86314,Y,RN,52,86.50%,11.50%,98.10%,90.40%,9.60%,100%,88.50%,9.60%,98.10%,92.30%,7.70%,100%,71.20%,7.70%,100%,11.50%,0.00%,5.80%
Lake View Elementary School (Page),Public,1801 N Navajo Dr.,Page,Coconino,86040,N,,160,96.30%,3.80%,100%,96.90%,3.10%,100%,97.50%,2.50%,100%,95.60%,4.40%,100%,98.80%,0.00%,99.40%,3.80%,2.50%,0.00%
Lakeview Elementary School (Phoenix),Public,3040 W Yucca St. ,Phoenix,Maricopa,85023,N,,75,90.70%,5.30%,96.00%,92.00%,5.30%,97.30%,94.70%,5.30%,100%,93.30%,5.30%,98.70%,88.00%,4.00%,100%,6.70%,1.30%,0.00%
Lamb's Gate Christian School,Private,4700 N Swan Rd.,Tucson,Pima,85718,N,,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Larkspur Elementary School,Public,2430 E Larkspur Dr. ,Phoenix,Maricopa,85032,Y,RN,60,93.30%,5.00%,98.30%,96.70%,3.30%,100%,96.70%,3.30%,100%,96.70%,3.30%,100%,85.00%,0.00%,100%,3.30%,1.70%,5.00%
Larry C Kennedy School,Public,2702 E Osborn Rd.,Phoenix,Maricopa,85016,Y,LPN,66,100%,0.00%,100%,100%,0.00%,100%,98.50%,0.00%,98.50%,100%,0.00%,100%,100%,0.00%,100%,0.00%,0.00%,0.00%
Las Brisas Academy,Public,18211 W Las Brisas Dr.,Goodyear,Maricopa,85338,N,,66,92.40%,6.10%,98.50%,92.40%,6.10%,98.50%,92.40%,6.10%,98.50%,92.40%,6.10%,98.50%,95.50%,4.50%,100%,7.60%,0.00%,0.00%
Las Brisas Elementary School,Public,5508 W. Alameda Rd.,Glendale,Maricopa,85310,Y,RN,104,93.30%,6.70%,100%,94.20%,5.80%,100%,93.30%,6.70%,100%,94.20%,5.80%,100%,88.50%,4.80%,100%,6.70%,0.00%,0.00%
Las Sendas Elementary School,Public,3120 N Red Mountain Rd.,Mesa,Maricopa,85207,Y,RN,100,96.00%,4.00%,100%,96.00%,4.00%,100%,95.00%,5.00%,100%,96.00%,4.00%,100%,84.00%,0.00%,100%,5.00%,0.00%,5.00%
Lattie Coor School,Public,1406 N Central Ave.,Avondale,Maricopa,85323,Y,LPN,85,96.50%,0.00%,96.50%,96.50%,0.00%,96.50%,95.30%,0.00%,95.30%,98.80%,0.00%,98.80%,100%,0.00%,100%,0.00%,0.00%,0.00%
Laura N. Banks Elementary,Public,3200 S Lead Flower Ave. ,Tucson,Pima,85735,Y,RN,57,93.00%,0.00%,93.00%,94.70%,0.00%,94.70%,94.70%,0.00%,94.70%,98.20%,0.00%,98.20%,87.70%,0.00%,98.20%,0.00%,0.00%,0.00%
Laveen Elementary School,Public,4141 West Mcneil St.,Laveen,Maricopa,85339,N,,100,99.00%,0.00%,99.00%,99.00%,0.00%,99.00%,100%,0.00%,100%,99.00%,0.00%,99.00%,100%,0.00%,100%,0.00%,0.00%,0.00%
Le Pera Elementary School,Public,19121 Tahbo Rd.,Parker,La Paz,85344,N,,27,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,0.00%,0.00%,0.00%
Leading Edge Academy,Charter,18700 N. Porter Rd.,Maricopa,Pinal,85138,N,,50,90.00%,4.00%,94.00%,86.00%,4.00%,90.00%,84.00%,4.00%,88.00%,90.00%,4.00%,94.00%,66.00%,4.00%,98.00%,4.00%,0.00%,0.00%
Leading Edge Academy At East Mesa,Charter,10115 E. University Dr. ,Mesa,Maricopa,85207,N,,21,71.40%,4.80%,76.20%,71.40%,4.80%,76.20%,71.40%,4.80%,76.20%,90.50%,4.80%,95.20%,66.70%,4.80%,90.50%,4.80%,0.00%,0.00%
Learning Foundation And Performing Arts Alta Mesa,Charter,5761 E Brown Rd.,Mesa,Maricopa,85296,N,,28,75.00%,25.00%,100%,75.00%,25.00%,100%,75.00%,25.00%,100%,75.00%,25.00%,100%,75.00%,25.00%,100%,25.00%,0.00%,0.00%
Learning Foundation And Performing Arts Stapley,Charter,851 N Stapley Dr.,Mesa,Maricopa,85203,N,,33,84.80%,15.20%,100%,81.80%,18.20%,100%,81.80%,18.20%,100%,81.80%,18.20%,100%,78.80%,9.10%,100%,18.20%,0.00%,0.00%
Learning Foundation And Performing Arts Warner,Charter,3939 E. Warner Rd.,Gilbert,Maricopa,85296,N,,52,84.60%,15.40%,100%,82.70%,17.30%,100%,84.60%,15.40%,100%,88.50%,11.50%,100%,88.50%,9.60%,100%,19.20%,0.00%,9.60%
Legacy Montessori Inc,Private,P.O. Box 868,Maricopa,Pinal,85139,N,,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Legacy School,Charter,7618 E. University Dr. ,Mesa,Maricopa,85207,N,,33,93.90%,3.00%,97.00%,84.80%,3.00%,87.90%,72.70%,3.00%,75.80%,97.00%,3.00%,100%,63.60%,3.00%,97.00%,3.00%,0.00%,0.00%
Legacy Traditional Charter,Charter,12320 W Van Buren St.,Avondale,Maricopa,85323,N,,141,95.70%,4.30%,100%,95.70%,4.30%,100%,95.70%,4.30%,100%,97.20%,2.80%,100%,87.90%,3.50%,100%,4.30%,0.00%,2.80%
Legacy Traditional School,Charter,7900 S. 43rd Ave.,Laveen,Maricopa,85339,N,,95,91.60%,8.40%,100%,91.60%,8.40%,100%,89.50%,8.40%,97.90%,91.60%,8.40%,100%,62.10%,8.40%,100%,8.40%,0.00%,8.40%
Legacy Traditional School - Casa Grande,Charter,1274 E O'neil Dr.,Casa Grande,Pinal,85138,Y,LPN,135,96.30%,3.70%,100%,96.30%,3.70%,100%,96.30%,3.70%,100%,96.30%,3.70%,100%,89.60%,3.70%,100%,3.70%,0.00%,3.70%
Legacy Traditional School - Gilbert,Charter,2747 S Recker Rd.,Gilbert,Maricopa,85295,N,,149,85.90%,14.10%,100%,87.90%,12.10%,100%,85.90%,14.10%,100%,88.60%,11.40%,100%,78.50%,8.70%,100%,19.50%,0.70%,6.70%
Legacy Traditional School - Maricopa,Charter,17760 Regent Dr.,Maricopa,Pinal,85138,N,,128,94.50%,5.50%,100%,95.30%,4.70%,100%,94.50%,5.50%,100%,96.10%,3.90%,100%,85.90%,3.90%,100%,4.70%,0.80%,0.00%
Legacy Traditional Schools - Northwest,Charter,3500 W. Cortaro Farms Rd.,Tucson,Pima,85742,N,,149,94.00%,6.00%,100%,94.00%,6.00%,100%,94.00%,6.00%,100%,94.00%,6.00%,100%,94.00%,5.40%,100%,6.00%,0.00%,6.00%
Legacy Traditional Schools - Queen Creek,Charter,41800 N. Barnes Pkwy,San Tan Valley,Pinal,85140,N,,116,87.90%,12.10%,100%,87.90%,12.10%,100%,87.90%,12.10%,100%,89.70%,10.30%,100%,84.50%,11.20%,100%,12.10%,0.00%,0.00%
Legacy Traditional Schools - Surprise,Charter,14506 W. Sweetwater Ave.,Surprise,Maricopa,85379,N,,156,91.00%,9.00%,100%,91.00%,9.00%,100%,86.50%,13.50%,100%,92.30%,7.70%,100%,44.90%,5.80%,100%,13.50%,1.30%,4.50%
Legend Springs Elementary,Public,21150 N Arrowhead Loop Rd.,Glendale,Maricopa,85308,Y,RN,99,96.00%,4.00%,100%,98.00%,2.00%,100%,96.00%,4.00%,100%,97.00%,3.00%,100%,92.90%,1.00%,100%,3.00%,1.00%,0.00%
Lehi Elementary School,Public,2555 N Stapley Dr.,Mesa,Maricopa,85203,Y,RN,56,98.20%,0.00%,98.20%,98.20%,0.00%,98.20%,100%,0.00%,100%,100%,0.00%,100%,80.40%,0.00%,100%,0.00%,0.00%,0.00%
Leman Academy Of Excellence,Charter,7720 N Silverbell Rd.,Tucson,Pima,85743,Y,RN,90,93.30%,6.70%,100%,92.20%,7.80%,100%,93.30%,6.70%,100%,93.30%,6.70%,100%,87.80%,0.00%,100%,10.00%,1.10%,6.70%
Leonor Hambly K-8,Public,P.O. Box 409,Winkelman,Gila,85192,N,,25,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,96.00%,0.00%,100%,0.00%,0.00%,0.00%
Leupp Public School,Public,3285 E Sparrow Ave. ,Flagstaff,Coconino,86004,Y,RN,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Lexis Preparatory School,Private,11130 E Cholla St. Suite H-100,Scottsdale,Maricopa,85259,N,,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Liberty Arts Academy,Charter,3015 South Power Rd.,Mesa,Maricopa,85212,N,,37,78.40%,16.20%,94.60%,81.10%,16.20%,97.30%,81.10%,16.20%,97.30%,78.40%,16.20%,94.60%,62.20%,16.20%,97.30%,16.20%,0.00%,0.00%
Liberty Elementary School (Buckeye),Public,19818 W. Us Highway 85,Buckeye,Maricopa,85326,Y,LPN,52,88.50%,5.80%,94.20%,80.80%,5.80%,86.50%,82.70%,5.80%,88.50%,90.40%,3.80%,94.20%,78.80%,3.80%,100%,5.80%,0.00%,0.00%
Liberty Elementary School (Scottsdale),Public,5125 E Marilyn Rd.,Scottsdale,Maricopa,85254,Y,RN,69,95.70%,4.30%,100%,97.10%,2.90%,100%,95.70%,4.30%,100%,97.10%,2.90%,100%,89.90%,2.90%,100%,4.30%,0.00%,2.90%
Liberty Elementary School (Tucson),Public,5495 S Liberty Ave.,Tucson,Pima,85706,Y,RN,96,97.90%,1.00%,99.00%,99.00%,1.00%,100%,99.00%,1.00%,100%,99.00%,1.00%,100%,95.80%,1.00%,100%,1.00%,0.00%,1.00%
Liberty Traditional Charter School,Charter,4027 N 45th Ave.,Phoenix,Maricopa,85031,N,,29,96.60%,0.00%,96.60%,96.60%,0.00%,96.60%,93.10%,0.00%,93.10%,93.10%,0.00%,93.10%,93.10%,0.00%,100%,0.00%,0.00%,0.00%
Liberty Traditional School,Public,3300 N Lake Valley Rd.,Prescott Valley,Yavapai,86314,Y,RN,73,93.20%,6.80%,100%,94.50%,5.50%,100%,93.20%,6.80%,100%,94.50%,5.50%,100%,84.90%,2.70%,100%,11.00%,0.00%,4.10%
Lifelong Learning Academy,Charter,P.O. Box 36045,Tucson,Pima,85740,N,,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
