SCHOOL_NAME,SCHOOL_TYPE,SCHOOL_NURSE,SCHOOL_NURSE_TYPE,ENROLLED,ADDRESS_1,CITY,STATE,ZIP,COUNTY,ENROLLED_WEBSITE,PCT_IMMUNE_DTAP,PCT_EXEMPT_DTAP,PCT_COMPLIANCE_DTAP,PCT_IMMUNE_TDAP,PCT_EXEMPT_TDAP,PCT_COMPLIANCE_TDAP,PCT_IMMUNE_MVMVC,PCT_EXEMPT_MVMVC,PCT_COMPLIANCE_MVMVC,PCT_IMMUNE_POLIO,PCT_EXEMPT_POLIO,PCT_COMPLIANCE_POLIO,PCT_IMMUNE_MMR,PCT_EXEMPT_MMR,PCT_COMPLIANCE_MMR,PCT_IMMUNE_HEPB,PCT_EXEMPT_HEPB,PCT_COMPLIANCE_HEPB,PCT_IMMUNE_VAR,PCT_EXEMPT_VAR,PCT_COMPLIANCE_VAR,PCT_PBE,PCT_MEDICAL_EXEMPT,PCT_PBE_EXEMPT_ALL
Ashton Ranch Elementary School,Public,Y,LPN,81,14898 W ACOMA DR,SURPRISE,AZ,85379,MARICOPA COUNTY,GREATER THAN,95.1%,3.7%,98.8%,92.6%,3.7%,97.5%,90.1%,7.4%,97.5%,95.1%,3.7%,98.8%,93.8%,4.9%,98.8%,96.3%,1.2%,97.5%,95.1%,0.0%,95.1%,11.1%,1.2%,1.2%
Asu Preparatory Academy - Phoenix Elementary,Charter,Y,RN,90,735 E FILLMORE ST,PHOENIX,AZ,85006,MARICOPA COUNTY,GREATER THAN,100.0%,0.0%,100.0%,92.2%,0.0%,98.9%,92.2%,0.0%,98.9%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
Asu Preparatory Academy Polytechnic Elementary,Charter,N,,74,6950 E WILLIAMS FIELD RD,MESA,AZ,85212,MARICOPA COUNTY,GREATER THAN,93.2%,6.8%,100.0%,90.5%,6.8%,100.0%,90.5%,6.8%,100.0%,93.2%,6.8%,100.0%,93.2%,6.8%,100.0%,94.6%,5.4%,100.0%,94.6%,5.4%,100.0%,6.8%,0.0%,5.4%
Athos Traditional Academy,Charter,N,,133,3201 S GILBERT RD BLDG B,CHANDLER,AZ,85286,MARICOPA COUNTY,GREATER THAN,95.5%,4.5%,100.0%,82.0%,15.8%,100.0%,79.7%,18.0%,100.0%,93.2%,6.8%,100.0%,92.5%,7.5%,100.0%,95.5%,4.5%,100.0%,94.7%,5.3%,100.0%,14.3%,0.0%,4.5%
Atonement Lutheran School,Private,N,,< 20,4001 W BEARDSLEY RD,GLENDALE,AZ,85308,MARICOPA COUNTY,LESS THAN 20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Audrey And Robert Ryan Elementary,Public,N,,129,4600 S BRIGHT ANGEL WAY,CHANDLER,AZ,85249,MARICOPA COUNTY,GREATER THAN,98.4%,1.6%,100.0%,91.5%,6.2%,100.0%,90.7%,7.0%,100.0%,98.4%,1.6%,100.0%,98.4%,1.6%,100.0%,100.0%,0.0%,100.0%,98.4%,1.6%,100.0%,9.3%,0.0%,1.6%
Augusta Ranch Elementary,Public,Y,RN,141,9430 E NEVILLE AVE,MESA,AZ,85209,MARICOPA COUNTY,GREATER THAN,96.5%,2.8%,99.3%,92.2%,4.3%,98.6%,92.2%,5.0%,98.6%,95.7%,3.5%,99.3%,97.2%,2.8%,100.0%,95.7%,3.5%,99.3%,95.0%,5.0%,100.0%,7.1%,0.0%,1.4%
Augustus H Shaw Jr School,Public,Y,RN,21,123 N 13TH ST,PHOENIX,AZ,85034,MARICOPA COUNTY,GREATER THAN,95.2%,4.8%,100.0%,85.7%,9.5%,95.2%,85.7%,9.5%,95.2%,90.5%,9.5%,100.0%,90.5%,9.5%,100.0%,90.5%,9.5%,100.0%,95.2%,4.8%,100.0%,9.5%,0.0%,4.8%
Avalon Elementary,Charter,N,,24,1045 S SAN MARCOS DR,APACHE JUNCTION,,85220,PINAL COUNTY,GREATER THAN,91.7%,8.3%,100.0%,87.5%,8.3%,100.0%,70.8%,8.3%,79.2%,91.7%,8.3%,100.0%,91.7%,8.3%,100.0%,91.7%,8.3%,100.0%,91.7%,8.3%,100.0%,12.5%,4.2%,0.0%
Avondale Middle School,Public,Y,RN,146,1406 N CENTRAL AVE,AVONDALE,AZ,85323,MARICOPA COUNTY,GREATER THAN,98.6%,0.0%,98.6%,92.5%,0.7%,93.2%,92.5%,0.7%,93.2%,99.3%,0.0%,99.3%,98.6%,0.0%,98.6%,97.9%,0.0%,97.9%,98.6%,0.0%,98.6%,0.7%,0.0%,0.0%
B.e.s.d.#26 - Bouse Elementary School,Public,N,,< 20,44936 JOSHUA DR,BOUSE,AZ,85325,LA PAZ COUNTY,LESS THAN 20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bagdad Elementary School,Public,N,,32,515 BREEZY CIR,BAGDAD,AZ,86321,YAVAPAI COUNTY,GREATER THAN,93.8%,3.1%,96.9%,93.8%,6.3%,100.0%,93.8%,6.3%,100.0%,93.8%,6.3%,100.0%,93.8%,6.3%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,6.3%,0.0%,0.0%
Bales Elementary School,Public,N,,101,25400 W MARICOPA RD,BUCKEYE,AZ,85326,MARICOPA COUNTY,GREATER THAN,98.0%,2.0%,100.0%,94.1%,0.0%,97.0%,92.1%,2.0%,97.0%,98.0%,0.0%,98.0%,98.0%,0.0%,98.0%,96.0%,0.0%,96.0%,100.0%,0.0%,100.0%,3.0%,0.0%,0.0%
Balsz Elementary School,Public,Y,RN,62,4309 E BELLEVIEW ST,PHOENIX,AZ,85008,MARICOPA COUNTY,GREATER THAN,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
Barbara Bush Elementary School,Public,Y,RN,83,4925 E INGRAM ST,MESA,AZ,85205,MARICOPA COUNTY,GREATER THAN,95.2%,4.8%,100.0%,91.6%,8.4%,100.0%,94.0%,6.0%,100.0%,95.2%,4.8%,100.0%,95.2%,4.8%,100.0%,95.2%,4.8%,100.0%,97.6%,2.4%,100.0%,6.0%,0.0%,1.2%
Barcelona Middle School,Public,N,,157,6530 N 44TH AVE,GLENDALE,AZ,85301,MARICOPA COUNTY,GREATER THAN,97.5%,2.5%,100.0%,96.8%,2.5%,100.0%,96.8%,2.5%,100.0%,97.5%,2.5%,100.0%,97.5%,2.5%,100.0%,99.4%,0.6%,100.0%,97.5%,2.5%,100.0%,1.9%,0.6%,0.0%
Basha Elementary,Public,N,,134,3535 S BASHA RD,CHANDLER,AZ,85248,MARICOPA COUNTY,GREATER THAN,95.5%,4.5%,100.0%,77.6%,16.4%,100.0%,78.4%,20.1%,100.0%,95.5%,4.5%,100.0%,95.5%,4.5%,100.0%,100.0%,0.0%,100.0%,96.3%,3.7%,100.0%,19.4%,0.0%,3.7%
Basha High School,Private,Y,RN,64,5990 S VAL VISTA DR,CHANDLER,AZ,85249,MARICOPA COUNTY,GREATER THAN,100.0%,0.0%,100.0%,96.9%,3.1%,100.0%,96.9%,3.1%,100.0%,98.4%,1.6%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,4.7%,0.0%,0.0%
Basis - Ahwatukee,Charter,N,,138,10210 S 50TH PL,PHOENIX,AZ,85044,MARICOPA COUNTY,GREATER THAN,98.6%,1.4%,100.0%,98.6%,1.4%,100.0%,96.4%,3.6%,100.0%,97.8%,1.4%,99.3%,97.8%,1.4%,99.3%,97.8%,1.4%,99.3%,97.1%,1.4%,98.6%,5.8%,0.0%,0.0%
Basis - Chandler,Charter,N,,178,4825 S ARIZONA AVE,CHANDLER,AZ,85248,MARICOPA COUNTY,GREATER THAN,98.3%,1.1%,99.4%,80.9%,9.6%,97.2%,79.8%,10.7%,97.2%,97.2%,2.2%,99.4%,96.6%,2.8%,99.4%,98.9%,0.6%,99.4%,98.3%,1.1%,99.4%,11.2%,5.1%,0.0%
Basis - Mesa,Charter,N,,113,5010 S EASTMARK PKWY,MESA,AZ,85212,MARICOPA COUNTY,GREATER THAN,96.5%,3.5%,100.0%,81.4%,11.5%,100.0%,79.6%,13.3%,100.0%,94.7%,5.3%,100.0%,94.7%,5.3%,100.0%,93.8%,6.2%,100.0%,95.6%,4.4%,100.0%,17.7%,0.9%,0.0%
Basis - Peoria,Charter,N,,158,25950 N LAKE PLEASANT PKWY,PEORIA,AZ,85383,MARICOPA COUNTY,GREATER THAN,98.1%,1.9%,100.0%,84.8%,7.6%,100.0%,85.4%,7.6%,100.0%,98.7%,1.3%,100.0%,98.7%,1.3%,100.0%,98.1%,1.9%,100.0%,98.7%,1.3%,100.0%,7.6%,0.0%,1.3%
Basis - Scottsdale,Charter,N,,187,10400 N 128TH ST,SCOTTSDALE,AZ,85259,MARICOPA COUNTY,GREATER THAN,97.3%,2.7%,100.0%,89.8%,7.0%,100.0%,89.8%,7.0%,100.0%,96.8%,3.2%,100.0%,96.3%,3.7%,100.0%,97.3%,2.7%,100.0%,97.3%,2.7%,100.0%,8.0%,0.0%,2.7%
Basis - Tucson North,Charter,N,,180,5740 E RIVER RD,TUCSON,AZ,85750,PIMA COUNTY,GREATER THAN,98.9%,1.1%,100.0%,91.7%,5.0%,100.0%,90.0%,6.7%,100.0%,98.3%,1.7%,100.0%,98.9%,1.1%,100.0%,98.3%,1.7%,100.0%,98.3%,1.7%,100.0%,3.3%,1.1%,1.1%
Basis Flagstaff,Charter,N,,89,1700 N GEMINI DR,FLAGSTAFF,AZ,86001,COCONINO COUNTY,GREATER THAN,95.5%,4.5%,100.0%,88.8%,9.0%,100.0%,85.4%,12.4%,100.0%,93.3%,6.7%,100.0%,94.4%,5.6%,100.0%,91.0%,9.0%,100.0%,93.3%,6.7%,100.0%,13.5%,0.0%,3.4%
Basis Goodyear,Charter,N,,86,15800 W SHERMAN ST,GOODYEAR,AZ,85338,MARICOPA COUNTY,GREATER THAN,100.0%,0.0%,100.0%,90.7%,4.7%,100.0%,88.4%,7.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,7.0%,0.0%,0.0%
Basis Oro Valley,Charter,N,,125,11155 N ORACLE RD,ORO VALLEY,AZ,85737,PIMA COUNTY,GREATER THAN,98.4%,1.6%,100.0%,96.0%,1.6%,100.0%,90.4%,7.2%,100.0%,97.6%,2.4%,100.0%,97.6%,2.4%,100.0%,96.8%,3.2%,100.0%,98.4%,1.6%,100.0%,4.0%,4.8%,0.0%
Basis Phoenix Central,Charter,N,,55,201 E INDIANOLA AVE,PHOENIX,AZ,85012,MARICOPA COUNTY,GREATER THAN,94.5%,5.5%,100.0%,92.7%,7.3%,100.0%,89.1%,10.9%,100.0%,96.4%,3.6%,100.0%,94.5%,5.5%,100.0%,94.5%,5.5%,100.0%,96.4%,3.6%,100.0%,10.9%,0.0%,1.8%
Basis Phoenix Charter School,Charter,N,,123,11850 N 32ND ST,PHOENIX,AZ,85028,MARICOPA COUNTY,GREATER THAN,99.2%,0.8%,100.0%,83.7%,13.8%,100.0%,82.1%,14.6%,100.0%,99.2%,0.8%,100.0%,99.2%,0.8%,100.0%,98.4%,1.6%,100.0%,100.0%,0.0%,100.0%,17.9%,0.0%,0.0%
Basis Prescott,Charter,N,,92,1901 PRESCOTT LAKES PKWY,PRESCOTT,AZ,86301,YAVAPAI COUNTY,GREATER THAN,89.1%,10.9%,100.0%,80.4%,18.5%,100.0%,76.1%,22.8%,100.0%,88.0%,12.0%,100.0%,90.2%,9.8%,100.0%,90.2%,9.8%,100.0%,93.5%,6.5%,100.0%,32.6%,0.0%,3.3%
Bayer  School,Private,Y,RN,< 20,23555 N 67TH AVE,GLENDALE,AZ,85310,MARICOPA COUNTY,LESS THAN 20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Beaver Creek School,Public,N,,36,4810 E BEAVER CREEK RD,RIMROCK,AZ,86335,YAVAPAI COUNTY,GREATER THAN,100.0%,0.0%,100.0%,97.2%,2.8%,100.0%,97.2%,2.8%,100.0%,100.0%,0.0%,100.0%,97.2%,2.8%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,2.8%,0.0%,0.0%
Beaver Dam Elementary,Public,N,,35,3436 RIO VIRGIN RD,LITTLEFIELD,AZ,86432,MOHAVE COUNTY,GREATER THAN,97.1%,2.9%,100.0%,82.9%,5.7%,91.4%,82.9%,5.7%,91.4%,97.1%,2.9%,100.0%,97.1%,2.9%,100.0%,97.1%,2.9%,100.0%,97.1%,2.9%,100.0%,2.9%,2.9%,2.9%
Bella Vista Academy,Charter,N,,< 20,33401 N 56TH STREET,SCOTTSDALE,AZ,85266,MARICOPA COUNTY,LESS THAN 20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bella Vista Elementary School,Public,N,,46,801 N LENZNER AVE,SIERRA VISTA,AZ,85635,COCHISE COUNTY,GREATER THAN,97.8%,0.0%,97.8%,95.7%,2.2%,97.8%,95.7%,2.2%,97.8%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,2.2%,0.0%,0.0%
Bellair Elementary School,Public,Y,LPN,63,4701 W GROVERS AVE,GLENDALE,AZ,85308,MARICOPA COUNTY,GREATER THAN,92.1%,7.9%,100.0%,92.1%,6.3%,100.0%,92.1%,6.3%,100.0%,96.8%,3.2%,100.0%,96.8%,3.2%,100.0%,95.2%,4.8%,100.0%,96.8%,3.2%,100.0%,7.9%,0.0%,0.0%
Benchmark School,Charter,N,,49,4120 E ACOMA DR,PHOENIX,AZ,85032,MARICOPA COUNTY,GREATER THAN,87.8%,10.2%,98.0%,22.4%,10.2%,32.7%,22.4%,10.2%,32.7%,87.8%,10.2%,98.0%,87.8%,10.2%,98.0%,87.8%,10.2%,98.0%,87.8%,10.2%,98.0%,10.2%,0.0%,10.2%
Benjamin Franklin Charter School - Gilbert,Charter,Y,RN,49,1475 S VAL VISTA DR,GILBERT,AZ,85296,MARICOPA COUNTY,GREATER THAN,91.8%,8.2%,100.0%,83.7%,16.3%,100.0%,81.6%,18.4%,100.0%,87.8%,12.2%,100.0%,87.8%,12.2%,100.0%,87.8%,12.2%,100.0%,93.9%,6.1%,100.0%,24.5%,0.0%,6.1%
Benjamin Franklin Charter School - Power,Charter,Y,RN,94,22951 S POWER RD,GILBERT,AZ,85298,MARICOPA COUNTY,GREATER THAN,87.2%,12.8%,100.0%,74.5%,23.4%,100.0%,74.5%,23.4%,100.0%,88.3%,11.7%,100.0%,86.2%,13.8%,100.0%,85.1%,14.9%,100.0%,88.3%,11.7%,100.0%,26.6%,1.1%,7.4%
Benjamin Franklin Charter School - Queen,Charter,Y,RN,120,22120 E QUEEN CREEK RD,QUEEN CREEK,,85242,MARICOPA COUNTY,GREATER THAN,89.2%,10.8%,100.0%,72.5%,24.2%,100.0%,70.8%,26.7%,100.0%,87.5%,12.5%,100.0%,89.2%,10.8%,100.0%,90.8%,9.2%,100.0%,90.0%,10.0%,100.0%,29.2%,0.0%,7.5%
Bennett Academy,Charter,N,,39,2930 W BETHANY HOME RD,PHOENIX,AZ,85017,MARICOPA COUNTY,GREATER THAN,97.4%,2.6%,100.0%,74.4%,7.7%,87.2%,76.9%,7.7%,87.2%,97.4%,2.6%,100.0%,97.4%,2.6%,100.0%,97.4%,2.6%,100.0%,97.4%,2.6%,100.0%,7.7%,0.0%,2.6%
Benson Middle Schiool,Public,Y,RN,82,360 S PATAGONIA ST,BENSON,AZ,85602,COCHISE COUNTY,GREATER THAN,95.1%,4.9%,100.0%,90.2%,6.1%,98.8%,90.2%,6.1%,98.8%,95.1%,4.9%,100.0%,92.7%,4.9%,97.6%,95.1%,4.9%,100.0%,95.1%,4.9%,100.0%,6.1%,0.0%,6.1%
Bernard Black Elementary,Public,Y,RN,88,6550 S 27TH AVE,PHOENIX,AZ,85041,MARICOPA COUNTY,GREATER THAN,97.7%,2.3%,100.0%,98.9%,1.1%,100.0%,98.9%,1.1%,100.0%,97.7%,2.3%,100.0%,98.9%,1.1%,100.0%,98.9%,1.1%,100.0%,98.9%,1.1%,100.0%,3.4%,0.0%,0.0%
Bethany Christian School,Private,Y,RN,< 20,6304 S PRICE RD,TEMPE,AZ,85283,MARICOPA COUNTY,LESS THAN 20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bicentennial North School,Public,Y,RN,173,7237 W MISSOURI AVE,GLENDALE,AZ,85303,MARICOPA COUNTY,GREATER THAN,97.1%,0.6%,97.7%,97.1%,0.6%,98.8%,94.8%,0.6%,96.5%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.6%,0.0%,0.6%
Big Park Community School,Public,N,,41,25 W SADDLEHORN CT,SEDONA,AZ,86351,YAVAPAI COUNTY,GREATER THAN,80.5%,19.5%,100.0%,80.5%,19.5%,100.0%,80.5%,19.5%,100.0%,80.5%,19.5%,100.0%,80.5%,19.5%,100.0%,100.0%,0.0%,100.0%,80.5%,19.5%,100.0%,19.5%,0.0%,14.6%
Biltmore Prep,Public,Y,LPN,39,4601 N 34TH ST,PHOENIX,AZ,85018,MARICOPA COUNTY,GREATER THAN,100.0%,0.0%,100.0%,97.4%,2.6%,100.0%,97.4%,2.6%,100.0%,97.4%,2.6%,100.0%,97.4%,2.6%,100.0%,97.4%,2.6%,100.0%,100.0%,0.0%,100.0%,2.6%,0.0%,0.0%
Bisbee Middle School,Public,N,,49,100 OLD DOUGLAS RD,BISBEE,AZ,85603,COCHISE COUNTY,GREATER THAN,91.8%,8.2%,100.0%,87.8%,12.2%,100.0%,87.8%,12.2%,100.0%,93.9%,6.1%,100.0%,91.8%,8.2%,100.0%,93.9%,6.1%,100.0%,93.9%,6.1%,100.0%,10.2%,0.0%,4.1%
Black Mountain Elementary School,Public,Y,RN,81,33016 N 60TH ST,CAVE CREEK,AZ,85327,MARICOPA COUNTY,GREATER THAN,91.4%,8.6%,100.0%,91.4%,8.6%,100.0%,85.2%,14.8%,100.0%,91.4%,8.6%,100.0%,91.4%,8.6%,100.0%,91.4%,8.6%,100.0%,91.4%,8.6%,100.0%,14.8%,0.0%,3.7%
Black Mountain Elementary School,Public,Y,LPN,71,3404 N SANTA MARIA RD,GOLDEN VALLEY,AZ,86413,MOHAVE COUNTY,GREATER THAN,97.2%,2.8%,100.0%,95.8%,2.8%,98.6%,95.8%,2.8%,98.6%,97.2%,2.8%,100.0%,97.2%,2.8%,100.0%,97.2%,2.8%,100.0%,97.2%,2.8%,100.0%,2.8%,0.0%,2.8%
Blue Elementary School,Public,N,,< 20,80 TURKEY CREEK RD,BLUE,AZ,85922,GREENLEE COUNTY,LESS THAN 20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Blue Ridge Middle School,Public,Y,,192,3050 PORTER MOUNTAIN RD,LAKESIDE,AZ,85929,NAVAJO COUNTY,GREATER THAN,96.9%,0.5%,97.4%,96.9%,0.5%,97.4%,65.6%,1.0%,66.7%,94.8%,0.5%,95.3%,94.8%,0.5%,95.3%,96.4%,0.5%,96.9%,95.8%,0.0%,95.8%,1.0%,0.0%,0.0%
Bonita Elementary School,Public,N,,< 20,18008 S FORT GRANT RD,WILLCOX,AZ,85643,GRAHAM COUNTY,LESS THAN 20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Booth-fickett Math/science Magnet School,Public,Y,RN,176,450 S MONTEGO DR,TUCSON,AZ,85710,PIMA COUNTY,GREATER THAN,99.4%,0.6%,100.0%,99.4%,0.6%,100.0%,98.3%,1.7%,100.0%,99.4%,0.6%,100.0%,99.4%,0.6%,100.0%,99.4%,0.6%,100.0%,99.4%,0.6%,100.0%,2.3%,0.0%,0.6%
Borman Elementary School,Public,Y,RN,< 20,6630 E LIGHTNING DR,TUCSON,AZ,85708,PIMA COUNTY,LESS THAN 20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boulder Creek Elementary,Public,Y,RN,112,8045 E PORTOBELLO AVE,MESA,AZ,85212,MARICOPA COUNTY,GREATER THAN,92.9%,7.1%,100.0%,89.3%,8.9%,100.0%,89.3%,8.9%,100.0%,92.9%,7.1%,100.0%,92.9%,7.1%,100.0%,92.0%,8.0%,100.0%,92.0%,7.1%,99.1%,8.0%,0.0%,7.1%
Boulder Creek Elementary School,Public,Y,RN,119,22801 N 22ND ST,PHOENIX,AZ,85024,MARICOPA COUNTY,GREATER THAN,93.3%,6.7%,100.0%,95.0%,5.0%,100.0%,93.3%,6.7%,100.0%,95.0%,5.0%,100.0%,94.1%,5.9%,100.0%,97.5%,2.5%,100.0%,95.8%,4.2%,100.0%,5.9%,0.8%,5.9%
Bowie Elementary School,Public,N,,< 20,315 W 5TH ST,BOWIE,AZ,85605,COCHISE COUNTY,LESS THAN 20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bridges Elementary,Public,N,,64,5205 S SOBOBA ST,GILBERT,AZ,85298,MARICOPA COUNTY,GREATER THAN,98.4%,1.6%,100.0%,92.2%,3.1%,95.3%,92.2%,3.1%,95.3%,98.4%,1.6%,100.0%,98.4%,1.6%,100.0%,98.4%,1.6%,100.0%,96.9%,3.1%,100.0%,4.7%,0.0%,1.6%
Bright Beginnings School #1,Charter,N,,< 20,400 N ANDERSEN BLVD,CHANDLER,AZ,85224,MARICOPA COUNTY,LESS THAN 20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brunson-lee Elementary,Public,Y,RN,59,1350 N 48TH ST,PHOENIX,AZ,85008,MARICOPA COUNTY,GREATER THAN,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
Buckeye Primary School,Public,Y,LPN,92,210 S 6TH ST,BUCKEYE,AZ,85326,MARICOPA COUNTY,GREATER THAN,96.7%,3.3%,100.0%,97.8%,2.2%,100.0%,98.9%,1.1%,100.0%,96.7%,3.3%,100.0%,94.6%,5.4%,100.0%,96.7%,3.3%,100.0%,93.5%,6.5%,100.0%,8.7%,0.0%,0.0%
Bullhead City Jr High School,Public,Y,,151,1062 HANCOCK RD,BULLHEAD CITY,AZ,86442,MOHAVE COUNTY,GREATER THAN,100.0%,0.0%,100.0%,96.7%,3.3%,100.0%,44.4%,3.3%,47.7%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,3.3%,0.0%,3.3%
Burk Elementary School,Public,Y,RN,59,545 N BURK ST,GILBERT,AZ,85234,MARICOPA COUNTY,GREATER THAN,96.6%,3.4%,100.0%,94.9%,5.1%,100.0%,94.9%,5.1%,100.0%,96.6%,3.4%,100.0%,96.6%,3.4%,100.0%,98.3%,1.7%,100.0%,98.3%,1.7%,100.0%,5.1%,0.0%,1.7%
Burke Basic School,Charter,Y,LPN,119,131 E SOUTHERN AVE,MESA,AZ,85210,MARICOPA COUNTY,GREATER THAN,99.2%,0.8%,100.0%,84.9%,0.8%,92.4%,80.7%,0.8%,88.2%,99.2%,0.8%,100.0%,99.2%,0.8%,100.0%,100.0%,0.0%,100.0%,99.2%,0.8%,100.0%,0.8%,0.0%,0.0%
Butterfield Elementary School,Public,Y,RN,108,43800 W HONEYCUTT RD,MARICOPA,,85239,PINAL COUNTY,GREATER THAN,96.3%,1.9%,98.1%,92.6%,3.7%,99.1%,82.4%,3.7%,88.9%,94.4%,3.7%,98.1%,94.4%,3.7%,98.1%,94.4%,3.7%,98.1%,96.3%,3.7%,100.0%,3.7%,0.0%,3.7%
Butterfield Elementary School,Public,N,,63,3400 W MASSINGALE RD,TUCSON,AZ,85741,PIMA COUNTY,GREATER THAN,100.0%,0.0%,100.0%,88.9%,6.3%,95.2%,84.1%,11.1%,95.2%,98.4%,1.6%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,4.8%,6.3%,0.0%
C E Rose Elementary School,Public,Y,RN,88,710 W MICHIGAN ST,TUCSON,AZ,85714,PIMA COUNTY,GREATER THAN,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
C J Jorgensen School,Public,Y,LPN,54,1701 W ROESER RD,PHOENIX,AZ,85041,MARICOPA COUNTY,GREATER THAN,100.0%,0.0%,100.0%,98.1%,0.0%,100.0%,98.1%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
C O Greenfield School,Public,N,,100,7009 S 10TH ST,PHOENIX,AZ,85042,MARICOPA COUNTY,GREATER THAN,100.0%,0.0%,100.0%,98.0%,0.0%,98.0%,97.0%,0.0%,97.0%,98.0%,0.0%,98.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,98.0%,0.0%,98.0%,1.0%,1.0%,0.0%
C.u.s.d. #24 - Tsaile Public School,Public,N,,45,HWY 12 & HWY 64,CHINLE,AZ,86556,APACHE COUNTY,GREATER THAN,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
Cactus Middle School,Public,Y,RN,305,1220 E KORTSEN RD,CASA GRANDE,,85222,PINAL COUNTY,GREATER THAN,99.0%,1.0%,100.0%,95.1%,1.3%,100.0%,95.1%,1.3%,100.0%,98.0%,2.0%,100.0%,98.4%,1.3%,99.7%,98.7%,1.3%,100.0%,99.3%,0.7%,100.0%,2.0%,0.7%,1.3%
Cactus View School,Public,Y,RN,55,17602 N CENTRAL AVE,PHOENIX,AZ,85022,MARICOPA COUNTY,GREATER THAN,98.2%,1.8%,100.0%,92.7%,5.5%,98.2%,92.7%,5.5%,98.2%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,5.5%,0.0%,0.0%
Cactus Wren Elementary,Public,N,,85,9650 N 39TH AVE,PHOENIX,AZ,85051,MARICOPA COUNTY,GREATER THAN,100.0%,0.0%,100.0%,96.5%,2.4%,100.0%,95.3%,2.4%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,2.4%,0.0%,0.0%
