SCHOOL NAME,ADDRESS,CITY,COUNTY,ZIP,SCHOOL NURSE,SCHOOL NURSE TYPE,SCHOOL TYPE,ENROLLED,% IMMUNE DTAP,% EXEMPT DTAP,% COMPLIANCE DTAP,% IMMUNE TDAP,% EXEMPT TDAP,% COMPLIANCE TDAP,% IMMUNE MCV4,% EXEMPT MCV4,% COMPLIANCE MCV4,% IMMUNE POLIO,% EXEMPT POLIO,% COMPLIANCE POLIO,% IMMUNE MMR,% EXEMPT MMR,% COMPLIANCE MMR,% IMMUNE HEP B,% EXEMPT HEP B,% COMPLIANCE HEP B,% IMMUNE VAR,% EXEMPT VAR,% COMPLIANCE VAR,% PBE,% MEDICAL EXEMPT,% PBE ALL
LEE KORNEGAY INTERMEIDATE SCHOOL,PO BOX 2070,MIAMI,GILA,85539,NO,,PUBLIC,81,99%,1%,100%,91%,1%,100%,91%,1%,100%,99%,1%,100%,96%,1%,100%,95%,1%,100%,99%,1%,100%,1%,1%,0%
LEGACY TRADITIONAL CHARTER SCHOOL - GILBERT,2747 S RECKER RD,GILBERT,MARICOPA,85295,YES,LPN,CHARTER,108,97%,3%,100%,86%,6%,100%,86%,6%,100%,98%,2%,100%,97%,3%,100%,97%,3%,100%,98%,2%,100%,7%,0%,7%
LEGACY TRADITIONAL CHARTER SCHOOL - LAVEEN VILLAGE,7900 S 43RD AVE,LAVEEN,MARICOPA,85339,NO,,CHARTER,154,95%,5%,100%,63%,7%,71%,63%,7%,71%,95%,5%,99%,95%,4%,99%,97%,3%,100%,95%,5%,100%,8%,0%,8%
LEGACY TRADITIONAL SCHOOL - AVONDALE,12320 W VAN BUREN ST,AVONDALE,MARICOPA,85323,NO,,CHARTER,148,99%,1%,100%,91%,3%,93%,90%,3%,93%,99%,1%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,3%,0%,1%
LEGACY TRADITIONAL SCHOOL - CASA GRANDE,1274 E O'NEIL DR,CASA GRANDE,PINAL,85138,NO,,CHARTER,141,99%,1%,100%,94%,4%,100%,94%,4%,100%,99%,1%,100%,99%,1%,100%,99%,1%,100%,99%,1%,100%,4%,0%,1%
LEGACY TRADITIONAL SCHOOL - CHANDLER,3201 S GILBERT RD,CHANDLER,MARICOPA,85286,YES,RN,CHARTER,136,96%,4%,100%,90%,7%,99%,88%,7%,96%,92%,4%,100%,95%,4%,99%,95%,4%,99%,96%,4%,100%,10%,0%,4%
LEGACY TRADITIONAL SCHOOL - GLENDALE,13091 N 67TH AVE,GLENDALE,MARICOPA,85306,YES,RN,PUBLIC,123,97%,3%,100%,88%,11%,99%,86%,12%,98%,93%,7%,100%,93%,7%,100%,96%,4%,100%,97%,3%,100%,16%,0%,16%
LEGACY TRADITIONAL SCHOOL - MARICOPA,17760 REGENT DR,MARICOPA,PINAL,85138,NO,,CHARTER,128,96%,4%,100%,91%,4%,100%,91%,4%,100%,96%,4%,100%,96%,4%,100%,96%,4%,100%,96%,4%,100%,4%,0%,4%
LEGACY TRADITIONAL SCHOOL - NORTH CHANDLER,1900 N MCQUEEN RD,CHANDLER,MARICOPA,85225,NO,,CHARTER,85,96%,4%,100%,95%,4%,100%,88%,11%,100%,96%,4%,100%,95%,5%,100%,96%,4%,100%,96%,4%,100%,12%,0%,4%
LEGACY TRADITIONAL SCHOOL - NORTHWEST TUCSON,3500 W CORTARO FARMS RD,TUCSON,PIMA,85742,NO,,CHARTER,127,95%,5%,100%,91%,7%,100%,87%,12%,100%,93%,7%,100%,93%,7%,100%,94%,6%,100%,95%,5%,100%,6%,0%,2%
LEGACY TRADITIONAL SCHOOL - PEORIA,7877 W. HILLCREST BLVD,PEORIA,MARICOPA,85383,YES,LPN,CHARTER,51,98%,2%,100%,88%,8%,100%,88%,12%,100%,96%,4%,100%,96%,2%,100%,96%,4%,100%,98%,2%,100%,2%,10%,2%
LEGACY TRADITIONAL SCHOOL - PHOENIX,4545 N 99TH AVE,PHOENIX,MARICOPA,85037,NO,,CHARTER,149,93%,7%,100%,91%,7%,100%,87%,7%,96%,93%,7%,100%,93%,7%,99%,91%,7%,98%,93%,7%,100%,7%,0%,7%
LEGACY TRADITIONAL SCHOOL- EAST MESA,10707 E GUADALUPE RD,MESA,MARICOPA,85212,NO,,CHARTER,59,95%,5%,100%,85%,14%,100%,83%,14%,98%,93%,7%,100%,93%,7%,100%,95%,5%,100%,95%,5%,100%,17%,0%,5%
LEGACY TRADITIONAL SCHOOL SURPRISE,14506 W SWEETWATER AVE,SURPRISE,MARICOPA,85379,NO,,CHARTER,217,94%,6%,100%,89%,8%,100%,87%,11%,100%,94%,6%,100%,93%,7%,100%,94%,6%,100%,95%,5%,100%,11%,0%,5%
LEGACY TRADITIONAL SCHOOL-QUEEN CREEK,41800 N. BARNES PKWY,QUEEN CREEK,PINAL,85140,NO,,CHARTER,158,95%,5%,100%,87%,12%,99%,87%,12%,99%,93%,7%,100%,93%,7%,100%,94%,6%,100%,94%,6%,100%,14%,0%,6%
LEGEND SPRINGS ELEMENTARY,21150 N ARROWHEAD LOOP,GLENDALE,MARICOPA,85308,YES,RN,PUBLIC,112,98%,2%,100%,93%,7%,100%,94%,6%,100%,99%,1%,100%,99%,1%,100%,98%,2%,100%,98%,2%,100%,9%,1%,1%
LEHI ELEMENTARY SCHOOL,2555 N STAPLEY DR,MESA,MARICOPA,85203,YES,RN,PUBLIC,69,100%,0%,100%,97%,3%,100%,96%,4%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,99%,1%,100%,4%,1%,3%
LEMAN ACADEMY OF EXCELLENCE - EAST CAMPUS,10200 E GOLF LINKS RD,TUCSON,PIMA,85743,NO,,CHARTER,52,92%,6%,98%,92%,6%,98%,92%,6%,98%,92%,6%,98%,94%,6%,100%,98%,2%,100%,96%,4%,100%,8%,2%,6%
LEMAN ACADEMY OF EXCELLENCE - EAST MESA,3761 S POWER RD,MESA,MARICOPA,85212,NO,,CHARTER,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LEMAN ACADEMY OF EXCELLENCE - MARANA,"7720 N SILVERBELL RD, BLDG 1 & 2",TUCSON,PIMA,85743,YES,RN,CHARTER,124,94%,6%,100%,89%,9%,99%,86%,11%,99%,93%,7%,100%,95%,5%,100%,93%,7%,100%,94%,6%,100%,14%,1%,13%
LEMAN ACADEMY OF EXCELLENCE - ORO VALLEY,12255 N LA CAÑADA DRIVE,ORO VALLEY,PIMA,85755,YES,LPN,CHARTER,73,99%,1%,100%,93%,7%,100%,95%,5%,100%,99%,1%,100%,97%,3%,100%,97%,3%,100%,96%,4%,100%,8%,0%,8%
LEMAN ACADEMY OF EXCELLENCE - SIERRA VISTA,1000 E. WILCOX DR,SIERRA VISTA,COCHISE,85635,NO,,CHARTER,76,99%,1%,100%,89%,11%,100%,89%,11%,100%,97%,3%,100%,97%,3%,100%,97%,3%,100%,96%,4%,100%,12%,0%,3%
LEMAN VIRTUAL ACADEMY,7720 N SILVERBELL RD,TUCSON,PIMA,85743,YES,RN,CHARTER,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LEUPP BOARDING SCHOOL,INDIAN RTE 15,LEUPP,COCONINO,86035,YES,LPN,PRIVATE,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LEXIS PREPARATORY SCHOOL,11130 E CHOLLA ST,SCOTTSDALE,MARICOPA,85255,NO,,PRIVATE,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LIBERTY ARTS ACADEMY,3015 S POWER RD,MESA,MARICOPA,85212,NO,,CHARTER,28,86%,14%,100%,79%,14%,100%,75%,14%,100%,86%,14%,100%,86%,14%,100%,86%,14%,100%,86%,14%,100%,14%,0%,7%
LIBERTY ELEMENTARY SCHOOL,5495 S LIBERTY AVE,TUCSON,PIMA,85706,YES,RN,PUBLIC,123,99%,0%,100%,99%,0%,100%,99%,0%,100%,99%,0%,100%,100%,0%,100%,99%,0%,100%,100%,0%,100%,0%,0%,0%
LIBERTY ELEMENTARY SCHOOL-85254,5125 E MARILYN RD,SCOTTSDALE,MARICOPA,85254,YES,RN,PUBLIC,85,99%,1%,100%,89%,4%,94%,89%,4%,94%,99%,1%,100%,99%,1%,100%,99%,1%,100%,99%,1%,100%,4%,0%,1%
LIBERTY ELEMENTARY SCHOOL-85326,19818 W HWY 85,BUCKEYE,MARICOPA,85326,YES,LPN,PUBLIC,74,100%,0%,100%,97%,3%,100%,99%,1%,100%,100%,0%,100%,100%,0%,100%,99%,1%,100%,100%,0%,100%,3%,0%,0%
LIBERTY TRADITIONAL CHARTER SCHOOL,4901 W INDIAN SCHOOL RD,PHOENIX,MARICOPA,85031,NO,,CHARTER,42,100%,0%,100%,95%,0%,95%,95%,0%,95%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
LIBERTY TRADITIONAL SCHOOL,3300 N LAKE VALLEY RD,PRESCOTT VALLEY,YAVAPAI,86314,YES,RN,PUBLIC,101,97%,3%,100%,93%,5%,100%,92%,6%,100%,97%,3%,100%,96%,4%,100%,99%,1%,100%,98%,2%,100%,8%,0%,1%
LIFELONG LEARNING ACADEMY,3295 W ORANGE GROVE RD,TUCSON,PIMA,85741,NO,,CHARTER,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LINCOLN ELEMENTARY SCHOOL,930 S SIRRINE,MESA,MARICOPA,85210,YES,RN,PUBLIC,108,99%,1%,100%,99%,1%,100%,99%,1%,100%,99%,1%,100%,99%,1%,100%,99%,1%,100%,99%,1%,100%,1%,0%,1%
LINDBERGH ELEMENTARY SCHOOL,930 S LAZONA DR,MESA,MARICOPA,85204,YES,RN,PUBLIC,96,98%,1%,99%,99%,1%,100%,97%,0%,99%,99%,1%,100%,99%,1%,100%,99%,1%,100%,99%,1%,100%,0%,0%,1%
LITTLE RED SCHOOLHOUSE,HWY 82 & DUQUESNE RD,NOGALES,SANTA CRUZ,85621,NO,,PUBLIC,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LITTLE SINGER COMMUNITY SCHOOL,PO BOX AQ,WINSLOW,NAVAJO,86047,NO,,PRIVATE,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LITTLETON ELEMENTARY SCHOOL,1252 S 115TH AVE,CASHION,MARICOPA,85323,YES,RN,PUBLIC,66,100%,0%,100%,92%,2%,98%,92%,2%,98%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,2%,0%,0%
LIVING WORD ACADEMY,HWY 86,SELLS,PIMA,85634,NO,,PRIVATE,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LOGOS CHRISTIAN ACADEMY,9745 N TREKELL RD,CASA GRANDE,PINAL,85122,NO,,PRIVATE,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LOMA LINDA ELEMENTARY SCHOOL,2002 E CLARENDON AVE,PHOENIX,MARICOPA,85016,YES,Both,PUBLIC,79,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,1%,0%
LONE MOUNTAIN ELEMENTARY SCHOOL,5250 E MONTGOMERY RD,CAVE CREEK,MARICOPA,85331,NO,,PUBLIC,88,94%,6%,100%,89%,10%,100%,88%,11%,100%,93%,7%,100%,92%,8%,100%,93%,7%,100%,95%,5%,100%,17%,0%,3%
LONGFELLOW ELEMENTARY SCHOOL,345 S HALL ST,MESA,MARICOPA,85204,YES,RN,PUBLIC,58,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
LONGVIEW ELEMENTARY SCHOOL,1209 E INDIAN SCHOOL RD,PHOENIX,MARICOPA,85014,YES,LPN,PUBLIC,78,94%,1%,95%,94%,1%,95%,42%,1%,44%,83%,1%,85%,96%,1%,97%,96%,1%,97%,99%,1%,100%,1%,0%,1%
LOOKOUT MOUNTAIN SCHOOL,15 W CORAL GABLES DR,PHOENIX,MARICOPA,85023,NO,,PUBLIC,144,99%,1%,100%,97%,1%,100%,97%,2%,100%,99%,1%,100%,99%,1%,100%,100%,0%,100%,99%,1%,100%,3%,0%,0%
LORETTO CATHOLIC SCHOOL,1200 14TH ST,DOUGLAS,COCHISE,85607,NO,,PRIVATE,25,100%,0%,100%,100%,0%,100%,96%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,4%,0%,0%
LOS AMIGOS ELEMENTARY SCHOOL,2200 E DREXEL RD,TUCSON,PIMA,85706,YES,RN,PUBLIC,84,100%,0%,100%,98%,0%,100%,96%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
LOS NINOS ELEMENTARY SCHOOL,5445 S ALVERNON WAY,TUCSON,PIMA,85706,YES,RN,PUBLIC,59,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,98%,2%,100%,100%,0%,100%,100%,0%,100%,2%,2%,0%
LOWELL ELEMENTARY SCHOOL,920 E BROADWAY RD,MESA,MARICOPA,85204,YES,RN,PUBLIC,75,97%,0%,97%,96%,1%,100%,96%,1%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,1%,0%,1%
LOWELL SCHOOL,100 OLD DOUGLAS RD,BISBEE,COCHISE,85603,NO,,PUBLIC,58,100%,0%,100%,98%,0%,100%,98%,0%,100%,100%,0%,100%,100%,0%,100%,98%,2%,100%,100%,0%,100%,2%,0%,0%
LOWELL SCHOOL,1121 S 3RD AVE,PHOENIX,MARICOPA,85003,YES,RN,PUBLIC,60,98%,0%,100%,92%,0%,92%,93%,0%,93%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,2%,0%,0%
LUKE ELEMENTARY SCHOOL,7300 N DYSART RD,GLENDALE,MARICOPA,85307,YES,LPN,PUBLIC,94,98%,1%,99%,96%,1%,99%,97%,1%,99%,99%,1%,100%,99%,1%,100%,98%,2%,100%,99%,1%,100%,2%,0%,1%
MACARTHUR ELEMENTARY SCHOOL,1435 E MCLELLAN RD,MESA,MARICOPA,85203,YES,RN,PUBLIC,91,96%,4%,100%,91%,7%,100%,92%,5%,100%,96%,4%,100%,96%,4%,100%,95%,5%,100%,100%,0%,100%,7%,0%,4%
MADISON #1 ELEMENTARY SCHOOL,5525 N 16TH ST,PHOENIX,MARICOPA,85016,YES,RN,PUBLIC,259,100%,0%,100%,86%,4%,90%,86%,4%,90%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,4%,0%,0%
MADISON ELEMENTARY SCHOOL,849 S SUNNYVALE,MESA,MARICOPA,85206,YES,RN,PUBLIC,73,97%,3%,100%,93%,5%,100%,90%,5%,100%,96%,4%,100%,96%,4%,100%,97%,3%,100%,96%,4%,100%,5%,0%,3%
MADISON MEADOWS SCHOOL,225 W OCOTILLO RD,PHOENIX,MARICOPA,85013,YES,RN,PUBLIC,208,96%,2%,98%,65%,3%,69%,61%,3%,65%,93%,3%,96%,95%,3%,98%,92%,3%,96%,95%,3%,98%,3%,0%,3%
MADISON PARK SCHOOL,1431 E CAMPBELL AVE,PHOENIX,MARICOPA,,NO,,CHARTER,100,100%,0%,100%,83%,0%,83%,83%,0%,83%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,1%,0%
MADISON TRADITIONAL ACADEMY,925 E MARYLAND AVE,PHOENIX,MARICOPA,85014,NO,,PUBLIC,95,99%,1%,100%,99%,0%,100%,97%,2%,100%,99%,1%,100%,98%,2%,100%,99%,1%,100%,99%,1%,100%,3%,0%,1%
MADRID NEIGHBORHOOD SCHOOL,3736 W OSBORN RD,PHOENIX,MARICOPA,85019,NO,,PUBLIC,80,99%,1%,100%,91%,1%,96%,90%,1%,95%,99%,1%,100%,99%,1%,100%,100%,0%,100%,100%,0%,100%,1%,0%,1%
MAGEE MIDDLE SCHOOL,8300 E SPEEDWAY BLVD,TUCSON,PIMA,85710,YES,RN,PUBLIC,192,99%,1%,100%,98%,2%,100%,98%,2%,100%,99%,1%,100%,99%,1%,100%,98%,1%,99%,99%,1%,100%,2%,0%,1%
MAGMA RANCH K-8 SCHOOL,10980 E DESERT MOUNTAIN BLVD,FLORENCE,PINAL,85232,NO,,PUBLIC,90,94%,6%,100%,66%,7%,72%,66%,7%,72%,91%,7%,98%,92%,7%,99%,96%,4%,100%,98%,0%,98%,7%,0%,0%
MAGNET TRADITIONAL SCHOOL,2602 N 23RD AVE,PHOENIX,MARICOPA,85009,YES,RN,PUBLIC,50,100%,0%,100%,94%,0%,94%,94%,0%,94%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
MAIE BARTLETT HEARD SCHOOL,2301 W THOMAS RD,PHOENIX,MARICOPA,85015,YES,RN,PUBLIC,56,100%,0%,100%,98%,0%,98%,96%,0%,96%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
MAINE CONSOLIDATED SCHOOL,10 SPRING VALLEY RD,PARKS,COCONINO,86018,NO,,PUBLIC,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MAMMOTH-SAN MANUEL JR/SR HIGH SCHOOL,711 MCNAB PARKWAY,SAN MANUEL,PINAL,85631,NO,,PUBLIC,44,98%,2%,100%,98%,2%,100%,98%,2%,100%,100%,0%,100%,98%,2%,100%,100%,0%,100%,100%,0%,100%,2%,0%,0%
MANSFELD MIDDLE SCHOOL,1300 E 6TH ST,TUCSON,PIMA,85719,YES,RN,PUBLIC,334,100%,0%,100%,98%,2%,100%,98%,2%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,1%,1%,0%
"MANY FARMS COMMUNITY SCHOOL, INC",HWY 191,MANY FARMS,APACHE,86538,NO,,PUBLIC,43,100%,0%,100%,93%,0%,100%,74%,0%,81%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
MANY FARMS PUBLIC SCHOOL,HWY 191,CHINLE,APACHE,86538,NO,,PUBLIC,63,100%,0%,100%,90%,0%,90%,90%,0%,90%,100%,0%,100%,98%,0%,98%,100%,0%,100%,100%,0%,100%,0%,0%,0%
MANZANITA ELEMENTARY SCHOOL,8430 N 39TH AVE,PHOENIX,MARICOPA,85051,NO,,PUBLIC,114,96%,4%,100%,94%,6%,100%,95%,5%,100%,96%,4%,100%,96%,4%,100%,96%,4%,100%,96%,4%,100%,9%,0%,4%
MARC T ATKINSON MIDDLE SCHOOL,4315 N MARYVALE PKWY,PHOENIX,MARICOPA,85031,YES,LPN,PUBLIC,429,98%,0%,99%,97%,0%,100%,97%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
MARICOPA VILLAGE CHRISTIAN SCHOOL,8050 W BASELINE RD,LAVEEN,MARICOPA,85339,YES,RN,PRIVATE,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MARICOPA WELLS MIDDLE SCHOOL,45012 W HONEYCUTT AVE,MARICOPA,PINAL,85239,YES,RN,PUBLIC,308,98%,2%,100%,93%,3%,100%,93%,3%,100%,99%,1%,100%,99%,1%,100%,99%,1%,100%,99%,1%,100%,5%,0%,1%
MARILYN THIELE WILSON SCHOOL,5619 E GLADE AVE,MESA,MARICOPA,85206,YES,RN,PUBLIC,98,95%,5%,100%,96%,2%,100%,95%,0%,100%,93%,7%,100%,94%,6%,100%,98%,2%,100%,100%,0%,100%,6%,0%,4%
MARIONNEAUX ELEMENTARY SCHOOL,21455 W ROESER RD,BUCKEYE,MARICOPA,85326,NO,,PUBLIC,103,93%,7%,100%,90%,10%,100%,88%,12%,100%,93%,7%,100%,93%,7%,100%,93%,7%,100%,92%,8%,100%,12%,0%,6%
MARJORIE W ESTES ELEMENTARY SCHOOL,11280 W GRIER RD,MARANA,PIMA,85658,YES,RN,PUBLIC,93,96%,4%,100%,95%,5%,100%,96%,4%,100%,96%,4%,100%,96%,4%,100%,97%,3%,100%,99%,1%,100%,6%,0%,0%
MARLEY PARK ELEMENTARY,15042 W SWEETWATER AVE,SURPRISE,MARICOPA,85379,YES,LPN,PUBLIC,143,96%,4%,100%,87%,12%,100%,85%,13%,100%,96%,4%,100%,95%,5%,100%,95%,5%,100%,96%,4%,100%,15%,0%,3%
MARSHALL HUMPHREY II ELEMENTARY SCHOOL,125 S 132ND ST,CHANDLER,MARICOPA,85225,NO,,PUBLIC,84,98%,2%,100%,92%,7%,100%,93%,7%,100%,96%,4%,100%,95%,5%,100%,96%,4%,100%,96%,4%,100%,10%,0%,2%
MARSHALL RANCH ELEMENTARY SCHOOL,12995 N MARSHALL RANCH DR,GLENDALE,MARICOPA,85304,YES,LPN,PUBLIC,94,99%,1%,100%,99%,1%,100%,96%,0%,100%,100%,0%,100%,99%,1%,100%,98%,1%,100%,100%,0%,100%,1%,0%,0%
MARY BELLE MCCORKLE,4455 S MISSION RD,TUCSON,PIMA,85746,YES,RN,PUBLIC,148,100%,0%,100%,99%,0%,99%,98%,0%,99%,99%,0%,99%,100%,0%,100%,99%,1%,100%,100%,0%,100%,1%,0%,0%
MARY C O'BRIEN ELEMENTARY SCHOOL,1400 N ELEVEN MILE CORNER RD,CASA GRANDE,PINAL,85294,YES,RN,PUBLIC,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MARY MCLEOD BETHUNE SCHOOL,1310 S 15TH AVE,PHOENIX,MARICOPA,85007,YES,RN,PUBLIC,50,96%,4%,100%,98%,2%,100%,98%,2%,100%,98%,2%,100%,98%,2%,100%,98%,2%,100%,98%,2%,100%,2%,0%,2%
MARY MEREDITH K-12 SCHOOL,755 N MAGNOLIA AVE,TUCSON,PIMA,85711,YES,RN,PUBLIC,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MARYLAND ELEMENTARY SCHOOL,6503 N 21ST AVE,PHOENIX,MARICOPA,85015,NO,,PUBLIC,95,98%,1%,100%,99%,1%,100%,95%,1%,96%,99%,1%,100%,99%,1%,100%,100%,0%,100%,100%,0%,100%,2%,0%,0%
MARYVALE PREPARATORY ACADEMY,4825 W CAMELBACK RD,PHOENIX,MARICOPA,85031,NO,,CHARTER,60,100%,0%,100%,82%,12%,97%,82%,12%,97%,100%,0%,100%,100%,0%,100%,98%,2%,100%,100%,0%,100%,12%,0%,0%
MATH AND SCIENCE SUCCESS ACADEMY,434 W LERDO RD,TUCSON,PIMA,85756,NO,,CHARTER,82,100%,0%,100%,99%,0%,99%,98%,0%,98%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
MAURICE C CASH SCHOOL,3851 W ROESER RD,PHOENIX,MARICOPA,85041,NO,,PUBLIC,120,100%,0%,100%,94%,0%,97%,94%,0%,97%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
MAXINE O BUSH ELEMENTARY SCHOOL,602 E SIESTA WAY,PHOENIX,MARICOPA,85042,YES,RN,PUBLIC,42,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
MAYER ELEMENTARY SCHOOL,12568 E MAIN ST,MAYER,YAVAPAI,86333,NO,,PUBLIC,41,88%,12%,100%,85%,12%,100%,85%,12%,100%,88%,12%,100%,88%,12%,100%,88%,12%,100%,88%,12%,100%,12%,0%,12%
MCNEAL ELEMENTARY SCHOOL,3979 MCNEAL ST,MCNEAL,COCHISE,85617,NO,,PUBLIC,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MELVIN E SINE SCHOOL,4932 W MYRTLE AVE,GLENDALE,MARICOPA,85301,YES,LPN,PUBLIC,70,94%,3%,100%,94%,3%,99%,94%,3%,99%,99%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,3%,0%,0%
MENDOZA ELEMENTARY SCHOOL,5831 E MCLELLAN RD,MESA,MARICOPA,85205,YES,RN,PUBLIC,78,96%,4%,100%,96%,3%,99%,94%,6%,100%,96%,4%,100%,96%,4%,100%,99%,1%,100%,96%,4%,100%,8%,0%,4%
MERCURY MINE ELEMENTARY SCHOOL,9640 N 28TH ST,PHOENIX,MARICOPA,85028,YES,RN,PUBLIC,75,92%,8%,100%,93%,7%,100%,92%,8%,100%,91%,9%,100%,93%,7%,100%,92%,8%,100%,96%,4%,100%,11%,0%,0%
MERIDIAN ELEMENTARY,3900 S MOUNTAIN RD,MESA,MARICOPA,85212,YES,RN,PUBLIC,125,98%,2%,100%,93%,2%,100%,94%,2%,100%,98%,2%,100%,98%,2%,100%,99%,1%,100%,100%,0%,100%,2%,0%,2%
MESA ACADEMY FOR ADVANCED STUDIES,6919 E BROWN RD,MESA,MARICOPA,85207,YES,RN,PUBLIC,88,92%,1%,93%,90%,0%,93%,86%,11%,100%,90%,10%,100%,91%,9%,100%,91%,9%,100%,100%,0%,100%,11%,0%,6%
MESA ARTS ACADEMY,221 W SIXTH AVE,MESA,MARICOPA,85210,NO,,CHARTER,25,96%,4%,100%,96%,4%,100%,96%,4%,100%,96%,4%,100%,96%,4%,100%,96%,4%,100%,96%,4%,100%,4%,0%,4%
MESA CHRISTIAN ACADEMY,7918 E 1ST AVE,MESA,MARICOPA,85208,NO,,PRIVATE,< 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MESA VIEW ELEMENTARY,HWY 191 & NAVAJO ROUTE 7,CHINLE,APACHE,86503,NO,,PUBLIC,54,100%,0%,100%,96%,0%,100%,96%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
