SCHOOL_NAME,SCHOOL_TYPE,SCHOOL_NURSE,SCHOOL_NURSE_TYPE,ENROLLED,ADDRESS_1,CITY,STATE,ZIP,COUNTY,ENROLLED_WEBSITE,PCT_IMMUNE_DTAP,PCT_EXEMPT_DTAP,PCT_COMPLIANCE_DTAP,PCT_IMMUNE_POLIO,PCT_EXEMPT_POLIO,PCT_COMPLIANCE_POLIO,PCT_IMMUNE_MMR,PCT_EXEMPT_MMR,PCT_COMPLIANCE_MMR,PCT_IMMUNE_HEPB,PCT_EXEMPT_HEPB,PCT_COMPLIANCE_HEPB,PCT_IMMUNE_VAR,PCT_EXEMPT_VAR,PCT_COMPLIANCE_VAR,PCT_PBE,PCT_MEDICAL_EXEMPT,PCT_PBE_EXEMPT_ALL
Anthem School,Public,Y,LPN,56,41020 N FREEDOM WAY,ANTHEM,AZ,85086,MARICOPA COUNTY,GREATER THAN,94.6%,5.4%,100.0%,94.6%,5.4%,100.0%,94.6%,5.4%,100.0%,98.2%,1.8%,100.0%,98.2%,1.8%,100.0%,3.6%,0.0%,0.0%
Anza Trail School,Public,N,,92,15490 S RANCHO SAHUARITA BLVD,SAHUARITA,AZ,85629,PIMA COUNTY,GREATER THAN,97.8%,0.0%,97.8%,97.8%,0.0%,97.8%,98.9%,0.0%,98.9%,97.8%,0.0%,97.8%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
Apache,Public,Y,RN,68,8633 W JOHN CABOT RD,PEORIA,AZ,85382,MARICOPA COUNTY,GREATER THAN,88.2%,11.8%,100.0%,88.2%,11.8%,100.0%,86.8%,13.2%,100.0%,86.8%,13.2%,100.0%,100.0%,0.0%,100.0%,19.1%,0.0%,0.0%
Apache Elementary School,Public,N,,≤ 20,10488 N SKELETON CANYON RD,DOUGLAS,AZ,85608,COCHISE COUNTY,LESS THAN 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Arcadia Montessori,Private,N,,≤ 20,5115 E VIRGINIA AVE,PHOENIX,AZ,85008,MARICOPA COUNTY,LESS THAN 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Archway Arete Classical Academy,Charter,Y,RN,86,4525 E BASELINE RD,GILBERT,AZ,85234,MARICOPA COUNTY,GREATER THAN,84.9%,15.1%,100.0%,80.2%,19.8%,100.0%,82.6%,17.4%,100.0%,84.9%,15.1%,100.0%,87.2%,12.8%,100.0%,20.9%,0.0%,8.1%
Archway Clasical Academy Glendale,Charter,Y,RN,84,23276 N 83RD AVE,PEORIA,AZ,85383,MARICOPA COUNTY,GREATER THAN,92.9%,7.1%,100.0%,91.7%,8.3%,100.0%,92.9%,7.1%,100.0%,89.3%,10.7%,100.0%,94.0%,6.0%,100.0%,13.1%,0.0%,4.8%
Archway Classical Academy - Chandler,Charter,N,,87,1951 N ALMA SCHOOL RD,CHANDLER,AZ,85224,MARICOPA COUNTY,GREATER THAN,97.7%,2.3%,100.0%,97.7%,2.3%,100.0%,96.6%,3.4%,100.0%,95.4%,4.6%,100.0%,97.7%,2.3%,100.0%,5.7%,0.0%,1.1%
Archway Classical Academy - Trivium,Charter,N,,72,14130 W MCDOWELL RD,GOODYEAR,AZ,85395,MARICOPA COUNTY,GREATER THAN,94.4%,5.6%,100.0%,97.2%,2.8%,100.0%,94.4%,5.6%,100.0%,94.4%,5.6%,100.0%,94.4%,5.6%,100.0%,5.6%,0.0%,0.0%
Archway Classical Academy - Trivium West,Charter,N,,85,2001 N BULLARD AVE,GOODYEAR,AZ,85395,MARICOPA COUNTY,GREATER THAN,92.9%,7.1%,100.0%,90.6%,9.4%,100.0%,91.8%,8.2%,100.0%,90.6%,9.4%,100.0%,92.9%,7.1%,100.0%,12.9%,0.0%,4.7%
Archway Classical Academy - Veritas,Charter,Y,RN,88,3102 N 56TH ST STE 200,PHOENIX,AZ,85018,MARICOPA COUNTY,GREATER THAN,93.2%,6.8%,100.0%,89.8%,10.2%,100.0%,89.8%,10.2%,100.0%,88.6%,11.4%,100.0%,96.6%,3.4%,100.0%,9.1%,2.3%,3.4%
Archway Classical Academy Scottsdale,Charter,Y,RN,89,7496 E TIERRA BUENA LN,SCOTTSDALE,AZ,85260,MARICOPA COUNTY,GREATER THAN,98.9%,1.1%,100.0%,96.6%,3.4%,100.0%,96.6%,3.4%,100.0%,94.4%,5.6%,100.0%,97.8%,2.2%,100.0%,7.9%,0.0%,7.9%
Archway Classical Academy-cicero,Charter,Y,RN,81,7205 N PIMA RD,SCOTTSDALE,AZ,85258,MARICOPA COUNTY,GREATER THAN,84.0%,9.9%,93.8%,82.7%,9.9%,92.6%,82.7%,11.1%,93.8%,82.7%,9.9%,92.6%,87.7%,11.1%,98.8%,11.1%,0.0%,11.1%
Archway North Phoenix,Charter,N,,99,13613 N CAVE CREEK RD BLDG C,PHOENIX,AZ,85022,MARICOPA COUNTY,GREATER THAN,85.9%,14.1%,100.0%,86.9%,13.1%,100.0%,83.8%,16.2%,100.0%,78.8%,21.2%,100.0%,86.9%,13.1%,100.0%,25.3%,0.0%,12.1%
Arizona Academy Of Science And Technology,Charter,N,,≤ 20,1875 N CENTRAL AVE,PHOENIX,AZ,85004,MARICOPA COUNTY,LESS THAN 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Arizona Autism Charter School,Charter,N,,≤ 20,4433 N 7TH ST,PHOENIX,AZ,85014,MARICOPA COUNTY,LESS THAN 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Arizona Charter Academy,Charter,N,,74,16011 N DYSART RD,SURPRISE,AZ,85374,MARICOPA COUNTY,GREATER THAN,95.9%,1.4%,97.3%,94.6%,1.4%,95.9%,95.9%,1.4%,97.3%,98.6%,1.4%,100.0%,98.6%,1.4%,100.0%,1.4%,0.0%,1.4%
Arizona Connections Academy,Charter,N,,71,335 E GERMANN RD STE 140,GILBERT,AZ,85297,MARICOPA COUNTY,GREATER THAN,70.4%,29.6%,100.0%,73.2%,26.8%,100.0%,71.8%,28.2%,100.0%,70.4%,29.6%,100.0%,74.6%,25.4%,100.0%,28.2%,2.8%,28.2%
Arizona Cultural Academy & College Prep,Private,N,,22,7810 S 42ND PL,PHOENIX,AZ,85042,MARICOPA COUNTY,GREATER THAN,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
Arizona Desert Elementary School,Public,Y,,65,8803 W VAN BUREN ST,TOLLESON,AZ,85353,MARICOPA COUNTY,GREATER THAN,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,98.5%,0.0%,98.5%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
Arizona Desert Elementary School,Public,N,,65,1245 N MAIN ST,SAN LUIS,AZ,85349,YUMA COUNTY,GREATER THAN,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
Arizona School For The Deaf And Blind,Public,Y,RN,≤ 20,1200 W SPEEDWAY BLVD,TUCSON,AZ,85745,PIMA COUNTY,LESS THAN 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Arlington Elementary School,Public,N,,23,9410 S 355TH AVE,ARLINGTON,AZ,85322,MARICOPA COUNTY,GREATER THAN,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
Arredondo Elementary School at Meyer Campus,Public,Y,RN,43,2615 E DORSEY LANE,TEMPE,AZ,85282,MARICOPA COUNTY,GREATER THAN,93.0%,2.3%,95.3%,93.0%,2.3%,95.3%,93.0%,2.3%,95.3%,93.0%,4.7%,97.7%,100.0%,0.0%,100.0%,0.0%,4.7%,0.0%
Arrowhead Christian Academy,Private,N,,≤ 20,4030 W YORKSHIRE DR,GLENDALE,AZ,85308,MARICOPA COUNTY,LESS THAN 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Arrowhead Elementary School,Public,Y,RN,54,3820 E NISBET RD,PHOENIX,AZ,85032,MARICOPA COUNTY,GREATER THAN,92.6%,7.4%,100.0%,94.4%,5.6%,100.0%,92.6%,5.6%,98.1%,94.4%,5.6%,100.0%,100.0%,0.0%,100.0%,5.6%,0.0%,0.0%
Arrowhead Elementary School,Public,Y,LPN,91,7490 W UNION HILLS DR,GLENDALE,AZ,85308,MARICOPA COUNTY,GREATER THAN,96.7%,3.3%,100.0%,96.7%,3.3%,100.0%,97.8%,2.2%,100.0%,96.7%,3.3%,100.0%,97.8%,2.2%,100.0%,4.4%,0.0%,2.2%
Arroyo School,Public,N,,42,4535 W CHOLLA ST,GLENDALE,AZ,85304,MARICOPA COUNTY,GREATER THAN,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
Arthur M. Hamilton,Public,N,,≤ 20,2020 W DURANGO ST,PHOENIX,AZ,85009,MARICOPA COUNTY,LESS THAN 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Arts Academy At Estrella Mountain,Charter,N,,107,2504 S 91ST AVE,TOLLESON,AZ,85353,MARICOPA COUNTY,GREATER THAN,95.3%,4.7%,100.0%,96.3%,3.7%,100.0%,95.3%,4.7%,100.0%,98.1%,1.9%,100.0%,100.0%,0.0%,100.0%,0.9%,0.0%,0.0%
Ascension Lutheran School,Private,N,,≤ 20,1220 W MAGEE RD,TUCSON,AZ,85704,PIMA COUNTY,LESS THAN 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ash Fork Joint Unified,Public,Y,RN,≤ 20,4699 N. 5TH STREET,ASH FORK,AZ,86320,YAVAPAI COUNTY,LESS THAN 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ashland Elementary,Public,Y,RN,93,1945 S ASHLAND RANCH RD,GILBERT,AZ,85295,MARICOPA COUNTY,GREATER THAN,93.5%,5.4%,98.9%,94.6%,5.4%,100.0%,93.5%,5.4%,98.9%,93.5%,5.4%,98.9%,95.7%,4.3%,100.0%,1.1%,0.0%,7.5%
Ashton Ranch Elementary School,Public,Y,LPN,76,14898 W ACOMA DR,SURPRISE,AZ,85379,MARICOPA COUNTY,GREATER THAN,93.4%,6.6%,100.0%,96.1%,3.9%,100.0%,93.4%,6.6%,100.0%,94.7%,3.9%,98.7%,96.1%,3.9%,100.0%,7.9%,2.6%,5.3%
Asu Preparatory Academy - Phoenix Elementary,Charter,Y,RN,75,735 E FILLMORE ST,PHOENIX,AZ,85006,MARICOPA COUNTY,GREATER THAN,94.7%,4.0%,98.7%,94.7%,4.0%,98.7%,94.7%,4.0%,98.7%,96.0%,4.0%,100.0%,96.0%,4.0%,100.0%,4.0%,0.0%,4.0%
Asu Preparatory Academy Polytechnic Elementary,Charter,N,,70,6950 E WILLIAMS FIELD RD,MESA,AZ,85212,MARICOPA COUNTY,GREATER THAN,88.6%,11.4%,100.0%,91.4%,8.6%,100.0%,88.6%,11.4%,100.0%,92.9%,7.1%,100.0%,91.4%,8.6%,100.0%,11.4%,0.0%,7.1%
Athos Traditional Academy,Charter,N,,128,3201 S GILBERT RD BLDG B,CHANDLER,AZ,85286,MARICOPA COUNTY,GREATER THAN,88.3%,11.7%,100.0%,88.3%,11.7%,100.0%,89.1%,10.9%,100.0%,87.5%,12.5%,100.0%,90.6%,9.4%,100.0%,12.5%,1.6%,10.9%
Atonement Lutheran School,Private,N,,≤ 20,4001 W BEARDSLEY RD,GLENDALE,AZ,85308,MARICOPA COUNTY,LESS THAN 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Audrey And Robert Ryan Elementary,Public,N,,86,4600 S BRIGHT ANGEL WAY,CHANDLER,AZ,85249,MARICOPA COUNTY,GREATER THAN,95.3%,4.7%,100.0%,95.3%,4.7%,100.0%,95.3%,4.7%,100.0%,97.7%,1.2%,98.8%,100.0%,0.0%,100.0%,4.7%,1.2%,4.7%
Augusta Ranch Elementary,Public,Y,RN,114,9430 E NEVILLE AVE,MESA,AZ,85209,MARICOPA COUNTY,GREATER THAN,93.0%,4.4%,97.4%,99.1%,0.0%,99.1%,94.7%,5.3%,100.0%,93.9%,4.4%,98.2%,95.6%,4.4%,100.0%,6.1%,0.0%,0.0%
Augustus H Shaw Jr School,Public,Y,RN,61,123 N 13TH ST,PHOENIX,AZ,85034,MARICOPA COUNTY,GREATER THAN,96.7%,3.3%,100.0%,95.1%,4.9%,100.0%,95.1%,4.9%,100.0%,95.1%,4.9%,100.0%,95.1%,4.9%,100.0%,4.9%,0.0%,4.9%
Avalon Elementary,Charter,N,,41,1045 S SAN MARCOS DR,APACHE JUNCTION,,85220,PINAL COUNTY,GREATER THAN,87.8%,12.2%,100.0%,90.2%,9.8%,100.0%,87.8%,12.2%,100.0%,90.2%,9.8%,100.0%,95.1%,4.9%,100.0%,4.9%,7.3%,0.0%
Awakening Seed School (k-4th),Private,N,,≤ 20,6630 S 40TH ST,PHOENIX,AZ,85042,MARICOPA COUNTY,LESS THAN 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
B.e.s.d.#26 - Bouse Elementary School,Public,N,,≤ 20,44936 JOSHUA DR,BOUSE,AZ,85325,LA PAZ COUNTY,LESS THAN 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bagdad Elementary School,Public,N,,30,515 BREEZY CIR,BAGDAD,AZ,86321,YAVAPAI COUNTY,GREATER THAN,96.7%,3.3%,100.0%,96.7%,3.3%,100.0%,96.7%,3.3%,100.0%,96.7%,3.3%,100.0%,96.7%,3.3%,100.0%,3.3%,0.0%,0.0%
Bales Elementary School,Public,N,,75,25400 W MARICOPA RD,BUCKEYE,AZ,85326,MARICOPA COUNTY,GREATER THAN,94.7%,2.7%,97.3%,96.0%,0.0%,96.0%,94.7%,2.7%,97.3%,98.7%,1.3%,100.0%,100.0%,0.0%,100.0%,5.3%,0.0%,0.0%
Balsz Elementary,Public,Y,RN,78,4309 E BELLEVIEW ST,PHOENIX,AZ,85008,MARICOPA COUNTY,GREATER THAN,98.7%,1.3%,100.0%,98.7%,1.3%,100.0%,98.7%,1.3%,100.0%,98.7%,1.3%,100.0%,98.7%,1.3%,100.0%,1.3%,0.0%,0.0%
Barbara B Robey Elementary,Public,Y,LPN,104,5340 N WIGWAM CREEK BLVD,LITCHFIELD PARK,AZ,85340,MARICOPA COUNTY,GREATER THAN,95.2%,3.8%,99.0%,95.2%,3.8%,99.0%,94.2%,4.8%,99.0%,95.2%,3.8%,99.0%,95.2%,3.8%,99.0%,4.8%,0.0%,3.8%
Barbara Bush Elementary School,Public,Y,RN,68,4925 E INGRAM ST,MESA,AZ,85205,MARICOPA COUNTY,GREATER THAN,92.6%,7.4%,100.0%,94.1%,5.9%,100.0%,94.1%,5.9%,100.0%,94.1%,5.9%,100.0%,100.0%,0.0%,100.0%,5.9%,1.5%,5.9%
Basha Elementary,Public,N,,91,3535 S BASHA RD,CHANDLER,AZ,85248,MARICOPA COUNTY,GREATER THAN,89.0%,11.0%,100.0%,89.0%,11.0%,100.0%,90.1%,9.9%,100.0%,93.4%,6.6%,100.0%,94.5%,5.5%,100.0%,12.1%,0.0%,5.5%
Basis Chandler Primary North Campus,Public,N,,121,1800 E CHANDLER BLVD,CHANDLER,AZ,85225,MARICOPA COUNTY,GREATER THAN,98.3%,1.7%,100.0%,98.3%,1.7%,100.0%,98.3%,1.7%,100.0%,99.2%,0.8%,100.0%,100.0%,0.0%,100.0%,2.5%,0.0%,1.7%
Basis Chandler Primary School South Campus,Charter,N,,63,204 W CHANDLER HEIGHTS RD,CHANDLER,AZ,85248,MARICOPA COUNTY,GREATER THAN,96.8%,3.2%,100.0%,96.8%,3.2%,100.0%,96.8%,3.2%,100.0%,96.8%,3.2%,100.0%,96.8%,3.2%,100.0%,3.2%,0.0%,3.2%
Basis Goodyear Primary,Charter,N,,122,15800 W SHERMAN ST,GOODYEAR,AZ,85338,MARICOPA COUNTY,GREATER THAN,89.3%,10.7%,100.0%,90.2%,9.8%,100.0%,89.3%,10.7%,100.0%,95.1%,4.9%,100.0%,94.3%,5.7%,100.0%,10.7%,0.0%,4.9%
Basis Oro Valley Primary,Charter,N,,128,11129 N ORACLE RD,ORO VALLEY,AZ,85737,PIMA COUNTY,GREATER THAN,95.3%,4.7%,100.0%,96.1%,3.9%,100.0%,95.3%,4.7%,100.0%,95.3%,4.7%,100.0%,96.9%,3.1%,100.0%,5.5%,1.6%,0.0%
Basis Phoenix Central,Charter,N,,144,201 E INDIANOLA AVE,PHOENIX,AZ,85012,MARICOPA COUNTY,GREATER THAN,92.4%,7.6%,100.0%,92.4%,7.6%,100.0%,88.2%,11.8%,100.0%,90.3%,9.7%,100.0%,92.4%,7.6%,100.0%,14.6%,0.0%,7.6%
Basis Prescott,Charter,N,,64,1901 PRESCOTT LAKES PKWY,PRESCOTT,AZ,86301,YAVAPAI COUNTY,GREATER THAN,84.4%,15.6%,100.0%,81.3%,18.8%,100.0%,84.4%,15.6%,100.0%,84.4%,15.6%,100.0%,89.1%,10.9%,100.0%,29.7%,0.0%,6.3%
Basis Scottsdale Primary,Charter,N,,129,11440 N 136TH ST,SCOTTSDALE,AZ,85259,MARICOPA COUNTY,GREATER THAN,93.8%,4.7%,98.4%,95.3%,3.9%,99.2%,94.6%,4.7%,99.2%,95.3%,3.9%,99.2%,98.4%,1.6%,100.0%,4.7%,1.6%,0.0%
Basis Tucson,Charter,N,,161,3825 E 2ND ST,TUCSON,AZ,85716,PIMA COUNTY,GREATER THAN,98.1%,1.9%,100.0%,98.1%,1.9%,100.0%,98.1%,1.9%,100.0%,98.1%,1.9%,100.0%,98.1%,1.9%,100.0%,1.9%,0.0%,1.9%
Bayer School,Private,Y,RN,21,23555 N 67TH AVE,GLENDALE,AZ,85310,MARICOPA COUNTY,GREATER THAN,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,95.2%,0.0%,95.2%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
Beautiful Savior Academy,Private,N,,≤ 20,7570 N THORNYDALE RD,TUCSON,AZ,85741,PIMA COUNTY,LESS THAN 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Beaver Creek School,Public,N,,25,4810 E BEAVER CREEK RD,RIMROCK,AZ,86335,YAVAPAI COUNTY,GREATER THAN,92.0%,8.0%,100.0%,92.0%,8.0%,100.0%,96.0%,4.0%,100.0%,92.0%,8.0%,100.0%,96.0%,4.0%,100.0%,8.0%,0.0%,4.0%
Beaver Dam Elementary,Public,N,,≤ 20,3436 RIO VIRGIN RD,LITTLEFIELD,AZ,86432,MOHAVE COUNTY,LESS THAN 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bella Vista Elementary School,Public,N,,48,801 N LENZNER AVE,SIERRA VISTA,AZ,85635,COCHISE COUNTY,GREATER THAN,97.9%,2.1%,100.0%,97.9%,2.1%,100.0%,97.9%,2.1%,100.0%,97.9%,2.1%,100.0%,97.9%,2.1%,100.0%,2.1%,0.0%,0.0%
Bellair Elementary School,Public,Y,LPN,64,4701 W GROVERS AVE,GLENDALE,AZ,85308,MARICOPA COUNTY,GREATER THAN,90.6%,6.3%,96.9%,93.8%,6.3%,100.0%,93.8%,6.3%,100.0%,93.8%,6.3%,100.0%,96.9%,3.1%,100.0%,6.3%,0.0%,0.0%
Benchmark School,Charter,N,,61,4120 E ACOMA DR,PHOENIX,AZ,85032,MARICOPA COUNTY,GREATER THAN,95.1%,1.6%,96.7%,95.1%,1.6%,96.7%,83.6%,1.6%,85.2%,95.1%,1.6%,96.7%,96.7%,1.6%,98.4%,1.6%,0.0%,1.6%
Benjamin Franklin Charter School - Gilbert,Charter,Y,RN,110,1475 S VAL VISTA DR,GILBERT,AZ,85296,MARICOPA COUNTY,GREATER THAN,81.8%,18.2%,100.0%,81.8%,18.2%,100.0%,81.8%,18.2%,100.0%,85.5%,14.5%,100.0%,84.5%,15.5%,100.0%,23.6%,0.9%,10.9%
Benjamin Franklin Charter School - Power,Charter,Y,RN,108,22951 S POWER RD,GILBERT,AZ,85298,MARICOPA COUNTY,GREATER THAN,72.2%,27.8%,100.0%,71.3%,28.7%,100.0%,73.1%,26.9%,100.0%,74.1%,25.9%,100.0%,86.1%,13.9%,100.0%,34.3%,0.0%,10.2%
Benjamin Franklin Charter School - Queen,Charter,Y,RN,115,22120 E QUEEN CREEK RD,QUEEN CREEK,,85242,MARICOPA COUNTY,GREATER THAN,79.1%,20.9%,100.0%,81.7%,18.3%,100.0%,79.1%,20.9%,100.0%,83.5%,16.5%,100.0%,85.2%,14.8%,100.0%,22.6%,0.9%,11.3%
Bennett Academy,Charter,N,,21,2930 W BETHANY HOME RD,PHOENIX,AZ,85017,MARICOPA COUNTY,GREATER THAN,100.0%,0.0%,100.0%,95.2%,0.0%,95.2%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
Bennett Academy Venture Site,Charter,N,,22,1535 W DUNLAP AVE,PHOENIX,AZ,85021,MARICOPA COUNTY,GREATER THAN,68.2%,13.6%,81.8%,77.3%,13.6%,90.9%,77.3%,13.6%,90.9%,81.8%,13.6%,95.5%,86.4%,13.6%,100.0%,13.6%,0.0%,0.0%
Benson Unified School District,Public,Y,RN,89,360 S PATAGONIA ST,BENSON,AZ,85602,COCHISE COUNTY,GREATER THAN,92.1%,6.7%,98.9%,93.3%,6.7%,100.0%,92.1%,7.9%,100.0%,93.3%,6.7%,100.0%,92.1%,7.9%,100.0%,0.0%,0.0%,7.9%
Bernard Black Elementary,Public,Y,RN,87,6550 S 27TH AVE,PHOENIX,AZ,85041,MARICOPA COUNTY,GREATER THAN,96.6%,2.3%,98.9%,97.7%,2.3%,100.0%,97.7%,2.3%,100.0%,97.7%,2.3%,100.0%,100.0%,0.0%,100.0%,2.3%,0.0%,0.0%
Bethany Christian School,Private,Y,RN,22,6304 S PRICE RD,TEMPE,AZ,85283,MARICOPA COUNTY,GREATER THAN,72.7%,27.3%,100.0%,72.7%,27.3%,100.0%,72.7%,27.3%,100.0%,72.7%,27.3%,100.0%,77.3%,22.7%,100.0%,18.2%,0.0%,18.2%
Bicentennial South,Public,Y,,132,7240 W COLTER ST,GLENDALE,AZ,85303,MARICOPA COUNTY,GREATER THAN,97.0%,0.0%,97.0%,97.0%,0.0%,97.0%,100.0%,0.0%,100.0%,98.5%,0.0%,98.5%,99.2%,0.8%,100.0%,0.8%,0.8%,0.0%
Big Park Community School,Public,N,,≤ 20,25 W SADDLEHORN CT,SEDONA,AZ,86351,YAVAPAI COUNTY,LESS THAN 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Biltmore Prep,Public,Y,LPN,95,4601 N 34TH ST,PHOENIX,AZ,85018,MARICOPA COUNTY,GREATER THAN,95.8%,4.2%,100.0%,95.8%,4.2%,100.0%,95.8%,4.2%,100.0%,95.8%,4.2%,100.0%,96.8%,3.2%,100.0%,4.2%,0.0%,0.0%
Black Mountain Elementary School,Public,Y,RN,51,33016 N 60TH ST,CAVE CREEK,AZ,85327,MARICOPA COUNTY,GREATER THAN,88.2%,11.8%,100.0%,88.2%,11.8%,100.0%,88.2%,11.8%,100.0%,82.4%,17.6%,100.0%,96.1%,3.9%,100.0%,17.6%,0.0%,5.9%
Black Mountain Elementary School,Public,Y,LPN,47,3404 N SANTA MARIA RD,GOLDEN VALLEY,AZ,86413,MOHAVE COUNTY,GREATER THAN,89.4%,8.5%,97.9%,89.4%,8.5%,97.9%,89.4%,8.5%,97.9%,87.2%,10.6%,97.9%,89.4%,8.5%,97.9%,8.5%,0.0%,8.5%
Blackwater Community School,Charter,N,,67,3652 E BLACKWATER SCHOOL RD,COOLIDGE,AZ,85128,PINAL COUNTY,GREATER THAN,97.0%,1.5%,98.5%,98.5%,1.5%,100.0%,98.5%,1.5%,100.0%,100.0%,0.0%,100.0%,98.5%,1.5%,100.0%,1.5%,0.0%,0.0%
Blake Primary School,Public,N,,121,701 S NAVAJO AVE,PARKER,AZ,85344,LA PAZ COUNTY,GREATER THAN,96.7%,1.7%,98.3%,95.9%,1.7%,97.5%,98.3%,1.7%,100.0%,97.5%,1.7%,99.2%,99.2%,1.7%,100.8%,1.7%,0.0%,0.0%
Blenman Elementary School,Public,Y,RN,53,1695 N COUNTRY CLUB RD,TUCSON,AZ,85716,PIMA COUNTY,GREATER THAN,92.5%,0.0%,92.5%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,98.1%,1.9%,100.0%,100.0%,0.0%,100.0%,0.0%,1.9%,0.0%
Blessed Sacrament Kindergarten And Preschool,Private,N,,≤ 20,11300 N 64TH ST,SCOTTSDALE,AZ,85254,MARICOPA COUNTY,LESS THAN 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Bloom,Public,N,,64,8310 E PIMA ST,TUCSON,AZ,85715,PIMA COUNTY,GREATER THAN,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,0.0%,0.0%,0.0%
Blue Ridge Elementary,Public,N,,128,1200 W WHITE MOUNTAIN BLVD,LAKESIDE,AZ,85929,NAVAJO COUNTY,GREATER THAN,81.3%,2.3%,83.6%,81.3%,2.3%,83.6%,81.3%,2.3%,83.6%,97.7%,2.3%,100.0%,100.0%,0.0%,100.0%,2.3%,0.0%,0.0%
Bonillas Elementary Basic Curriculum Magn,Public,Y,RN,55,4757 E WINSETT ST,TUCSON,AZ,85711,PIMA COUNTY,GREATER THAN,96.4%,0.0%,96.4%,94.5%,1.8%,96.4%,96.4%,0.0%,96.4%,98.2%,0.0%,98.2%,100.0%,0.0%,100.0%,0.0%,1.8%,0.0%
Bonita Elementary School,Public,N,,≤ 20,18008 S FORT GRANT RD,WILLCOX,AZ,85643,GRAHAM COUNTY,LESS THAN 20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
