SCHOOL_NAME,SCHOOL_TYPE,SCHOOL_ADDRESS_ONE,CITY,COUNTY,ZIP_CODE,HAS_NURSE,NURSE_TYPE,ENROLLED,PCT_IMMUNE_DTAP,PCT_EXEMPT_DTAP,PCT_COMPLIANCE_DTAP,PCT_IMMUNE_TDAP,PCT_EXEMPT_TDAP,PCT_COMPLIANCE_TDAP,PCT_IMMUNE_MVMVC,PCT_EXEMPT_MVMVC,PCT_COMPLIANCE_MVMVC,PCT_IMMUNE_POLIO,PCT_EXEMPT_POLIO,PCT_COMPLIANCE_POLIO,PCT_IMMUNE_MMR,PCT_EXEMPT_MMR,PCT_COMPLIANCE_MMR,PCT_IMMUNE_HEPB,PCT_EXEMPT_HEPB,PCT_COMPLIANCE_HEPB,PCT_IMMUNE_VAR,PCT_EXEMPT_VAR,PCT_COMPLIANCE_VAR,PCT_PBE,PCT_MEDICAL_EXEMPT,PCT_PBE_EXEMPT_ALL,Column1
Leading Edge Academy - San Tan Campus (queen Creek),Charter,7377 E Hunt Hwy,Queen Creek,Pinal,85142,N,,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Leading Edge Academy At East Mesa,Charter,10115 E. University Dr.,Mesa,Maricopa,85207,N,,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Learning Foundation And Performing Arts Alta Mesa,Charter,5761 E Brown Rd. ,Mesa,Maricopa,85296,N,,30,0.00%,23.30%,23.30%,73.30%,23.30%,96.70%,73.30%,23.30%,96.70%,76.70%,23.30%,100%,76.70%,23.30%,100%,100%,0.00%,100%,76.70%,23.30%,100%,23.30%,0.00%,0.00%,
Learning Foundation And Performing Arts Stapley,Charter,851 N Stapley Dr.,Mesa,Maricopa,85203,N,,23,91.30%,8.70%,100%,39.10%,21.70%,60.90%,34.80%,21.70%,56.50%,87.00%,13.00%,100%,82.60%,17.40%,100%,91.30%,8.70%,100%,82.60%,13.00%,100%,21.70%,0.00%,0.00%,
Learning Foundation And Performing Arts Warner,Charter,3939 E. Warner Rd.,Gilbert,Maricopa,85296,N,,84,90.50%,9.50%,100%,72.60%,26.20%,100%,72.60%,26.20%,100%,90.50%,9.50%,100%,89.30%,10.70%,100%,89.30%,10.70%,100%,90.50%,9.50%,100%,27.40%,0.00%,9.50%,
Lee Kornegay Intermediate School,Public,P.O. Box 2070,Miami,Gila,85539,N,,101,91.10%,1.00%,92.10%,97.00%,1.00%,98.00%,89.10%,1.00%,90.10%,97.00%,1.00%,98.00%,93.10%,1.00%,94.10%,96.00%,1.00%,97.00%,96.00%,1.00%,97.00%,1.00%,0.00%,0.00%,
Legacy School,Charter,7618 E. University Dr.,Mesa,Maricopa,85207,N,,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Legacy Traditional School  - Surprise,Charter,14506 W. Sweetwater Ave.,Surprise,Maricopa,85379,N,,129,96.10%,3.90%,100%,95.30%,3.90%,100%,94.60%,4.70%,100%,96.10%,3.90%,100%,96.90%,3.10%,100%,96.10%,3.90%,100%,69.80%,2.30%,100%,6.20%,0.00%,2.30%,
Legacy Traditional School - Avondale,Charter,12320 W Van Buren St. ,Avondale,Maricopa,85323,N,,127,97.60%,2.40%,100%,92.10%,7.10%,100%,91.30%,7.90%,100%,96.90%,3.10%,100%,96.90%,3.10%,100%,97.60%,2.40%,100%,85.80%,3.10%,100%,11.00%,0.00%,3.10%,
Legacy Traditional School - Casa Grande,Charter,1274 E O'neil Dr.,Casa Grande,Pinal,85138,Y,LPN,104,94.20%,5.80%,100%,94.20%,0.00%,100%,94.20%,5.80%,100%,94.20%,5.80%,100%,94.20%,5.80%,100%,94.20%,5.80%,100%,94.20%,5.80%,100%,5.80%,0.00%,0.00%,
Legacy Traditional School - Maricopa,Charter,17760 Regent Dr.,Maricopa,Pinal,85138,N,,124,99.20%,0.80%,100%,89.50%,8.10%,100%,89.50%,8.10%,100%,99.20%,0.80%,100%,97.60%,2.40%,100%,98.40%,1.60%,100%,81.50%,0.80%,100%,8.10%,0.00%,0.00%,
Legacy Traditional School - Queen Creek,Charter,41800 N. Barnes Pkwy,San Tan Valley,Pinal,85140,N,,79,93.70%,6.30%,100%,78.50%,16.50%,100%,82.30%,12.70%,100%,92.40%,7.60%,100%,91.10%,8.90%,100%,92.40%,7.60%,100%,67.10%,6.30%,100%,17.70%,0.00%,0.00%,
Legacy Traditional School Gilbert,Charter,2747 S Recker Rd. ,Gilbert,Maricopa,85295,N,,103,94.20%,5.80%,100%,83.50%,15.50%,100%,84.50%,15.50%,100%,94.20%,5.80%,100%,92.20%,7.80%,100%,92.20%,7.80%,100%,71.80%,7.80%,100%,16.50%,0.00%,5.80%,
Legacy Traditional Schools - Northwest,Charter,3500 W. Cortaro Farms Rd. ,Tucson,Pima,85742,N,,152,96.10%,3.90%,100%,95.40%,3.90%,100%,96.10%,3.30%,100%,96.10%,3.90%,100%,96.10%,3.90%,100%,98.00%,2.00%,100%,95.40%,4.60%,100%,4.60%,1.30%,4.60%,
Legend Springs Elementary,Public,21150 N Arrowhead Loop Rd.,Glendale,Maricopa,85308,Y,RN,105,98.10%,1.90%,100%,94.30%,4.80%,100%,94.30%,4.80%,100%,97.10%,2.90%,100%,98.10%,1.90%,100%,99.00%,1.00%,100%,84.80%,1.00%,100%,5.70%,0.00%,5.70%,
Lehi Elementary School,Public,2555 N Stapley Dr.,Mesa,Maricopa,85203,Y,RN,49,98.00%,0.00%,98.00%,95.90%,0.00%,95.90%,95.90%,0.00%,95.90%,98.00%,0.00%,98.00%,98.00%,0.00%,98.00%,95.90%,0.00%,95.90%,73.50%,0.00%,100%,4.10%,0.00%,4.10%,
Leman Academy Of Excellence,Charter,7720 N Silverbell Rd.,Tucson,Pima,85743,Y,RN,42,92.90%,7.10%,100%,85.70%,14.30%,100%,83.30%,16.70%,100%,92.90%,7.10%,100%,92.90%,7.10%,100%,95.20%,4.80%,100%,83.30%,0.00%,100%,16.70%,0.00%,7.10%,
Leonor Hambly K-8,Public,P.O. Box 409,Winkelman,Gila,85192,N,,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Lexis Preparatory School,Private,11130 E Cholla St.  Suite H-100,Scottsdale,Maricopa,85259,N,,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Liberty Arts Academy,Charter,3015 South Power Rd.,Mesa,Maricopa,85212,N,,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Liberty Elementary School (Buckeye),Public,19818 W. Us Highway 85,Buckeye,Maricopa,85326,Y,LPN,55,94.50%,0.00%,94.50%,21.80%,3.60%,27.30%,20.00%,3.60%,23.60%,94.50%,3.60%,98.20%,94.50%,3.60%,98.20%,94.50%,3.60%,98.20%,78.20%,5.50%,98.20%,3.60%,1.80%,3.60%,
Liberty Elementary School (Scottsdale),Public,5125 E Marilyn Rd. ,Scottsdale,Maricopa,85254,Y,RN,70,97.10%,1.40%,98.60%,95.70%,2.90%,100%,95.70%,2.90%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,85.70%,0.00%,100%,2.90%,0.00%,0.00%,
Liberty Elementary School (Tucson),Public,5495 S Liberty Ave.,Tucson,Pima,85706,Y,RN,99,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,0.00%,0.00%,0.00%,
Liberty Traditional Charter School - Phoenix,Charter,4027 N 45th Ave.,Phoenix,Maricopa,85031,N,,50,98.00%,0.00%,98.00%,78.00%,0.00%,80.00%,78.00%,0.00%,80.00%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,0.00%,0.00%,0.00%,
Liberty Traditional School - Prescott Valley,Public,3300 N Lake Valley Rd. ,Prescott Valley,Yavapai,86314,Y,RN,80,97.50%,2.50%,100%,87.50%,10.00%,100%,87.50%,10.00%,100%,97.50%,2.50%,100%,96.30%,3.80%,100%,95.00%,5.00%,100%,82.50%,2.50%,100%,11.30%,0.00%,2.50%,
Lincoln Elementary School,Public,930 S Sirrine,Mesa,Maricopa,85210,Y,RN,115,100%,0.00%,100%,96.50%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,99.10%,0.00%,99.10%,80.00%,0.00%,100%,0.00%,0.00%,0.00%,
Lincoln Preparatory Academy,Charter,2250 S Gilbert Rd.,Chandler,Maricopa,85286,Y,LPN,85,96.50%,2.40%,98.80%,82.40%,8.20%,91.80%,80.00%,9.40%,90.60%,90.60%,8.20%,98.80%,90.60%,7.10%,97.60%,92.90%,7.10%,100%,78.80%,7.10%,100%,10.60%,0.00%,4.70%,
Lindbergh Elementary School,Public,930 S Lazona Dr.,Mesa,Maricopa,85204,Y,RN,69,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,81.20%,0.00%,100%,0.00%,0.00%,0.00%,
Little Red Schoolhouse,Public,Hc 2  Box 50,Nogales,Santa Cruz,85621,N,,29,100%,0.00%,100%,100%,0.00%,100%,96.60%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,0.00%,0.00%,0.00%,
Littleton Elementary School,Public,1252 S 115th Ave.,Cashion,Maricopa,85323,Y,RN,90,100%,0.00%,100%,96.70%,0.00%,100%,96.70%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,88.90%,0.00%,100%,0.00%,0.00%,0.00%,
Loma Linda Elementary School,Public,2002 E Clarendon Ave. ,Phoenix,Maricopa,85016,Y,LPN,77,100%,0.00%,100%,89.60%,1.30%,100%,89.60%,1.30%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,84.40%,0.00%,100%,1.30%,0.00%,0.00%,
Lone Mountain Elementary School,Charter,5250 E Montgomery Rd. ,Cave Creek,Maricopa,85327,Y,RN,112,97.30%,2.70%,100%,94.60%,2.70%,97.30%,94.60%,2.70%,97.30%,96.40%,3.60%,100%,96.40%,3.60%,100%,95.50%,4.50%,100%,79.50%,3.60%,100%,4.50%,0.00%,1.80%,
Longfellow Elementary School,Public,345 S Hall St. ,Mesa,Maricopa,85204,Y,RN,74,98.60%,0.00%,98.60%,100%,0.00%,100%,100%,0.00%,100%,98.60%,0.00%,98.60%,100%,0.00%,100%,98.60%,0.00%,98.60%,77.00%,0.00%,100%,0.00%,0.00%,0.00%,
Longview Elementary School,Public,1209 E. Indian School Rd.,Phoenix,Maricopa,85014,N,,63,93.70%,3.20%,96.80%,88.90%,3.20%,92.10%,85.70%,4.80%,90.50%,93.70%,3.20%,96.80%,96.80%,3.20%,100%,96.80%,3.20%,100%,84.10%,4.80%,98.40%,4.80%,0.00%,1.60%,
Lookout Mountain School,Public,15 W Coral Gables Dr.,Phoenix,Maricopa,85023,N,,146,97.30%,2.70%,100%,96.60%,2.70%,100%,94.50%,3.40%,100%,96.60%,3.40%,100%,97.30%,2.70%,100%,97.30%,2.70%,100%,83.60%,3.40%,100%,6.80%,0.70%,0.00%,
Loretto Catholic School,Private,1200 14th St. ,Douglas,Cochise,85607,Y,RN,21,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,0.00%,0.00%,0.00%,
Los Amigos Elementary,Public,2200 E Drexel Rd. ,Tucson,Pima,85706,Y,RN,83,98.80%,1.20%,100%,96.40%,1.20%,98.80%,96.40%,1.20%,98.80%,98.80%,1.20%,100%,98.80%,1.20%,100%,98.80%,1.20%,100%,95.20%,1.20%,100%,1.20%,0.00%,1.20%,
Los Ninos Elementary School,Public,5445 S Alvernon Way,Tucson,Pima,85706,N,,70,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,95.70%,0.00%,100%,0.00%,0.00%,0.00%,
Lourdes Catholic School,Private,555 E Patagonia Hwy,Nogales,Santa Cruz,85621,N,,25,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,80.00%,0.00%,100%,0.00%,0.00%,0.00%,
Lowell Elementary School,Public,920 E Broadway Rd. ,Mesa,Maricopa,85204,Y,RN,72,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,93.10%,0.00%,100%,0.00%,0.00%,0.00%,
Lowell School (Bisbee),Public,100 Old Douglas Rd.,Bisbee,Cochise,85603,Y,RN,38,94.70%,5.30%,100%,92.10%,5.30%,100%,92.10%,5.30%,100%,94.70%,5.30%,100%,94.70%,5.30%,100%,94.70%,5.30%,100%,92.10%,5.30%,100%,5.30%,0.00%,0.00%,
Lowell School (Phoenix),Public,1121 S 3rd Ave.,Phoenix,Maricopa,85003,N,,56,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,89.30%,0.00%,100%,0.00%,0.00%,0.00%,
Luke Elementary School,Public,7300 N Dysart Rd. ,Glendale,Maricopa,85307,Y,LPN,75,100%,0.00%,100%,82.70%,1.30%,84.00%,80.00%,1.30%,81.30%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,85.30%,0.00%,100%,1.30%,1.30%,0.00%,
Macarthur Elementary School,Public,1435 E Mclellan Rd. ,Mesa,Maricopa,85203,Y,RN,82,96.30%,3.70%,100%,90.20%,8.50%,100%,90.20%,8.50%,100%,95.10%,4.90%,100%,95.10%,4.90%,100%,95.10%,4.90%,100%,70.70%,4.90%,100%,7.30%,0.00%,4.90%,
Madison  Elementary School,Public,5525 N 16th St. ,Phoenix,Maricopa,85016,Y,RN,222,92.80%,4.10%,96.80%,92.80%,6.30%,100%,93.70%,5.90%,100%,95.90%,4.10%,100%,96.40%,3.60%,100%,96.40%,3.60%,100%,86.90%,3.20%,100%,6.30%,0.00%,0.00%,
Madison Meadows School,Public,225 W Ocotillo Rd. ,Phoenix,Maricopa,85013,Y,RN,202,94.10%,3.50%,97.50%,62.40%,5.40%,72.30%,60.90%,5.40%,67.30%,94.60%,4.00%,98.50%,94.10%,4.00%,98.00%,96.00%,4.00%,100%,77.20%,3.00%,100%,5.40%,0.00%,2.00%,
Madison Park Middle School,Public,1431 E. Campbell Ave.,Phoenix,Maricopa,85014,N,,86,86.00%,0.00%,86.00%,62.80%,0.00%,100%,59.30%,0.00%,100%,95.30%,0.00%,95.30%,95.30%,2.30%,97.70%,82.60%,0.00%,82.60%,86.00%,8.10%,94.20%,2.30%,0.00%,0.00%,
Madison Tradition Academy,Public,925 E Maryland Ave. ,Phoenix,Maricopa,85014,N,,97,97.90%,1.00%,99.00%,96.90%,0.00%,99.00%,96.90%,0.00%,99.00%,99.00%,1.00%,100%,100%,0.00%,100%,100%,0.00%,100%,94.80%,0.00%,100%,1.00%,0.00%,0.00%,
Magee Middle School,Public,8300 E Speedway Blvd. ,Tucson,Pima,85710,Y,RN,200,97.50%,0.50%,98.00%,94.50%,1.00%,95.50%,94.00%,1.50%,95.50%,99.00%,0.50%,99.50%,99.00%,0.50%,99.50%,98.00%,0.50%,98.50%,90.00%,0.50%,101%,2.00%,1.00%,2.50%,
Magma Ranch K-8 School,Public,10980 E Desert Mountain Blvd.,Florence,Pinal,85232,N,,108,90.70%,4.60%,95.40%,34.30%,0.00%,39.80%,32.40%,4.60%,38.00%,88.90%,4.60%,93.50%,90.70%,4.60%,95.40%,90.70%,4.60%,95.40%,77.80%,4.60%,97.20%,4.60%,0.00%,0.00%,
Magnet Traditional,Public,2602 North 23rd Advenue,Phoenix,Maricopa,85009,Y,RN,62,80.60%,0.00%,80.60%,80.60%,0.00%,80.60%,80.60%,0.00%,80.60%,100%,0.00%,100%,96.80%,0.00%,96.80%,100%,0.00%,100%,91.90%,0.00%,100%,0.00%,0.00%,0.00%,
Maie Bartlett Heard Elementary School,Public,2301 West Thomas Rd.,Phoenix,Maricopa,85015,N,,80,95.00%,0.00%,95.00%,81.30%,0.00%,88.80%,78.80%,0.00%,78.80%,98.80%,0.00%,98.80%,100%,0.00%,100%,98.80%,0.00%,98.80%,91.30%,0.00%,91.30%,0.00%,0.00%,0.00%,
Maine Consolidated School,Public,P.O. Box 50010,Parks,Coconino,86018,N,,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Mansfeld Magnet Middle School,Public,1300 E.6th St. ,Tucson,Pima,85719,Y,RN,300,96.30%,3.70%,100%,96.30%,3.30%,99.70%,96.30%,3.00%,99.30%,99.30%,0.30%,99.70%,99.00%,1.00%,100%,98.00%,0.30%,98.30%,88.00%,0.70%,100%,3.30%,0.00%,0.00%,
Many Farms Public School,Public,P.O. Box 587,Chinle,Apache,86503,Y,LPN,52,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,0.00%,0.00%,0.00%,
Manzanita Elementary School,Public,8430 N 39th Ave.,Phoenix,Maricopa,85051,N,,97,99.00%,1.00%,100%,96.90%,3.10%,100%,96.90%,3.10%,100%,97.90%,2.10%,100%,99.00%,1.00%,100%,99.00%,1.00%,100%,94.80%,1.00%,100%,4.10%,0.00%,0.00%,
Marc T Atkinson Middle School,Public,4315 N Maryvale Pkwy,Phoenix,Maricopa,85031,N,,467,99.60%,0.40%,100%,96.40%,0.90%,99.60%,96.60%,0.40%,98.10%,98.70%,0.20%,98.90%,99.60%,0.40%,100%,99.80%,0.20%,100%,92.30%,0.00%,100%,0.90%,0.20%,0.20%,
Maricopa Elementary School,Public,18150 N Alterra Way,Maricopa,Pinal,85239,Y,LPN,124,96.80%,3.20%,100%,95.20%,3.20%,100%,95.20%,3.20%,100%,96.80%,3.20%,100%,96.80%,3.20%,100%,96.80%,3.20%,100%,79.00%,3.20%,100%,4.00%,0.00%,2.40%,
Maricopa Village Christian School,Private,8129 W. Baseline Rd.,Laveen,Maricopa,85339,N,,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Maricopa Wells Middle School,Public,45012 W Honeycutt Ave.,Maricopa,Pinal,85239,Y,RN,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Marilyn Thiele Wilson School,Public,5619 E Glade Ave.,Mesa,Maricopa,85206,Y,RN,87,98.90%,0.00%,98.90%,94.30%,0.00%,96.60%,95.40%,0.00%,95.40%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,80.50%,0.00%,100%,0.00%,0.00%,0.00%,
Marley Park Elementary School,Public,15042 West Sweetwater Rd.,Surprise,Maricopa,85379,N,,103,96.10%,3.90%,100%,95.10%,3.90%,99.00%,95.10%,3.90%,99.00%,96.10%,3.90%,100%,96.10%,3.90%,100%,97.10%,2.90%,100%,96.10%,3.90%,100%,3.90%,0.00%,0.00%,
Marshall Ranch Elementary School,Public,12995 N. Marshall Ranch Dr.,Glendale,Maricopa,85304,Y,LPN,102,96.10%,0.00%,96.10%,94.10%,0.00%,100%,94.10%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,97.10%,0.00%,97.10%,89.20%,0.00%,100%,0.00%,0.00%,0.00%,
Mary Belle Mccorkle Academy Of Excellence Pre-kg-8,Public,4455 S Mission Rd. ,Tucson,Pima,85746,Y,RN,133,100%,0.00%,100%,99.20%,0.00%,100%,99.20%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,96.20%,0.00%,100%,0.00%,0.00%,0.00%,
Mary C O'Brien Elementary School,Public,1400 N. Eleven Mile Corner Rd.,Casa Grande,Pinal,85194,Y,RN,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Mary Mcleod Bethune School-k And 6,Public,1310 S 15th Ave.,Phoenix,Maricopa,85007,Y,RN,48,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,0.00%,0.00%,0.00%,
Mary Meredith K-12 School,Public,755 N Magnolia Ave.,Tucson,Pima,85711,Y,RN,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Maryland Elementary School,Public,6503 N 21st Ave.,Phoenix,Maricopa,85015,N,,89,96.60%,0.00%,96.60%,100%,0.00%,100%,100%,0.00%,100%,96.60%,0.00%,96.60%,98.90%,0.00%,98.90%,94.40%,2.20%,96.60%,93.30%,0.00%,100%,0.00%,2.20%,0.00%,
Maryvale Preparatory Academy,Public,6301 W Indian School Rd. ,Phoenix,Maricopa,85018,N,,49,100%,0.00%,100%,100%,0.00%,100%,98.00%,2.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,2.00%,0.00%,0.00%,
Masada Charter School,Charter,P.O. Box 2277,Centennial Park,Mohave,86021,N,,44,54.50%,13.60%,68.20%,0.00%,13.60%,54.50%,0.00%,0.00%,0.00%,61.40%,13.60%,75.00%,65.90%,13.60%,79.50%,84.10%,13.60%,97.70%,52.30%,13.60%,93.20%,13.60%,0.00%,13.60%,
Math And Science Success Academy,Charter,434 W LeRd. o Rd. ,Tucson,Pima,85756,N,,39,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,0.00%,0.00%,0.00%,
Maurice C Cash School,Public,3851 W Roeser Rd. ,Phoenix,Maricopa,85041,N,,119,99.20%,0.80%,100%,98.30%,0.80%,99.20%,99.20%,0.80%,100%,99.20%,0.80%,100%,99.20%,0.80%,100%,99.20%,0.80%,100%,98.30%,1.70%,100%,1.70%,0.00%,0.80%,
Maxine O Bush School,Public,602 E. Siesta Dr.,Phoenix,Maricopa,85042,Y,RN,52,100%,0.00%,100%,96.20%,0.00%,100%,96.20%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,88.50%,0.00%,100%,0.00%,0.00%,0.00%,
Mayer Elementary School,Public,P.O. Box 1059,Mayer,Yavapai,86333,N,,40,97.50%,2.50%,100%,90.00%,7.50%,100%,90.00%,7.50%,100%,97.50%,0.00%,97.50%,95.00%,5.00%,100%,97.50%,2.50%,100%,72.50%,2.50%,100%,7.50%,0.00%,2.50%,
Mcnary Elementary School,Public,Box 598,Mcnary,Apache,85930,N,,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Mcneal Elementary,Public,P.O. Box 8,Mcneal,Cochise,85617,N,,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Melvin E. Sine Elementary School,Public,4932 West Myrtle Ave.,Glendale,Maricopa,85301,Y,LPN,64,100%,0.00%,100%,96.90%,0.00%,100%,96.90%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,93.80%,0.00%,100%,0.00%,0.00%,0.00%,
Mendoza Elementary School,Public,5831 E Mclellan Rd. ,Mesa,Maricopa,85205,Y,RN,92,100%,0.00%,100%,95.70%,0.00%,97.80%,95.70%,0.00%,96.70%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,78.30%,0.00%,100%,6.50%,0.00%,0.00%,
Mercury Mine Elementary,Public,9640 N. 28th  St. ,Phoenix,Maricopa,85028,Y,RN,78,97.40%,2.60%,100%,92.30%,6.40%,100%,91.00%,6.40%,97.40%,97.40%,2.60%,100%,96.20%,3.80%,100%,97.40%,2.60%,100%,84.60%,2.60%,100%,6.40%,0.00%,0.00%,
Meridian Elementary,Public,3900 South Mountain Rd.,Mesa,Maricopa,85212,Y,RN,150,100%,0.00%,100%,92.70%,4.00%,100%,93.30%,4.00%,100%,100%,0.00%,100%,99.30%,0.70%,100%,98.70%,1.30%,100%,80.70%,0.00%,100%,5.30%,0.00%,0.00%,
Mesa Academy,Public,6919 E. Brown Rd.,Mesa,Maricopa,85207,Y,RN,91,96.70%,0.00%,96.70%,96.70%,3.30%,100%,96.70%,3.30%,100%,96.70%,3.30%,100%,96.70%,3.30%,100%,95.60%,4.40%,100%,70.30%,2.20%,97.80%,5.50%,0.00%,2.20%,
Mesa Arts Academy,Charter,221 W Sixth Ave.,Mesa,Maricopa,85210,N,,27,100%,0.00%,100%,100%,0.00%,100%,96.30%,3.70%,100%,96.30%,3.70%,100%,96.30%,3.70%,100%,100%,0.00%,100%,81.50%,0.00%,100%,3.70%,0.00%,0.00%,
Mesa Christian Academy,Private,7918 E 1st Ave.,Mesa,Maricopa,85208,N,,<20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Mesa Unified School District #4,Public,849 South Sunnyvale,Mesa,Maricopa,85206,Y,RN,69,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,81.20%,0.00%,100%,0.00%,0.00%,0.00%,
Mesa View Elementary School,Public,P.O. Box 587,Chinle,Apache,86503,N,,67,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,0.00%,0.00%,0.00%,
Mesquite Elementary (Gilbert),Public,1000 East Mesquite St. ,Gilbert,Maricopa,85296,Y,RN,130,97.70%,2.30%,100%,96.90%,0.00%,100%,96.90%,3.10%,100%,97.70%,2.30%,100%,97.70%,2.30%,100%,97.70%,2.30%,100%,85.40%,2.30%,100%,3.80%,2.30%,0.80%,
Mesquite Elementary (Yuma),Public,4451 W 28th St. ,Yuma,Yuma,85364,N,,126,100%,0.00%,100%,97.60%,0.80%,100%,97.60%,0.80%,100%,100%,0.00%,100%,100%,0.00%,100%,100%,0.00%,100%,84.90%,0.00%,100%,0.80%,0.00%,0.00%,
