SCHOOL NAME,ADDRESS,CITY,COUNTY,ZIP,SCHOOL NURSE,SCHOOL NURSE TYPE,SCHOOL TYPE,ENROLLED,% IMMUNE TDAP,% EXEMPT TDAP,% COMPLIANCE TDAP,% IMMUNE MCV4,% EXEMPT MCV4,% COMPLIANCE MCV4,% IMMUNE POLIO,% EXEMPT POLIO,% COMPLIANCE POLIO,% IMMUNE MMR,% EXEMPT MMR,% COMPLIANCE MMR,% IMMUNE HEP B,% EXEMPT HEP B,% COMPLIANCE HEP B,% IMMUNE VAR,% EXEMPT VAR,% COMPLIANCE VAR,% PBE,% MEDICAL EXEMPT,% PBE ALL
AMERICAN LEADERSHIP ACADEMY - SAN TAN,34969 N VILLAGE LN,QUEEN CREEK,MARICOPA,85142,NO,,CHARTER,89,69.7%,22.5%,100.0%,68.5%,23.6%,100.0%,93.3%,6.7%,100.0%,92.1%,7.9%,100.0%,93.3%,6.7%,100.0%,93.3%,6.7%,100.0%,27.0%,1.1%,6.7%
AMERICAN LEADERSHIP ACADEMY - MESA,4507 S MOUNTAIN RD,MESA,MARICOPA,85212,NO,,CHARTER,55,70.9%,21.8%,100.0%,72.7%,21.8%,100.0%,89.1%,10.9%,100.0%,89.1%,10.9%,100.0%,92.7%,7.3%,100.0%,94.5%,5.5%,100.0%,23.6%,0.0%,5.5%
AMERICAN LEADERSHIP ACADMEY - QUEEN CREEK ELEMENTARY,19843 E CHANDLER HEIGHTS RD,CHANDLER,MARICOPA,85142,NO,,CHARTER,162,71.0%,21.6%,100.0%,69.1%,25.9%,100.0%,89.5%,10.5%,100.0%,92.0%,8.0%,100.0%,92.0%,8.0%,100.0%,93.2%,6.8%,100.0%,30.2%,0.6%,6.2%
AMERICAN LEADERSHIP ACADEMY ANTHEM SOUTH CAMPUS,4380 N HUNT HWY,FLORENCE,PINAL,85132,NO,,CHARTER,55,65.5%,30.9%,100.0%,65.5%,32.7%,100.0%,96.4%,3.6%,100.0%,98.2%,1.8%,100.0%,98.2%,1.8%,100.0%,100.0%,0.0%,100.0%,32.7%,1.8%,0.0%
AMERICAN LEADERSHIP ACADEMY - IRONWOOD K-6,650 W COMBS RD,QUEEN CREEK,PINAL,85140,NO,,CHARTER,144,68.8%,22.9%,100.0%,68.1%,24.3%,100.0%,92.4%,7.6%,100.0%,93.1%,6.9%,100.0%,94.4%,5.6%,100.0%,95.8%,4.2%,100.0%,26.4%,0.7%,0.7%
AMERICAN LEADERSHIP ACADEMY- GILBERT SOUTH K-6 CAMPUS,1750 E RIGGS ROAD,GILBERT,MARICOPA,85298,NO,,CHARTER,46,56.5%,39.1%,100.0%,54.3%,43.5%,100.0%,82.6%,17.4%,100.0%,76.1%,23.9%,100.0%,91.3%,8.7%,100.0%,89.1%,10.9%,100.0%,45.7%,0.0%,8.7%
AMERICAN LEADERSHIP ACADEMY- GILBERT NORTH K-6 CAMPUS,1010 S HIGLEY ROAD,GILBERT,MARICOPA,85296,NO,,CHARTER,152,65.1%,28.9%,100.0%,63.2%,32.9%,100.0%,86.8%,13.2%,100.0%,86.8%,13.2%,100.0%,88.8%,11.2%,100.0%,89.5%,10.5%,100.0%,37.5%,2.6%,9.9%
AMERICAN LEADERSHIP ACADEMY- SIGNAL BUTTE K-6 CAMPUS,22512 S SIGNAL BUTTE RD,QUEEN CREEK,MARICOPA,85142,NO,,CHARTER,45,66.7%,20.0%,100.0%,71.1%,22.2%,100.0%,91.1%,8.9%,100.0%,91.1%,8.9%,100.0%,93.3%,6.7%,100.0%,93.3%,6.7%,100.0%,24.4%,2.2%,6.7%
BASIS - SCOTTSDALE,10400 N. 128TH ST,SCOTTSDALE,MARICOPA,85259,NO,,CHARTER,203,93.6%,6.4%,100.0%,90.6%,9.4%,100.0%,97.0%,2.0%,99.0%,99.5%,0.5%,100.0%,99.0%,1.0%,100.0%,99.5%,0.5%,100.0%,9.4%,0.0%,0.5%
PATHFINDER ACADEMY - N BOULDER CANYON,2906 N BOULDER CANYON,MESA,MARICOPA,85207,NO,,CHARTER,72,47.2%,50.0%,100.0%,47.2%,50.0%,100.0%,62.5%,37.5%,100.0%,62.5%,37.5%,100.0%,63.9%,36.1%,100.0%,66.7%,33.3%,100.0%,50.0%,0.0%,31.9%
SEQUOIA LEHI CHARTER SCHOOL,2331 N HORNE,MESA,MARICOPA,85203,NO,,CHARTER,14,92.9%,0.0%,100.0%,100.0%,0.0%,100.0%,92.9%,7.1%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,7.1%,0.0%,0.0%
PATHFINDER ACADEMY AT EASTMARK,4816 S EASTMARK PKWY,MESA,MARICOPA,85212,NO,,CHARTER,35,77.1%,20.0%,100.0%,68.6%,31.4%,100.0%,82.9%,17.1%,100.0%,82.9%,17.1%,100.0%,91.4%,8.6%,100.0%,91.4%,8.6%,100.0%,31.4%,2.9%,8.6%
REID TRADITIONAL SCHOOLS - VALLEY ACADEMY,1520 W ROSE GARDEN LN,PHOENIX,MARICOPA,85027,YES,RN,CHARTER,53,86.8%,5.7%,100.0%,86.8%,5.7%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,100.0%,0.0%,100.0%,5.7%,0.0%,0.0%
SAHUARITA MIDDLE SCHOOL,350 W SAHUARITA RD,SAHUARITA,PIMA,85629,YES,RN,PUBLIC,175,85.1%,0.0%,100.0%,83.4%,2.3%,100.0%,98.3%,1.7%,100.0%,98.3%,1.7%,100.0%,97.7%,2.3%,100.0%,98.3%,1.7%,100.0%,3.4%,0.0%,0.0%
BENJAMIN FRANKLIN CHARTER SCHOOL - CRIMSON,22120 E. QUEEN CREEK RD,QUEEN CREEK,MARICOPA,85142,NO,,CHARTER,100,69.0%,28.0%,99.0%,69.0%,29.0%,99.0%,84.0%,14.0%,98.0%,89.0%,11.0%,100.0%,89.0%,11.0%,100.0%,93.0%,7.0%,100.0%,32.0%,0.0%,6.0%
BENJAMIN FRANKLIN CHARTER SCHOOL - GILBERT,320 E WARNER RD,GILBERT,MARICOPA,85296,NO,,CHARTER,63,71.4%,27.0%,100.0%,69.8%,28.6%,100.0%,92.1%,7.9%,100.0%,93.7%,6.3%,100.0%,92.1%,7.9%,100.0%,92.1%,7.9%,100.0%,28.6%,0.0%,6.3%
BENJAMIN FRANKLIN CHARTER SCHOOL - POWER RD,22951 S POWER RD,GILBERT,MARICOPA,85298,NO,,CHARTER,75,68.0%,30.7%,100.0%,68.0%,32.0%,100.0%,84.0%,16.0%,100.0%,85.3%,14.7%,100.0%,88.0%,12.0%,100.0%,89.3%,10.7%,100.0%,34.7%,0.0%,9.3%
MONTESSORI DAY PUBLIC SCHOOLS  - MOUNTAINSIDE,9215 N 14TH ST,PHOENIX,MARICOPA,85020,NO,,CHARTER,16,81.3%,12.5%,93.8%,81.3%,12.5%,93.8%,87.5%,12.5%,100.0%,87.5%,12.5%,100.0%,87.5%,12.5%,100.0%,87.5%,12.5%,100.0%,12.5%,0.0%,12.5%
NEW WORLD EDUCATIONAL CENTER,5818 N 7TH ST,PHOENIX,MARICOPA,85014,NO,,CHARTER,25,96.0%,4.0%,100.0%,96.0%,4.0%,100.0%,96.0%,4.0%,100.0%,96.0%,4.0%,100.0%,96.0%,4.0%,100.0%,96.0%,4.0%,100.0%,4.0%,0.0%,4.0%
TEMPE PREPARATORY ACADEMY,1251 E SOUTHERN AVE,TEMPE,MARICOPA,85282,NO,,CHARTER,68,86.8%,8.8%,100.0%,83.8%,8.8%,100.0%,91.2%,8.8%,100.0%,92.6%,7.4%,100.0%,94.1%,5.9%,100.0%,94.1%,5.9%,100.0%,8.8%,0.0%,5.9%
BRIGHT BEGINNINGS SCHOOL #1 - N ANDERSEN BLVD,400 N ANDERSEN BLVD,CHANDLER,MARICOPA,85224,NO,,CHARTER,30,80.0%,13.3%,100.0%,80.0%,20.0%,100.0%,86.7%,13.3%,100.0%,86.7%,13.3%,100.0%,86.7%,13.3%,100.0%,86.7%,13.3%,100.0%,20.0%,0.0%,13.3%
MONTESSORI EDUCATION CENTRE CHARTER SCHOOL-85204,2834 E SOUTHERN AVE,MESA,MARICOPA,85204,NO,,CHARTER,17,47.1%,52.9%,100.0%,47.1%,52.9%,100.0%,76.5%,23.5%,100.0%,76.5%,23.5%,100.0%,70.6%,29.4%,100.0%,64.7%,35.3%,100.0%,70.6%,0.0%,23.5%
MONTESSORI EDUCATION CENTRE CHARTER SCHOOL-85203,815 N GILBERT RD,MESA,MARICOPA,85203,NO,,CHARTER,13,84.6%,15.4%,100.0%,76.9%,23.1%,100.0%,76.9%,23.1%,100.0%,84.6%,15.4%,100.0%,76.9%,23.1%,100.0%,84.6%,15.4%,100.0%,23.1%,0.0%,7.7%
