SCHOOL NAME,ADDRESS,CITY,COUNTY,ZIP,SCHOOL NURSE,SCHOOL NURSE TYPE,SCHOOLTYPE,ENROLLEDCOUNT,PCT_IMMUNE_DTAP,PCT_EXEMPT_DTAP,PCT_COMPLIANCE_DTAP,PCT_IMMUNE_TDAP,PCT_EXEMPT_TDAP,PCT_COMPLIANCE_TDAP,PCT_IMMUNE_MCMVC,PCT_EXEMPT_MCMVC,PCT_COMPLIANCE_MCMVC,PCT_IMMUNE_POLIO,PCT_EXEMPT_POLIO,PCT_COMPLIANCE_POLIO,PCT_IMMUNE_MMR,PCT_EXEMPT_MMR,PCT_COMPLIANCE_MMR,PCT_IMMUNE_HEPB,PCT_EXEMPT_HEPB,PCT_COMPLIANCE_HEPB,PCT_IMMUNE_VAR,PCT_EXEMPT_VAR,PCT_COMPLIANCE_VAR,PCT_PBE,PCT_MEDICAL_EXEMPT,PCT_PBE_EXEMPT_ALL
LAKE VALLEY ELEMENTARY SCHOOL,3900 N STARLIGHT DR,PRESCOTT VALLEY,YAVAPAI,86314,YES,RN,PUBLIC,75,99%,1%,100%,91%,7%,100%,91%,7%,100%,99%,1%,100%,96%,4%,100%,97%,3%,100%,99%,1%,100%,7%,0%,1%
LAKEVIEW ELEMENTARY SCHOOL,3040 W YUCCA ST,PHOENIX,MARICOPA,85029,NO,,PUBLIC,83,99%,0%,100%,99%,1%,100%,99%,1%,100%,99%,0%,100%,99%,0%,100%,99%,0%,100%,99%,1%,100%,4%,0%,0%
LARKSPUR ELEMENTARY SCHOOL,2430 E LARKSPUR DR,PHOENIX,MARICOPA,85032,YES,RN,PUBLIC,88,98%,2%,100%,94%,2%,99%,94%,2%,99%,99%,1%,100%,99%,1%,100%,99%,1%,100%,99%,1%,100%,1%,0%,1%
LARRY C KENNEDY SCHOOL,2702 E OSBORN RD,PHOENIX,MARICOPA,85016,YES,RN,PUBLIC,60,98%,0%,100%,98%,0%,100%,98%,0%,100%,98%,0%,100%,98%,0%,100%,98%,0%,100%,100%,0%,100%,0%,0%,0%
LAS BRISAS ACADEMY,18211 W LAS BRISAS DR,GOODYEAR,MARICOPA,85338,NO,,PUBLIC,47,98%,2%,100%,94%,6%,100%,87%,13%,100%,96%,4%,100%,98%,2%,100%,98%,2%,100%,98%,2%,100%,13%,13%,13%
LAS BRISAS ELEMENTARY SCHOOL,5805 W ALAMEDA,GLENDALE,MARICOPA,85310,NO,,PUBLIC,134,94%,6%,100%,100%,0%,100%,94%,6%,100%,95%,5%,100%,96%,4%,100%,95%,5%,100%,96%,4%,100%,8%,0%,4%
LAS SENDAS ELEMENTARY SCHOOL,3120 N RED MOUNTAIN RD,MESA,MARICOPA,85207,YES,RN,PUBLIC,155,98%,2%,100%,91%,8%,100%,90%,9%,100%,97%,3%,100%,97%,3%,100%,97%,3%,100%,99%,1%,100%,10%,1%,1%
LAVEEN ELEMENTARY SCHOOL,4141 W MCNEIL STREET,LAVEEN,MARICOPA,85339,NO,,PUBLIC,89,98%,2%,100%,92%,3%,100%,92%,3%,100%,98%,2%,100%,98%,2%,100%,98%,2%,100%,98%,2%,100%,3%,0%,2%
LAWRENCE W CROSS MIDDLE SCHOOL,1000 W CHAPALA DR,TUCSON,PIMA,85704,YES,RN,PUBLIC,197,97%,3%,100%,95%,4%,99%,92%,5%,99%,96%,3%,100%,96%,4%,100%,98%,2%,100%,97%,3%,100%,3%,6%,2%
LE PERA ELEMENTARY SCHOOL,TAHBO RD AND MOHAVE RD,PARKER,LA PAZ,85371,NO,,PUBLIC,30,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
LEADING EDGE ACADEMY - EAST MESA CAMPUS,10115 E UNIVERSITY DR,MESA,MARICOPA,,NO,,CHARTER,< 20 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LEADING EDGE ACADEMY - GILBERT ELEMENTARY CAMPUS,717 W RAY RD,GILBERT,MARICOPA,85233,NO,,CHARTER,42,86%,14%,100%,17%,14%,31%,7%,14%,33%,83%,17%,100%,83%,17%,100%,86%,14%,100%,86%,14%,100%,19%,0%,14%
LEADING EDGE ACADEMY - MARICOPA CAMPUS,19302 N PORTER RD,MARICOPA,PINAL,85238,NO,,CHARTER,77,97%,3%,100%,74%,4%,78%,74%,5%,79%,95%,5%,100%,96%,4%,100%,97%,3%,100%,97%,3%,100%,8%,0%,4%
LEADING EDGE ACADEMY - MOUNTAIN VIEW CAMPUS,4815 W HUNT HWY,QUEEN CREEK,PINAL,85142,NO,,CHARTER,30,87%,13%,100%,70%,17%,90%,70%,13%,87%,87%,10%,97%,87%,13%,100%,83%,13%,97%,87%,13%,100%,17%,0%,13%
LEARNING FOUNDATION AND PERFORMING ARTS ALTA MESA,5761 E BROWN RD,MESA,MARICOPA,85205,NO,,CHARTER,25,92%,8%,100%,80%,12%,96%,80%,12%,96%,88%,8%,96%,88%,8%,96%,92%,8%,100%,92%,8%,100%,12%,0%,8%
LEARNING FOUNDATION AND PERFORMING ARTS STAPLEY,851 N STAPLEY DR,MESA,MARICOPA,85203,NO,,CHARTER,28,96%,4%,100%,93%,4%,100%,79%,18%,100%,96%,4%,100%,96%,4%,100%,96%,4%,100%,100%,0%,100%,18%,0%,4%
LEARNING FOUNDATION AND PERFORMING ARTS WARNER,3939 E WARNER RD,GILBERT,MARICOPA,85296,NO,,CHARTER,75,88%,12%,100%,84%,9%,96%,75%,19%,96%,88%,12%,100%,89%,11%,100%,88%,11%,99%,89%,9%,99%,20%,0%,9%
LEE KORNEGAY INTERMEIDATE SCHOOL,PO BOX 2070,MIAMI,GILA,85539,NO,,PUBLIC,72,96%,1%,100%,99%,1%,100%,93%,1%,94%,93%,1%,100%,83%,1%,100%,93%,1%,100%,93%,1%,94%,1%,0%,1%
LEGACY TRADITIONAL CHARTER SCHOOL - GILBERT,2747 S RECKER RD,GILBERT,MARICOPA,85295,YES,LPN,CHARTER,114,97%,3%,100%,88%,12%,100%,80%,20%,100%,97%,3%,100%,96%,4%,100%,95%,5%,100%,98%,2%,100%,20%,0%,0%
LEGACY TRADITIONAL CHARTER SCHOOL - LAVEEN VILLAGE,7900 S 43RD AVE,LAVEEN,MARICOPA,85339,YES,LPN,CHARTER,128,82%,2%,84%,52%,1%,55%,49%,1%,52%,80%,2%,83%,82%,2%,84%,82%,2%,84%,82%,2%,84%,3%,0%,0%
LEGACY TRADITIONAL SCHOOL - AVONDALE,12320 W VAN BUREN ST,AVONDALE,MARICOPA,85323,NO,,CHARTER,151,97%,3%,100%,84%,3%,89%,84%,3%,89%,97%,3%,100%,97%,3%,100%,97%,3%,100%,97%,3%,99%,3%,0%,2%
LEGACY TRADITIONAL SCHOOL - CASA GRANDE,1274 E O'NEIL DR,CASA GRANDE,PINAL,85138,NO,,CHARTER,146,97%,3%,100%,87%,11%,100%,87%,11%,100%,97%,3%,100%,97%,3%,100%,97%,3%,100%,97%,3%,100%,11%,0%,3%
LEGACY TRADITIONAL SCHOOL - GLENDALE,13091 N 67TH AVE,GLENDALE,MARICOPA,85306,YES,RN,PUBLIC,117,94%,6%,100%,100%,0%,100%,78%,10%,88%,93%,6%,99%,92%,6%,98%,92%,6%,98%,93%,6%,99%,12%,1%,6%
LEGACY TRADITIONAL SCHOOL - MARICOPA,17760 REGENT DR,MARICOPA,PINAL,85138,NO,,CHARTER,128,98%,2%,100%,95%,2%,100%,95%,2%,100%,98%,2%,100%,98%,2%,100%,98%,2%,100%,98%,2%,100%,8%,0%,2%
LEGACY TRADITIONAL SCHOOL - NORTH CHANDLER,1900 N MCQUEEN RD,CHANDLER,MARICOPA,85225,NO,,CHARTER,65,94%,6%,100%,86%,11%,100%,86%,11%,100%,94%,6%,100%,94%,6%,100%,94%,6%,100%,94%,6%,100%,11%,11%,6%
LEGACY TRADITIONAL SCHOOL - NORTHWEST TUCSON,3500 W CORTARO FARMS RD,TUCSON,PIMA,85742,NO,,CHARTER,123,98%,2%,100%,94%,6%,100%,81%,19%,100%,93%,7%,100%,97%,3%,100%,98%,2%,100%,97%,3%,100%,17%,3%,6%
LEGACY TRADITIONAL SCHOOL - PEORIA,7877 W. HILLCREST BLVD,PEORIA,MARICOPA,85383,YES,LPN,CHARTER,< 20 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LEGACY TRADITIONAL SCHOOL SURPRISE,14506 W SWEETWATER AVE,SURPRISE,MARICOPA,85379,NO,,CHARTER,219,97%,3%,100%,90%,8%,100%,89%,9%,100%,97%,3%,100%,96%,4%,100%,96%,4%,100%,97%,3%,100%,12%,0%,3%
LEGACY TRADITIONAL SCHOOL-QUEEN CREEK,41800 N. BARNES PKWY,QUEEN CREEK,PINAL,85140,NO,,CHARTER,111,91%,8%,99%,86%,12%,99%,85%,11%,97%,90%,10%,100%,88%,12%,100%,91%,9%,100%,92%,8%,100%,4%,0%,7%
LEGEND SPRINGS ELEMENTARY,21150 N ARROWHEAD LOOP,GLENDALE,MARICOPA,85308,NO,,PUBLIC,88,98%,2%,100%,95%,3%,100%,95%,3%,100%,99%,1%,100%,97%,3%,100%,98%,2%,100%,99%,1%,100%,7%,0%,1%
LEHI ELEMENTARY SCHOOL,2555 N STAPLEY DR,MESA,MARICOPA,85203,YES,RN,PUBLIC,60,98%,2%,100%,98%,2%,100%,98%,2%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,2%,0%,2%
LEMAN ACADEMY OF EXCELLENCE - MARANA,"7720 N SILVERBELL RD, BLDG 1 & 2",TUCSON,PIMA,85743,YES,RN,CHARTER,107,95%,5%,100%,93%,3%,95%,87%,8%,95%,96%,4%,100%,96%,4%,100%,96%,3%,100%,100%,0%,100%,8%,3%,3%
LEMAN ACADEMY OF EXCELLENCE - ORO VALLEY,12255 N LA CAÑADA DRIVE,ORO VALLEY,PIMA,85755,YES,LPN,CHARTER,74,97%,3%,100%,95%,4%,99%,95%,4%,99%,97%,3%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,4%,0%,0%
LEMAN ACADEMY OF EXCELLENCE - SIERRA VISTA,1000 E. WILCOX DR,SIERRA VISTA,COCHISE,85635,NO,,CHARTER,28,96%,4%,100%,96%,4%,100%,96%,4%,100%,96%,4%,100%,96%,4%,100%,96%,4%,100%,96%,4%,100%,4%,0%,4%
LEONOR HAMBLY K-8,824 THORNE AVE,WINKLEMAN,GILA,85292,NO,,PUBLIC,< 20 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LIBERTY ARTS ACADEMY,3015 S POWER RD,MESA,MARICOPA,85212,NO,,CHARTER,21,95%,5%,100%,81%,10%,100%,81%,14%,100%,95%,5%,100%,95%,5%,100%,95%,5%,100%,95%,5%,100%,14%,5%,5%
LIBERTY ELEMENTARY SCHOOL,19818 W HWY 85,BUCKEYE,MARICOPA,85326,YES,LPN,PUBLIC,60,98%,2%,100%,97%,2%,100%,97%,2%,100%,97%,3%,100%,98%,2%,100%,97%,3%,100%,98%,2%,100%,5%,2%,2%
LIBERTY ELEMENTARY SCHOOL,5125 E MARILYN RD,SCOTTSDALE,MARICOPA,85254,YES,RN,PUBLIC,75,97%,3%,100%,95%,3%,99%,93%,3%,97%,99%,1%,100%,99%,1%,100%,99%,1%,100%,99%,1%,100%,3%,0%,3%
LIBERTY ELEMENTARY SCHOOL,5495 S LIBERTY AVE,TUCSON,PIMA,85706,YES,RN,PUBLIC,96,100%,0%,100%,98%,0%,100%,98%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
LIBERTY TRADITIONAL CHARTER SCHOOL,4901 W INDIAN SCHOOL RD,PHOENIX,MARICOPA,85031,NO,,CHARTER,52,100%,0%,100%,88%,0%,88%,88%,0%,88%,100%,0%,100%,100%,0%,100%,100%,0%,100%,98%,0%,98%,0%,0%,0%
LIBERTY TRADITIONAL SCHOOL,3300 N LAKE VALLEY RD,PRESCOTT VALLEY,YAVAPAI,86314,YES,RN,PUBLIC,77,95%,5%,100%,92%,6%,100%,92%,6%,100%,94%,6%,100%,94%,6%,100%,95%,5%,100%,94%,6%,100%,13%,0%,5%
LINCOLN ELEMENTARY SCHOOL,930 S SIRRINE,MESA,MARICOPA,85210,YES,RN,PUBLIC,129,98%,0%,98%,98%,2%,100%,98%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,2%,1%,0%
LINDBERGH ELEMENTARY SCHOOL,930 S LAZONA DR,MESA,MARICOPA,85204,YES,RN,PUBLIC,49,100%,0%,100%,98%,0%,98%,98%,0%,98%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,2%,0%,0%
LITTLE RED SCHOOLHOUSE,HWY 82 & DUQUESNE RD,NOGALES,SANTA CRUZ,85621,NO,,PUBLIC,27,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
LOGOS CHRISTIAN ACADEMY,9745 N TREKELL RD,CASA GRANDE,PINAL,85122,NO,,PRIVATE,< 20 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LOMA LINDA ELEMENTARY SCHOOL,2002 E CLARENDON AVE,PHOENIX,MARICOPA,85016,YES,Both,PUBLIC,67,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
LONE MOUNTAIN ELEMENTARY SCHOOL,5250 E MONTGOMERY RD,CAVE CREEK,MARICOPA,85331,NO,,PUBLIC,96,93%,6%,99%,80%,8%,91%,81%,9%,91%,93%,6%,99%,93%,6%,99%,97%,3%,100%,94%,5%,99%,14%,5%,3%
LONGFELLOW ELEMENTARY SCHOOL,345 S HALL ST,MESA,MARICOPA,85204,YES,RN,PUBLIC,78,100%,0%,100%,99%,1%,100%,99%,1%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,1%,0%,0%
LONGVIEW ELEMENTARY SCHOOL,1209 E INDIAN SCHOOL RD,PHOENIX,MARICOPA,85014,YES,LPN,PUBLIC,92,97%,2%,99%,97%,2%,99%,96%,2%,99%,97%,2%,99%,98%,2%,100%,97%,2%,99%,98%,2%,100%,2%,0%,2%
LOOKOUT MOUNTAIN SCHOOL,15 W CORAL GABLES DR,PHOENIX,MARICOPA,85023,NO,,PUBLIC,147,98%,2%,100%,96%,4%,100%,95%,4%,100%,99%,1%,100%,98%,2%,100%,99%,1%,100%,99%,1%,100%,7%,0%,0%
LORETTO CATHOLIC SCHOOL,1200 14TH ST,DOUGLAS,COCHISE,85607,NO,,PRIVATE,36,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
LOS AMIGOS ELEMENTARY SCHOOL,2200 E DREXEL RD,TUCSON,PIMA,85706,YES,RN,PUBLIC,97,100%,0%,100%,98%,0%,98%,98%,0%,98%,100%,0%,100%,100%,0%,100%,99%,0%,99%,100%,0%,100%,0%,0%,0%
LOS NINOS ELEMENTARY SCHOOL,5445 S ALVERNON WAY,TUCSON,PIMA,85706,YES,RN,PUBLIC,63,98%,2%,100%,98%,2%,100%,98%,2%,100%,100%,0%,100%,98%,2%,100%,98%,2%,100%,98%,2%,100%,2%,2%,2%
LOWELL ELEMENTARY SCHOOL,920 E BROADWAY RD,MESA,MARICOPA,85204,YES,RN,PUBLIC,87,97%,0%,100%,99%,1%,100%,99%,1%,100%,100%,0%,100%,99%,1%,100%,100%,0%,100%,100%,0%,100%,1%,0%,0%
LOWELL SCHOOL,1121 S 3RD AVE,PHOENIX,MARICOPA,85003,YES,RN,PUBLIC,56,98%,0%,98%,95%,0%,95%,96%,0%,96%,98%,0%,98%,98%,0%,98%,100%,0%,100%,98%,0%,98%,0%,0%,0%
LUKE ELEMENTARY SCHOOL,7300 N DYSART RD,GLENDALE,MARICOPA,85307,YES,LPN,PUBLIC,83,99%,1%,100%,90%,6%,96%,90%,6%,96%,99%,1%,100%,99%,1%,100%,98%,1%,99%,99%,1%,100%,5%,1%,1%
MADISON #1 ELEMENTARY SCHOOL,5525 N 16TH ST,PHOENIX,MARICOPA,85016,YES,RN,PUBLIC,270,95%,5%,100%,94%,5%,99%,94%,5%,99%,95%,5%,100%,95%,5%,100%,95%,5%,100%,95%,5%,100%,5%,0%,5%
MADISON ELEMENTARY SCHOOL,849 S SUNNYVALE,MESA,MARICOPA,85206,YES,RN,PUBLIC,60,95%,5%,100%,92%,7%,100%,92%,7%,100%,97%,3%,100%,92%,8%,100%,97%,3%,100%,95%,5%,100%,10%,0%,10%
MADISON MEADOWS SCHOOL,225 W OCOTILLO RD,PHOENIX,MARICOPA,85013,YES,RN,PUBLIC,204,94%,6%,100%,62%,6%,69%,60%,6%,67%,94%,6%,100%,94%,6%,100%,93%,7%,100%,94%,6%,100%,7%,7%,6%
MADISON PARK SCHOOL,1431 E CAMPBELL AVE,PHOENIX,MARICOPA,,NO,,CHARTER,100,100%,0%,100%,92%,0%,92%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,2%,0%,2%
MADISON TRADITIONAL ACADEMY,5525 N 16TH ST,PHOENIX,MARICOPA,85014,NO,,PUBLIC,97,100%,0%,100%,94%,4%,100%,94%,4%,100%,98%,2%,100%,98%,2%,100%,100%,0%,100%,100%,0%,100%,4%,0%,0%
MAGEE MIDDLE SCHOOL,8300 E SPEEDWAY BLVD,TUCSON,PIMA,85710,YES,RN,PUBLIC,185,97%,3%,100%,96%,3%,99%,96%,3%,99%,99%,1%,100%,99%,1%,100%,99%,1%,100%,98%,2%,100%,4%,0%,3%
MAGMA RANCH K-8 SCHOOL,10980 E DESERT MOUNTAIN BLVD,FLORENCE,PINAL,85232,NO,,PUBLIC,90,97%,0%,97%,54%,0%,58%,44%,1%,49%,97%,1%,98%,98%,1%,99%,99%,1%,100%,98%,1%,99%,1%,0%,1%
MAGNET TRADITIONAL SCHOOL,2602 N 23RD AVE,PHOENIX,MARICOPA,85009,YES,RN,PUBLIC,58,100%,0%,100%,97%,0%,100%,91%,0%,95%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
MAIE BARTLETT HEARD SCHOOL,2301 W THOMAS RD,PHOENIX,MARICOPA,85015,YES,LPN,PUBLIC,87,97%,2%,99%,91%,2%,93%,89%,2%,91%,97%,2%,99%,97%,2%,99%,97%,2%,99%,98%,2%,100%,2%,0%,2%
MAINE CONSOLIDATED SCHOOL,10 SPRING VALLEY RD,PARKS,COCONINO,86018,NO,,PUBLIC,< 20 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MANSFELD MIDDLE SCHOOL,1300 E 6TH ST,TUCSON,PIMA,85719,YES,RN,PUBLIC,337,96%,1%,97%,97%,2%,100%,96%,3%,99%,99%,1%,100%,99%,1%,100%,99%,1%,100%,99%,1%,100%,3%,1%,1%
"MANY FARMS COMMUNITY SCHOOL, INC",HWY 191,MANY FARMS,APACHE,86538,NO,,PUBLIC,38,100%,0%,100%,95%,0%,100%,79%,0%,84%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
MANY FARMS PUBLIC SCHOOL,HWY 191,CHINLE,APACHE,86538,YES,LPN,PUBLIC,54,100%,0%,100%,96%,0%,100%,96%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
MANZANITA ELEMENTARY SCHOOL,8430 N 39TH AVE,PHOENIX,MARICOPA,85051,NO,,PUBLIC,108,96%,2%,100%,97%,2%,100%,97%,2%,100%,98%,2%,100%,98%,2%,100%,98%,2%,100%,98%,2%,100%,3%,2%,2%
MARC T ATKINSON MIDDLE SCHOOL,4315 N MARYVALE PKWY,PHOENIX,MARICOPA,85031,YES,LPN,PUBLIC,422,100%,0%,100%,97%,0%,98%,97%,0%,98%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
MARICOPA WELLS MIDDLE SCHOOL,45012 W HONEYCUTT AVE,MARICOPA,PINAL,85239,YES,RN,PUBLIC,262,99%,1%,100%,92%,3%,100%,92%,3%,100%,99%,1%,100%,99%,1%,100%,99%,1%,100%,99%,1%,100%,3%,0%,0%
MARILYN THIELE WILSON SCHOOL,5619 E GLADE AVE,MESA,MARICOPA,85206,YES,RN,PUBLIC,87,100%,0%,100%,92%,1%,93%,92%,1%,93%,100%,0%,100%,100%,0%,100%,100%,0%,100%,99%,1%,100%,2%,0%,0%
MARIONNEAUX ELEMENTARY SCHOOL,21455 W ROESER RD,BUCKEYE,MARICOPA,85326,YES,LPN,PUBLIC,88,94%,6%,100%,86%,14%,100%,86%,14%,100%,95%,5%,100%,95%,5%,100%,94%,6%,100%,93%,7%,100%,15%,0%,5%
MARJORIE W ESTES ELEMENTARY SCHOOL,11280 W GRIER RD,MARANA,PIMA,85658,YES,RN,PUBLIC,64,98%,2%,100%,97%,2%,100%,97%,2%,100%,98%,2%,100%,98%,2%,100%,97%,3%,100%,98%,2%,100%,6%,0%,0%
MARLEY PARK ELEMENTARY,15042 W SWEETWATER AVE,SURPRISE,MARICOPA,85379,YES,LPN,PUBLIC,144,97%,3%,100%,83%,7%,90%,83%,8%,90%,96%,3%,99%,94%,3%,98%,95%,3%,99%,97%,3%,100%,9%,2%,1%
MARSHALL HUMPHREY II ELEMENTARY SCHOOL,125 S 132ND ST,CHANDLER,MARICOPA,85225,NO,,PUBLIC,92,97%,1%,100%,88%,10%,100%,89%,9%,100%,98%,2%,100%,97%,3%,100%,98%,2%,100%,98%,2%,100%,8%,1%,0%
MARSHALL RANCH ELEMENTARY SCHOOL,12995 N MARSHALL RANCH DR,GLENDALE,MARICOPA,85304,YES,LPN,PUBLIC,84,99%,1%,100%,99%,0%,100%,99%,0%,100%,99%,1%,100%,99%,1%,100%,100%,0%,100%,100%,0%,100%,2%,0%,0%
MARY BELLE MCCORKLE,4455 S MISSION RD,TUCSON,PIMA,85746,YES,RN,PUBLIC,117,100%,0%,100%,99%,0%,99%,99%,0%,99%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
MARY C O'BRIEN ELEMENTARY SCHOOL,1400 N ELEVEN MILE CORNER RD,CASA GRANDE,PINAL,85294,YES,RN,PUBLIC,< 20 ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MARYLAND ELEMENTARY SCHOOL,6503 N 21ST AVE,PHOENIX,MARICOPA,85015,NO,,PUBLIC,83,89%,1%,100%,100%,0%,100%,98%,1%,100%,98%,1%,100%,99%,1%,100%,98%,1%,100%,100%,0%,100%,1%,0%,1%
MARYVALE PREPARATORY ACADEMY,6301 W INDIAN SCHOOL RD,PHOENIX,MARICOPA,85033,NO,,CHARTER,52,100%,0%,100%,98%,2%,100%,98%,2%,100%,98%,2%,100%,100%,0%,100%,98%,2%,100%,100%,0%,100%,4%,0%,0%
MATH AND SCIENCE SUCCESS ACADEMY,434 W LERDO RD,TUCSON,PIMA,85756,NO,,CHARTER,62,100%,0%,100%,98%,2%,100%,89%,2%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,2%,0%,0%
MAURICE C CASH SCHOOL,3851 W ROESER RD,PHOENIX,MARICOPA,85041,NO,,PUBLIC,99,97%,2%,100%,95%,2%,100%,94%,3%,100%,97%,3%,100%,100%,0%,100%,98%,2%,100%,100%,0%,100%,3%,0%,0%
MAXINE O BUSH ELEMENTARY SCHOOL,602 E SIESTA WAY,PHOENIX,MARICOPA,85042,YES,RN,PUBLIC,54,100%,0%,100%,96%,2%,98%,96%,2%,98%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,2%,0%,0%
MAYER ELEMENTARY SCHOOL,12568 E MAIN ST,MAYER,YAVAPAI,86333,NO,,PUBLIC,41,90%,10%,100%,85%,15%,100%,85%,15%,100%,90%,10%,100%,90%,10%,100%,90%,10%,100%,90%,10%,100%,15%,0%,10%
MELVIN E SINE SCHOOL,4932 W MYRTLE AVE,GLENDALE,MARICOPA,85301,YES,LPN,PUBLIC,81,99%,0%,99%,98%,0%,99%,98%,0%,99%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,1%,0%,0%
MENDOZA ELEMENTARY SCHOOL,5831 E MCLELLAN RD,MESA,MARICOPA,85205,YES,RN,PUBLIC,83,99%,1%,100%,96%,4%,100%,94%,5%,100%,95%,5%,100%,96%,4%,100%,99%,1%,100%,96%,4%,100%,11%,11%,1%
MERCURY MINE ELEMENTARY SCHOOL,9640 N 28TH ST,PHOENIX,MARICOPA,85028,YES,RN,PUBLIC,74,91%,9%,100%,93%,5%,100%,91%,8%,100%,91%,9%,100%,92%,8%,100%,95%,5%,100%,95%,5%,100%,9%,0%,7%
MERIDIAN ELEMENTARY,3900 S MOUNTAIN RD,MESA,MARICOPA,85212,YES,RN,PUBLIC,130,92%,8%,100%,88%,8%,98%,88%,8%,98%,94%,6%,100%,94%,6%,100%,92%,8%,100%,96%,4%,100%,8%,2%,3%
MESA ACADEMY FOR ADVANCED STUDIES,6919 E BROWN RD,MESA,MARICOPA,85207,YES,RN,PUBLIC,89,97%,0%,99%,92%,6%,100%,94%,3%,100%,96%,4%,100%,96%,4%,100%,97%,3%,100%,100%,0%,100%,7%,0%,3%
MESA ARTS ACADEMY,221 W SIXTH AVE,MESA,MARICOPA,85210,NO,,CHARTER,27,85%,0%,85%,100%,0%,100%,52%,0%,52%,96%,0%,96%,89%,0%,89%,93%,0%,93%,93%,0%,93%,0%,0%,0%
MESA VIEW ELEMENTARY,HWY 191 & NAVAJO ROUTE 7,CHINLE,APACHE,86503,NO,,PUBLIC,66,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
MESQUITE ELEMENTARY,4451 W 28TH ST,YUMA,YUMA,85364,NO,,PUBLIC,104,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
MESQUITE ELEMENTARY SCHOOL,1101 E MESQUITE ST,GILBERT,MARICOPA,85296,YES,RN,PUBLIC,96,98%,2%,100%,91%,4%,100%,92%,5%,100%,97%,3%,100%,97%,3%,100%,97%,3%,100%,99%,1%,100%,6%,0%,1%
MEXICAYOTL CHARTER SCHOOL,2059 N GRAND AVE,NOGALES,SANTA CRUZ,85621,NO,,CHARTER,21,100%,0%,100%,95%,0%,95%,95%,0%,95%,100%,0%,100%,100%,0%,100%,100%,0%,100%,100%,0%,100%,0%,0%,0%
