,school,type,address,city,county,zip,nurse,enrolled,dtap,polio,mmr,hepb,var,exempt_dtap,exempt_polio,exempt_mmr,exempt_hepb,exempt_var,year,exempt_tdap
6327,SAINT JOSEPH CATHOLIC SCHOOL,PRIVATE,215 S CRAYCROFT RD,TUCSON,PIMA,85711.0,NO,30,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,2020,
6328,SAINT LOUIS THE KING SCHOOL,PRIVATE,4331 W MARYLAND AVE,GLENDALE,MARICOPA,85301.0,NO,29,89.7%,100.0%,100.0%,100.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,2020,
6329,SAINT MARY-BASHA CATHOLIC SCHOOL,PRIVATE,200 W GALVESTON ST,CHANDLER,MARICOPA,85225.0,YES,37,89.2%,94.6%,94.6%,94.6%,94.6%,8.1%,5.4%,5.4%,5.4%,5.4%,2020,
6330,SAINT MICHAEL'S PARISH DAY SCHOOL,PRIVATE,602 N WILMOT RD,TUCSON,PIMA,85711.0,YES,31,100.0%,93.5%,100.0%,100.0%,96.8%,0.0%,3.2%,0.0%,0.0%,0.0%,2020,
6331,SAINT THERESA CATHOLIC SCHOOL,PRIVATE,5001 E THOMAS RD,PHOENIX,MARICOPA,85018.0,YES,38,97.4%,97.4%,97.4%,97.4%,97.4%,2.6%,2.6%,2.6%,2.6%,2.6%,2020,
6332,SAINT THOMAS AQUINAS GRADE SCHOOL,PRIVATE,13720 W THOMAS RD,AVONDALE,MARICOPA,85392.0,YES,46,82.6%,93.5%,91.3%,91.3%,100.0%,17.4%,6.5%,8.7%,8.7%,0.0%,2020,
6333,SAINT THOMAS THE APOSTLE CATHOLIC SCHOOL,PRIVATE,4510 N 24TH ST,PHOENIX,MARICOPA,85016.0,YES,54,94.4%,98.1%,98.1%,98.1%,98.1%,5.6%,1.9%,1.9%,1.9%,1.9%,2020,
6334,SAINT TIMOTHY CATHOLIC SCHOOL,PRIVATE,2520 S ALMA SCHOOL RD,MESA,MARICOPA,85210.0,YES,<20,,,,,,,,,,,2020,
6335,SAINT VINCENT DE PAUL CATHOLIC SCHOOL,PRIVATE,3130 N 51ST AVE,PHOENIX,MARICOPA,85031.0,YES,60,100.0%,96.7%,96.7%,95.0%,98.3%,0.0%,0.0%,0.0%,0.0%,0.0%,2020,
6336,SAINTS SIMON AND JUDE SCHOOL,PRIVATE,6351 N 27TH AVE,PHOENIX,MARICOPA,85017.0,YES,61,98.4%,95.1%,91.8%,100.0%,96.7%,1.6%,4.9%,8.2%,0.0%,3.3%,2020,
6337,SALK ELEMENTARY SCHOOL,PUBLIC,7029 E BROWN RD,MESA,MARICOPA,85207.0,YES,100,87.0%,96.0%,96.0%,95.0%,98.0%,7.0%,4.0%,4.0%,4.0%,2.0%,2020,
6338,SALOME ELEMENTARY SCHOOL,PUBLIC,SAGUARO ST AND MAIN ST,SALOME,LA PAZ,,NO,<20,,,,,,,,,,,2020,
6339,SALT RIVER ELEMENTARY SCHOOL,PRIVATE,11582 E HIGHLAND RD,SCOTTSDALE,MARICOPA,85256.0,NO,40,57.5%,100.0%,100.0%,100.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,2020,
6340,SAN MARCOS ELEMENTARY SCHOOL,PUBLIC,451 W FRYE RD,CHANDLER,MARICOPA,85225.0,NO,56,94.6%,96.4%,98.2%,98.2%,98.2%,1.8%,3.6%,1.8%,1.8%,1.8%,2020,
6341,SAN TAN CHARTER SCHOOL,CHARTER,3959 E ELLIOT RD,GILBERT,MARICOPA,85234.0,YES,61,78.7%,77.0%,80.3%,83.6%,83.6%,11.5%,11.5%,11.5%,8.2%,8.2%,2020,
6342,SAN TAN ELEMENTARY,PUBLIC,3443 E CALISTOGA DR,GILBERT,MARICOPA,85297.0,NO,90,98.9%,98.9%,98.9%,98.9%,98.9%,1.1%,1.1%,1.1%,1.1%,1.1%,2020,
6343,SAN XAVIER MISSION SCHOOL,PRIVATE,1980 W SAN XAVIER RD,TUCSON,PIMA,85746.0,NO,<20,,,,,,,,,,,2020,
6344,SANBORN ELEMENTARY SCHOOL,PUBLIC,700 N SUPERSTITION BLVD,CHANDLER,MARICOPA,85225.0,NO,53,94.3%,96.2%,96.2%,96.2%,96.2%,1.9%,3.8%,3.8%,3.8%,3.8%,2020,
6345,SANDERS MIDDLE SCHOOL,PUBLIC,"I-40, HWY 191",SANDERS,APACHE,,NO,55,69.1%,96.4%,96.4%,98.2%,98.2%,1.8%,1.8%,1.8%,1.8%,1.8%,2020,
6346,SANDPIPER ELEMENTARY SCHOOL,PUBLIC,6724 E HEARN RD,SCOTTSDALE,MARICOPA,85254.0,YES,69,92.8%,94.2%,94.2%,94.2%,95.7%,4.3%,4.3%,4.3%,4.3%,4.3%,2020,
6347,SANDRA DAY O'CONNOR ELEMENTARY SCHOOL,PUBLIC,4840 E. ADOBE ST,MESA,MARICOPA,85205.0,YES,60,98.3%,100.0%,98.3%,98.3%,100.0%,1.7%,0.0%,1.7%,1.7%,0.0%,2020,
6348,SANTA CLARA ELEMENTARY SCHOOL,PUBLIC,6910 S SANTA CLARA AVE,TUCSON,PIMA,85756.0,YES,29,100.0%,100.0%,96.6%,96.6%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,2020,
6349,SANTA CRUZ CATHOLIC SCHOOL,PRIVATE,29 W 22ND ST,TUCSON,PIMA,85713.0,YES,22,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,2020,
6350,SANTA FE ELEMENTARY SCHOOL,PUBLIC,9880 N 77TH AVE,PEORIA,MARICOPA,85345.0,YES,80,91.3%,97.5%,97.5%,97.5%,97.5%,3.8%,2.5%,2.5%,2.5%,2.5%,2020,
6351,SANTA MARIA MIDDLE SCHOOL,PUBLIC,7250 W LOWER BUCKEYE RD,PHOENIX,MARICOPA,85043.0,YES,197,69.5%,96.4%,98.0%,98.0%,98.0%,1.0%,1.0%,1.5%,1.5%,1.5%,2020,
6352,SANTAN ELEMENTARY SCHOOL,PUBLIC,1550 E CHANDLER HEIGHTS RD,CHANDLER,MARICOPA,85249.0,NO,84,96.4%,97.6%,97.6%,98.8%,98.8%,3.6%,2.4%,2.4%,1.2%,1.2%,2020,
6353,SATORI CHARTER SCHOOL 2-8TH,CHARTER,3727 N 1ST AVE,TUCSON,PIMA,85719.0,NO,<20,,,,,,,,,,,2020,
6354,SCOTTSDALE CHRISTIAN ACADEMY,PRIVATE,14400 N TATUM BLVD PHOENIX MARICOPA 85032,,MARICOPA,,YES,59,76.3%,86.4%,86.4%,86.4%,86.4%,23.7%,13.6%,13.6%,13.6%,13.6%,2020,
6355,SCOTTSDALE ONLINE LEARNING,PUBLIC,7501 E VIRGINIA AVENUE,SCOTTSDALE,MARICOPA,85257.0,NO,176,81.3%,97.2%,97.7%,97.2%,97.7%,4.5%,2.3%,1.7%,2.3%,1.7%,2020,
6356,SCOTTSDALE PREPARATORY ACADEMY,CHARTER,16537 N 92ND ST,SCOTTSDALE,MARICOPA,85260.0,NO,177,93.8%,97.2%,96.6%,96.0%,95.5%,6.2%,2.8%,3.4%,4.0%,4.5%,2020,
6357,SEBA DALKAI BOARDING SCHOOL,PRIVATE,1 MILE W OF HWY 87,SEBA DALKAI,NAVAJO,,NO,<20,,,,,,,,,,,2020,
6358,SECRIST MIDDLE SCHOOL,PUBLIC,3400 S HOUGHTON RD,TUCSON,PIMA,85730.0,YES,95,81.1%,95.8%,95.8%,96.8%,96.8%,1.1%,1.1%,1.1%,1.1%,1.1%,2020,
6359,SEDONA CHARTER SCHOOL,CHARTER,165 KACHINA DR,SEDONA,YAVAPAI,,NO,<20,,,,,,,,,,,2020,
6360,SELF DEVELOPMENT ACADEMY PHOENIX,CHARTER,1515 E INDIAN SCHOOL RD,PHOENIX,MARICOPA,,NO,<20,,,,,,,,,,,2020,
6361,SELF DEVELOPMENT CHARTER SCHOOL-85202,CHARTER,1709 N GREENFIELD RD,MESA,MARICOPA,85205.0,NO,59,93.2%,93.2%,93.2%,93.2%,93.2%,6.8%,6.8%,6.8%,6.8%,6.8%,2020,
6362,SELIGMAN ELEMENTARY SCHOOL,PUBLIC,500 N MAIN ST,SELIGMAN,YAVAPAI,86337.0,YES,<20,,,,,,,,,,,2020,
6363,SEQUOIA CHOICE SCHOOL ARIZONA DISTANCE LEARNING SCHOOL,CHARTER,HOME BASED,MESA,MARICOPA,85203.0,NO,447,43.0%,60.6%,64.0%,65.1%,65.8%,55.0%,29.5%,30.0%,29.8%,34.2%,2020,
6364,SEQUOIA LEHI CHARTER SCHOOL,CHARTER,2331 N HORNE,MESA,MARICOPA,85203.0,NO,22,90.9%,86.4%,86.4%,86.4%,86.4%,9.1%,13.6%,13.6%,13.6%,13.6%,2020,
6365,SEQUOIA PATHWAY ACADEMY,CHARTER,19265 N. PORTER RD,MARICOPA,PINAL,85138.0,NO,41,80.5%,75.6%,95.1%,97.6%,97.6%,7.3%,2.4%,2.4%,2.4%,2.4%,2020,
6366,SEQUOIA VILLAGE,CHARTER,982 FULL HOUSE LN,SHOW LOW,NAVAJO,85901.0,NO,<20,,,,,,,,,,,2020,
6367,SETTLERS POINT ELEMENTARY,PUBLIC,423 E SETTLERS POINT,GILBERT,MARICOPA,85296.0,YES,74,90.5%,95.9%,97.3%,97.3%,97.3%,6.8%,2.7%,2.7%,2.7%,2.7%,2020,
6368,SEVILLA WEST SCHOOL,PUBLIC,3851 W MISSOURI AVE,PHOENIX,MARICOPA,85019.0,NO,192,80.7%,100.0%,100.0%,100.0%,99.5%,0.0%,0.0%,0.0%,0.0%,0.0%,2020,
6369,SHAW BUTTE SCHOOL,PUBLIC,12202 N 21ST AVE,PHOENIX,MARICOPA,85029.0,YES,72,87.5%,100.0%,98.6%,100.0%,98.6%,6.9%,0.0%,1.4%,0.0%,1.4%,2020,
6370,SHEELY FARMS ELEMENTARY SCHOOL,PUBLIC,9450 W ENCANTO BLVD,PHOENIX,MARICOPA,85037.0,YES,80,66.3%,100.0%,100.0%,100.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,2020,
6371,SHOW LOW JUNIOR HIGH SCHOOL,PUBLIC,761 E MCNEIL,SHOW LOW,NAVAJO,85901.0,NO,189,59.3%,84.7%,91.5%,92.6%,93.1%,7.4%,5.3%,5.8%,4.8%,5.3%,2020,
6372,SHUMWAY ELEMENTARY SCHOOL,PUBLIC,1325 N SHUMWAY AVE,CHANDLER,MARICOPA,85225.0,NO,48,97.9%,97.9%,97.9%,97.9%,97.9%,2.1%,2.1%,2.1%,2.1%,2.1%,2020,
6373,SIERRA MIDDLE SCHOOL,PUBLIC,5801 S DEL MORAL BLVD,TUCSON,PIMA,85706.0,YES,34,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,2020,
6374,SIERRA VERDE ELEMENTARY,PUBLIC,7241 W ROSE GARDEN LN,GLENDALE,MARICOPA,85308.0,YES,79,93.7%,98.7%,98.7%,98.7%,98.7%,2.5%,1.3%,1.3%,1.3%,1.3%,2020,
6375,SILVER VALLEY ELEMENTARY,PUBLIC,9737 E TOLDEO AVE,MESA,MARICOPA,85212.0,NO,95,57.9%,87.4%,87.4%,89.5%,90.5%,6.3%,6.3%,6.3%,6.3%,6.3%,2020,
6376,SILVESTRE S HERRERA SCHOOL,PUBLIC,1350 S 11TH ST,PHOENIX,MARICOPA,85034.0,YES,61,75.4%,96.7%,95.1%,98.4%,96.7%,1.6%,1.6%,1.6%,0.0%,1.6%,2020,
6377,SINAGUA MIDDLE SCHOOL,PUBLIC,3950 E BUTLER AVE,FLAGSTAFF,COCONINO,86004.0,YES,360,90.0%,97.2%,97.5%,97.2%,96.7%,4.4%,2.8%,2.5%,2.8%,3.3%,2020,
6378,SIRRINE ELEMENTARY SCHOOL,PUBLIC,591 W MESQUITE ST,CHANDLER,MARICOPA,85225.0,YES,59,98.3%,98.3%,98.3%,98.3%,100.0%,1.7%,1.7%,1.7%,1.7%,0.0%,2020,
6379,SKY VIEW ELEMENTARY SCHOOL,PUBLIC,8624 W SWEETWATER,PEORIA,MARICOPA,85381.0,YES,49,85.7%,95.9%,95.9%,93.9%,95.9%,8.2%,4.1%,4.1%,4.1%,4.1%,2020,
6380,SKYLINE DISTRICT 5,CHARTER,CASA BLANCA & PRESCHOOL RD,BAPCHULE,PINAL,85121.0,NO,32,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,2020,
6381,SKYVIEW SCHOOL,CHARTER,125 S RUSH ST,PRESCOTT,YAVAPAI,86303.0,NO,25,24.0%,72.0%,76.0%,72.0%,80.0%,28.0%,28.0%,24.0%,28.0%,20.0%,2020,
6382,SMOKETREE ELEMENTARY SCHOOL,PUBLIC,2395 SMOKETREE AVE,LAKE HAVASU CITY,MOHAVE,86403.0,YES,66,81.8%,97.0%,97.0%,100.0%,100.0%,3.0%,3.0%,3.0%,0.0%,0.0%,2020,
6383,SNOWFLAKE INTERMEDIATE SCHOOL,PUBLIC,62 WEST 2ND SOUTH,SNOWFLAKE,NAVAJO,85937.0,NO,136,87.5%,92.6%,92.6%,91.2%,92.6%,12.5%,7.4%,7.4%,8.8%,7.4%,2020,
6384,SOLANO SCHOOL,PUBLIC,1526 W MISSOURI AVE,PHOENIX,MARICOPA,85015.0,NO,68,91.2%,94.1%,92.6%,91.2%,95.6%,0.0%,0.0%,0.0%,0.0%,0.0%,2020,
6385,SONOMA RANCH ELEMENTARY SCHOOL,PUBLIC,601 N BISCAYNE DR,GILBERT,MARICOPA,85233.0,YES,49,75.5%,93.9%,93.9%,93.9%,93.9%,8.2%,6.1%,6.1%,6.1%,6.1%,2020,
6386,SONORAN FOOTHILLS SCHOOL,PUBLIC,32150 N NORTH FOOTHILLS DR,PHOENIX,MARICOPA,85085.0,YES,90,96.7%,94.4%,91.1%,92.2%,94.4%,3.3%,3.3%,5.6%,5.6%,3.3%,2020,
6387,SONORAN HEIGHTS ELEMENTARY,PUBLIC,11405 N GREER RANCH PKWY,SURPRISE,MARICOPA,85379.0,YES,116,84.5%,95.7%,95.7%,96.6%,96.6%,13.8%,4.3%,4.3%,3.4%,3.4%,2020,
6388,SONORAN SCIENCE ACADEMY - PEORIA,CHARTER,17667 N 91ST AVE,PEORIA,MARICOPA,85382.0,NO,31,96.8%,100.0%,100.0%,100.0%,100.0%,3.2%,0.0%,0.0%,0.0%,0.0%,2020,
6389,SONORAN SCIENCE ACADEMY - PHOENIX,CHARTER,3535 E MCDOWELL ROAD,PHOENIX,MARICOPA,85008.0,NO,33,87.9%,97.0%,100.0%,97.0%,100.0%,9.1%,0.0%,0.0%,0.0%,0.0%,2020,
6390,SONORAN SCIENCE ACADEMY - TUCSON,CHARTER,2325 E. SUNSET RD,TUCSON,PIMA,85741.0,NO,62,98.4%,98.4%,98.4%,98.4%,98.4%,1.6%,1.6%,1.6%,1.6%,1.6%,2020,
6391,SONORAN SCIENCE ACADEMY EAST,CHARTER,7450 E STELLA RD,TUCSON,PIMA,85730.0,NO,58,94.8%,98.3%,98.3%,98.3%,98.3%,3.4%,1.7%,1.7%,1.7%,1.7%,2020,
6392,SONORAN SCIENCE ACADEMY-DAVIS MONTHAN,CHARTER,5741 E. IRONWOOD ST,TUCSON,PIMA,85708.0,YES,<20,,,,,,,,,,,2020,
6393,SONORAN SKY ELEMENTARY SCHOOL-85260,PUBLIC,12990 N 75TH ST,SCOTTSDALE,MARICOPA,85260.0,YES,84,98.8%,96.4%,98.8%,95.2%,95.2%,1.2%,3.6%,1.2%,4.8%,4.8%,2020,
6394,SONORAN SKY ELEMENTARY SCHOOL-85307,PUBLIC,10150 W MISSOURI AVE,GLENDALE,MARICOPA,85307.0,NO,57,49.1%,98.2%,98.2%,98.2%,98.2%,1.8%,1.8%,1.8%,1.8%,1.8%,2020,
6395,SOUSA ELEMENTARY SCHOOL,PUBLIC,616 N MOUNTAIN RD,MESA,MARICOPA,85207.0,YES,53,92.5%,98.1%,96.2%,98.1%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,2020,
6396,SOUTH POINTE PUBLIC JUNIOR HIGH SCHOOL,CHARTER,217 E OLYMPIC DR,PHOENIX,MARICOPA,85020.0,NO,39,71.8%,79.5%,82.1%,82.1%,94.9%,10.3%,7.7%,7.7%,7.7%,5.1%,2020,
6397,SOUTH VALLEY PREP AND ARTS SCHOOL,CHARTER,7450 S 40TH ST,PHOENIX,MARICOPA,85042.0,NO,64,81.3%,95.3%,95.3%,95.3%,95.3%,4.7%,4.7%,4.7%,4.7%,4.7%,2020,
6398,SOUTHGATE ACADEMY,CHARTER,850 W VALENCIA RD,TUCSON,PIMA,85706.0,NO,44,61.4%,88.6%,95.5%,100.0%,100.0%,31.8%,4.5%,2.3%,0.0%,0.0%,2020,
6399,SOUTHSIDE COMMUNITY SCHOOL,CHARTER,2701 S CAMPBELL AVE,TUCSON,PIMA,85713.0,NO,28,92.9%,100.0%,100.0%,100.0%,100.0%,3.6%,0.0%,0.0%,0.0%,0.0%,2020,
6400,SOUTHWEST ELEMENTARY SCHOOL,PUBLIC,1111 W DOBBINS RD,PHOENIX,MARICOPA,85041.0,YES,64,82.8%,100.0%,100.0%,100.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,2020,
6401,SOUTHWESTERN CHRISTIAN SCHOOL,PRIVATE,3261 S AVENUE 6 E,YUMA,YUMA,85365.0,NO,21,23.8%,100.0%,90.5%,95.2%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,2020,
6402,SPECTRUM ELEMENTARY,PUBLIC,2846 S SPECTRUM WAY,GILBERT,MARICOPA,85295.0,YES,64,92.2%,98.4%,96.9%,100.0%,95.3%,4.7%,1.6%,3.1%,0.0%,4.7%,2020,
6403,ST ELIZABETH ANN SETON SCHOOL,PRIVATE,8650 N SHANNON RD TUCSON PIMA 85742,,PIMA,,YES,32,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,2020,
6404,ST. JOHN BOSCO CATHOLIC SCHOOL PROGRAM,PRIVATE,16035 S 48TH ST PHOENIX MARICOPA 85048,,MARICOPA,,YES,23,82.6%,95.7%,91.3%,95.7%,95.7%,17.4%,4.3%,8.7%,4.3%,4.3%,2020,
6405,STANFIELD ELEMENTARY SCHOOL,PUBLIC,515 S STANFIELD RD,STANFIELD,PINAL,85172.0,NO,36,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,2020,
6406,STAR CHARTER SCHOOL,CHARTER,145 LEUPP RD,FLAGSTAFF,COCONINO,86004.0,NO,<20,,,,,,,,,,,2020,
6407,STARLIGHT PARK SCHOOL,PUBLIC,7960 W OSBORN RD,PHOENIX,MARICOPA,85033.0,NO,114,72.8%,98.2%,100.0%,100.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,2020,
6408,STEPPING STONES ACADEMY,CHARTER,35812 N 7TH ST,PHOENIX,MARICOPA,85086.0,NO,23,78.3%,69.6%,78.3%,69.6%,73.9%,21.7%,30.4%,21.7%,30.4%,26.1%,2020,
6409,STETSON HILLS ELEMENTARY,PUBLIC,25475 N STETSON HILLS LOOP RD,GLENDALE,MARICOPA,85083.0,YES,107,89.7%,92.5%,95.3%,95.3%,95.3%,10.3%,7.5%,4.7%,4.7%,4.7%,2020,
6410,STEVEN R JASINSKI ELEMENTARY SCHOOL,PUBLIC,4280 S 246TH AVE,BUCKEYE,MARICOPA,85326.0,NO,66,86.4%,95.5%,95.5%,95.5%,95.5%,7.6%,4.5%,4.5%,4.5%,4.5%,2020,
6411,STEVENSON ELEMENTARY SCHOOL,PUBLIC,638 S 96TH ST,MESA,MARICOPA,85208.0,YES,82,86.6%,97.6%,96.3%,98.8%,100.0%,0.0%,1.2%,1.2%,1.2%,0.0%,2020,
6412,SUMMIT ACADEMY,PUBLIC,1560 W SUMMIT PL,CHANDLER,MARICOPA,85224.0,YES,94,85.1%,96.8%,98.9%,97.9%,98.9%,0.0%,3.2%,1.1%,2.1%,1.1%,2020,
6413,SUMMIT SCHOOL OF AHWATUKEE,PRIVATE,4515 E MUIRWOOD DR,PHOENIX,MARICOPA,85048.0,NO,32,84.4%,93.8%,93.8%,93.8%,93.8%,6.3%,6.3%,6.3%,6.3%,6.3%,2020,
6414,SUMMIT VIEW ELEMENTARY,PUBLIC,1900 E SUMMIT ST,TUCSON,PIMA,85756.0,YES,32,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,2020,
6415,SUN VALLEY ACADEMY - AVONDALE,CHARTER,1515 N 117TH AVENUE,AVONDALE,MARICOPA,85392.0,NO,25,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,2020,
6416,SUN VALLEY CHARTER SCHOOL,CHARTER,2675 W BASELINE RD,PHOENIX,MARICOPA,85041.0,NO,43,65.1%,100.0%,100.0%,100.0%,100.0%,34.9%,0.0%,0.0%,0.0%,0.0%,2020,
6417,SUN VALLEY ELEMENTARY SCHOOL,PUBLIC,8361 N 95TH AVE,PEORIA,MARICOPA,85345.0,YES,79,98.7%,98.7%,98.7%,98.7%,98.7%,1.3%,1.3%,1.3%,1.3%,1.3%,2020,
6418,SUNBURST ELEMENTARY SCHOOL,PUBLIC,14218 N 47TH AVE,GLENDALE,MARICOPA,85306.0,NO,110,79.1%,94.5%,97.3%,97.3%,97.3%,0.0%,4.5%,2.7%,2.7%,2.7%,2020,
6419,SUNDANCE ELEMENTARY SCHOOL-85326,PUBLIC,23800 W HADLEY ST,BUCKEYE,MARICOPA,85326.0,NO,82,89.0%,97.6%,97.6%,100.0%,100.0%,7.3%,2.4%,2.4%,0.0%,0.0%,2020,
6420,SUNDANCE ELEMENTARY SCHOOL-85345,PUBLIC,7051 W CHOLLA ST,PEORIA,MARICOPA,85345.0,YES,36,80.6%,97.2%,97.2%,97.2%,97.2%,0.0%,0.0%,0.0%,0.0%,0.0%,2020,
6421,SUNLAND ELEMENTARY SCHOOL,PUBLIC,5401 S 7TH AVE,PHOENIX,MARICOPA,85041.0,NO,88,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,2020,
6422,SUNNYSLOPE ELEMENTARY SCHOOL,PUBLIC,240 E VOGEL AVE,PHOENIX,MARICOPA,85020.0,NO,75,88.0%,100.0%,100.0%,100.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,2020,
6423,SUNRISE ELEMENTARY SCHOOL,PUBLIC,17624 N 31ST AVE,PHOENIX,MARICOPA,85053.0,YES,52,100.0%,100.0%,100.0%,100.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,2020,
6424,SUNSET CANYON SCHOOL,PUBLIC,2727 E SIESTA LN,PHOENIX,MARICOPA,85050.0,YES,59,86.4%,96.6%,96.6%,94.9%,96.6%,0.0%,0.0%,0.0%,0.0%,0.0%,2020,
6425,SUNSET ELEMENTARY SCHOOL-85033,PUBLIC,6602 W OSBORN RD,PHOENIX,MARICOPA,85033.0,YES,113,69.9%,99.1%,99.1%,99.1%,99.1%,0.9%,0.9%,0.9%,0.9%,0.9%,2020,
6426,SUNSET HILLS ELEMENTARY-85379,PUBLIC,17825 WEST SIERRA MONTANA LOOP,SURPRISE,MARICOPA,85388.0,NO,123,91.9%,96.7%,96.7%,96.7%,100.0%,8.1%,3.3%,3.3%,3.3%,0.0%,2020,
6427,SUNSET RIDGE ELEMENTARY-85086,PUBLIC,35707 N 33RD LN,PHOENIX,MARICOPA,85086.0,YES,60,100.0%,95.0%,100.0%,98.3%,98.3%,0.0%,5.0%,0.0%,1.7%,1.7%,2020,
6428,SUNSET RIDGE ELEMENTARY-85305,PUBLIC,8490 W MISSOURI AVE,GLENDALE,MARICOPA,85305.0,NO,54,66.7%,100.0%,100.0%,100.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,2020,
6429,SUNSET SCHOOL-85302,PUBLIC,4626 W MOUNTAIN VIEW RD,GLENDALE,MARICOPA,85302.0,NO,75,92.0%,100.0%,100.0%,100.0%,100.0%,2.7%,0.0%,0.0%,0.0%,0.0%,2020,
6430,SUNSET VISTA ELEMENTARY,PUBLIC,7775 W ORANGEWOOD AVE,GLENDALE,MARICOPA,85303.0,YES,86,98.8%,97.7%,98.8%,98.8%,98.8%,1.2%,1.2%,1.2%,1.2%,1.2%,2020,
6431,SURPRISE ELEMENTARY SCHOOL,PUBLIC,12907 W GREENWAY RD,EL MIRAGE,MARICOPA,85335.0,NO,92,69.6%,95.7%,95.7%,95.7%,96.7%,2.2%,3.3%,3.3%,2.2%,2.2%,2020,
6432,SWEETWATER SCHOOL-85304,PUBLIC,4602 W SWEETWATER AVE,GLENDALE,MARICOPA,85304.0,YES,55,94.5%,96.4%,96.4%,96.4%,96.4%,5.5%,3.6%,3.6%,3.6%,3.6%,2020,
6433,SYNERGY PUBLIC SCHOOL,CHARTER,2701 W BETHANY HOME RD,PHOENIX,MARICOPA,85017.0,NO,41,2.4%,100.0%,100.0%,100.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,2020,
6434,T DALE HANCOCK ELEMENTARY,PUBLIC,2425 S PLEASANT DR,CHANDLER,MARICOPA,85286.0,NO,72,91.7%,95.8%,95.8%,97.2%,95.8%,5.6%,4.2%,4.2%,2.8%,4.2%,2020,
6435,T G BARR SCHOOL,PUBLIC,2041 E VINEYARD RD,PHOENIX,MARICOPA,85042.0,NO,40,72.5%,100.0%,100.0%,100.0%,100.0%,0.0%,0.0%,0.0%,0.0%,0.0%,2020,
6436,TAFT ELEMENTARY SCHOOL,PUBLIC,9800 E QUARTERLINE RD,MESA,MARICOPA,85207.0,YES,80,82.5%,97.5%,97.5%,98.8%,98.8%,0.0%,0.0%,0.0%,0.0%,0.0%,2020,
6437,TANQUE VERDE ELEMENTARY SCHOOL,PUBLIC,2600 N FENNIMORE AVE,TUCSON,PIMA,85749.0,YES,106,98.1%,99.1%,99.1%,99.1%,100.0%,0.9%,0.9%,0.9%,0.9%,0.0%,2020,
6438,TAYLOR INTERMEDIATE SCHOOL,PUBLIC,207 N 500 WEST,TAYLOR,NAVAJO,85939.0,NO,63,95.2%,96.8%,96.8%,96.8%,96.8%,4.8%,3.2%,3.2%,3.2%,3.2%,2020,
6439,TELESIS PREPARATORY ACADEMY,CHARTER,2598 STARLITE LN,LAKE HAVASU CITY,MOHAVE,86403.0,NO,31,80.6%,96.8%,96.8%,96.8%,96.8%,6.5%,3.2%,3.2%,3.2%,3.2%,2020,
6440,TEMPE ACADEMY OF INTERNATIONAL STUDIES MCKEMY CAMPUS,PUBLIC,2250 S COLLEGE AVE,TEMPE,MARICOPA,85282.0,NO,111,93.7%,97.3%,97.3%,98.2%,99.1%,3.6%,2.7%,2.7%,1.8%,0.9%,2020,
6441,TEMPE PREPARATORY ACADEMY,CHARTER,1251 E SOUTHERN AVE,TEMPE,MARICOPA,85282.0,NO,71,95.8%,91.5%,95.8%,93.0%,95.8%,2.8%,5.6%,4.2%,5.6%,4.2%,2020,
6442,TERRAMAR ELEMENTARY,PUBLIC,7000 W HAPPY VALLEY RD,PEORIA,MARICOPA,85383.0,YES,100,93.0%,97.0%,97.0%,97.0%,98.0%,7.0%,3.0%,3.0%,3.0%,2.0%,2020,
6443,THATCHER ELEMENTARY SCHOOL,PUBLIC,1350 N 4TH AVE,THATCHER,GRAHAM,85552.0,YES,127,97.6%,95.3%,96.9%,95.3%,100.0%,2.4%,3.9%,2.4%,3.9%,0.0%,2020,
